alpha,cv_rmse_ns,cv_rmse_std_ns,method,selected,pool
0.1,1.4961081764255035,0.4387413213305513,ridge,True,fixed_adc_cut1000
0.01,1.4973564777586457,0.4308063319325507,ridge,False,fixed_adc_cut1000
1.0,1.499897416484837,0.49958477324203027,ridge,False,fixed_adc_cut1000
10.0,1.6751782713298293,0.7010578787441685,ridge,False,fixed_adc_cut1000
100.0,1.9059354448103236,0.9262011308213142,ridge,False,fixed_adc_cut1000
1000.0,2.0000407822163386,1.1332061390296773,ridge,False,fixed_adc_cut1000
1.0,13.509601526047032,7.092375770972166,ridge,True,fixed_efficiency
0.1,13.51447457175341,7.057396132437295,ridge,False,fixed_efficiency
0.01,13.520223884090242,7.056809611536165,ridge,False,fixed_efficiency
10.0,14.247799371618763,7.681527905663256,ridge,False,fixed_efficiency
100.0,15.918696293367152,9.06526686627906,ridge,False,fixed_efficiency
1000.0,17.136295862570403,10.261634595862118,ridge,False,fixed_efficiency
