pool,method,n_pairs,median_ns,robust_width_ns,full_rms_ns,within_abs_2ns,tail_fraction_abs_gt_5ns,robust_ci_low_ns,robust_ci_high_ns,core_sigma_ns,core_sigma_err_ns,core_mean_ns,chi2_ndf
fixed_adc_cut1000,mlp,127,-0.08268394378637245,0.7401381508595379,1.0852986727821095,0.9291338582677166,0.007874015748031496,0.47939867673499453,0.9025924017617802,0.4526035045987503,0.045213799748323284,0.03385247723247582,15184.890875754108
fixed_adc_cut1000,gradient_boosted_trees,127,0.13566017050949863,1.034875246646683,1.403700662416079,0.8818897637795275,0.007874015748031496,0.7215195075384812,1.4271912213902893,0.914071820943923,0.11902481780660504,-0.2979473946475046,2.987076650191124
fixed_adc_cut1000,constrained_monotone_timewalk,127,0.09140440352265511,1.5178248372481482,1.4745552393190424,0.8346456692913385,0.0,1.2510633448302,1.7169245428648476,3.872301509883971,4.021550764477781,-0.014583004849277836,1.5850773081333158
fixed_adc_cut1000,cnn_1d,127,0.13816768877317998,1.5739060979291266,1.598402600949818,0.7795275590551181,0.0,1.3558508942356733,1.9243615123952844,2.1151256143463075,0.6226625145829725,0.04167597375789664,1.4261864221397988
fixed_adc_cut1000,ridge,127,-0.21716886991820283,1.6147287492345483,2.2754329666263735,0.7480314960629921,0.031496062992125984,1.279534742854815,2.2772705901031216,1.6229578703580916,0.3031328587980214,0.2055306944496969,0.6654122367367112
fixed_adc_cut1000,gated_residual_cnn_new,127,-0.0024888705529750865,1.656798957821239,1.800428211573943,0.7795275590551181,0.015748031496062992,1.4238322628562181,2.044003020818145,1.7158459734674436,0.3902467145583511,-0.1745534686702596,2.0372572592754636
fixed_efficiency,gradient_boosted_trees,1627,-0.13715723169006422,10.504583686686878,16.36997762677213,0.23601720958819913,0.5734480639213276,10.000996218247712,11.17138815758451,2.1194113827189933,0.2745815291440704,-0.17576021205116976,1.0520332652576474
fixed_efficiency,mlp,1627,-0.7355236896006732,12.796491990645947,16.209857420379095,0.2212661339889367,0.5894283958205285,11.096805813020014,14.072955335061376,2.3906594848280065,0.4038205316576751,-0.21644813859416698,1.0655685216626243
fixed_efficiency,ridge,1627,-0.18710130426882543,17.4008136901081,21.818262300646612,0.11923786109403811,0.7068223724646588,15.74618323253246,18.470608808412415,3.3134242373983875,1.528046663019556,-2.23277030800598,2.2744969738968277
fixed_efficiency,gated_residual_cnn_new,1627,2.593190566554685,21.658068959554836,26.299109187888305,0.12354025814382298,0.7252612169637369,19.401018659933616,23.778673694149173,140.17075421630534,111912.07114863764,815.093265509058,1.8411389129785827
fixed_efficiency,cnn_1d,1627,0.8566136449842503,33.754809359745735,36.36071447635181,0.12046711739397664,0.7701290719114936,31.170282164185505,36.94398255213422,2.39044539626194,0.6106615616881479,-0.4362734505402313,4.235602727526522
fixed_efficiency,constrained_monotone_timewalk,1627,0.9371866805107327,38.69513913318458,41.17800277095457,0.1210817455439459,0.7719729563614014,35.04993262517858,42.503412121446324,1.7210221676761674,0.2632449935979983,-0.15846770476495553,3.422977133149784
