support_choice,n_strata,trad_score_threshold,secondary_fraction_delta,ci_low,ci_high
all_matched,8,0.0,0.013066295653642666,-0.017828996737308648,0.04632032078423139
all_matched,8,0.005,0.013043963816479421,-0.018106419211552698,0.0455966931246651
all_matched,8,0.015,0.013373713690835873,-0.020414760036534568,0.04685196938298453
all_matched,8,0.03,0.014009964379094759,-0.018198113307054026,0.04782885464278671
all_matched,8,0.06,0.013856073843899393,-0.018473698037825358,0.04846460078123363
dominant_three,3,0.0,0.013235497826916251,-0.018711862567013883,0.045224753051573675
dominant_three,3,0.005,0.013235497826916251,-0.018244522960793284,0.04598317364391858
dominant_three,3,0.015,0.013673874804712962,-0.020766165905705857,0.04529730453207057
dominant_three,3,0.03,0.014275050218076507,-0.020379303582449347,0.04880527014411158
dominant_three,3,0.06,0.014152154277733975,-0.020431181051428104,0.0490288884529168
dominant_one,1,0.0,0.010631752769148854,-0.00791312909921961,0.030097388092914748
dominant_one,1,0.005,0.010631752769148854,-0.005954364128299684,0.027288650630111714
dominant_one,1,0.015,0.010631752769148854,-0.007655106212819675,0.02960064625104598
dominant_one,1,0.03,0.010631752769148854,-0.005638779583048382,0.02975863960329243
dominant_one,1,0.06,0.010601547330263136,-0.006251412027289977,0.027807442890622695
