model,detection_ap,detection_auc,time_rms_ns,time_sigma68_ns,charge_fractional_bias,charge_fractional_res68,failure_rate,n_events,n_positive,detection_ap_ci_low,detection_ap_ci_high,time_rms_ns_ci_low,time_rms_ns_ci_high,charge_fractional_bias_ci_low,charge_fractional_bias_ci_high,charge_fractional_res68_ci_low,charge_fractional_res68_ci_high,failure_rate_ci_low,failure_rate_ci_high,delta_time_rms_vs_traditional_ns,delta_charge_res68_vs_traditional,train_seconds,n_parameters,width
constrained_template_fit,0.7660068707525854,0.7198696145124717,15.522269110419414,7.649410763292606,-0.012701058559249445,0.10357459593476342,0.16428571428571428,840,420,0.759007989422535,0.7761180636182572,14.390899743723995,16.57079938803554,-0.020793182795590642,-0.0044086592652220185,0.09733269659120272,0.10491451393373316,0.1619047619047619,0.16666666666666666,0.0,0.0,,0,
ridge,0.8149840542945948,0.8335544217687075,8.862489228765233,7.882433891756235,-0.00857133755962804,0.07739151659028135,0.32142857142857145,840,420,0.8138393096179095,0.819975446522043,8.69246475408027,9.021384686420294,-0.01744156661205877,-0.003408165539302562,0.07385054863518684,0.08010167014128569,0.3047619047619048,0.3380952380952381,-6.659779881654181,-0.02618307934448208,0.04341912269592285,125,
gradient_boosted_trees,0.8834257993502574,0.8790362811791381,6.263298805003599,4.8300560554331575,-0.0011527456481830265,0.060578288915480005,0.2523809523809524,840,420,0.8769692296984752,0.888770484815914,6.112523422498261,6.403293080751612,-0.00504759758084871,0.0014320943136623828,0.06043888061268764,0.06212933274132827,0.23333333333333334,0.2714285714285714,-9.258970305415815,-0.04299630701928342,1.7405264377593994,140,
mlp,0.8364400346668818,0.8485204081632653,8.54226118561186,6.647420585584106,-0.010725485103858134,0.06652340125363858,0.31666666666666665,840,420,0.8292679028597885,0.8464090351374545,8.483339426313519,8.600374293489699,-0.011258554250777066,-0.010470005307212347,0.06571057082796886,0.0671968642522678,0.3142857142857143,0.319047619047619,-6.980007924807554,-0.03705119468112485,3.202833414077759,2736,
cnn,0.786939451544907,0.7907823129251701,11.067073723791625,9.496390086111711,0.012308522865532004,0.08775651443836402,0.2619047619047619,840,420,0.7742920176241042,0.8014114971463792,10.898573999289406,11.239547438324331,-0.001793208046779393,0.01959370122248142,0.08582023033362637,0.09110923841783217,0.24761904761904763,0.2761904761904762,-4.455195386627789,-0.015818081496399405,3.0112802982330322,461,8.0
resnet,0.7831917828989223,0.7854931972789116,11.067490695676478,10.033263919235862,-0.004122287216341278,0.08540725926393886,0.3595238095238095,840,420,0.7733678342837639,0.7926752507917004,10.763842862768822,11.348221531018682,-0.006361909860791139,0.001816963339835759,0.07659800958631119,0.08984044048884487,0.34285714285714286,0.3761904761904762,-4.454778414742936,-0.01816733667082457,3.8302903175354004,661,8.0
tcn,0.8024406483597508,0.7975935374149659,10.624201546278119,9.392861372651168,-0.004135334261747588,0.08433177371841602,0.29523809523809524,840,420,0.7950693036729889,0.8109725195037002,10.4417550390513,10.805987228919294,-0.005315536235430601,-0.0020362367021276597,0.0829003190760931,0.08780660180577886,0.2904761904761905,0.3,-4.898067564141295,-0.019242822216347405,3.1497714519500732,461,8.0
attention,0.6961612810739534,0.7199092970521541,14.50787474696272,14.392350716189117,-0.03247288825103591,0.1065968999202348,0.5595238095238095,840,420,0.6838049835009916,0.7139465749256207,14.013575822958355,14.889666804403008,-0.03624449384973404,-0.023312468963071306,0.10580443442486911,0.1099807253169243,0.5095238095238095,0.6095238095238096,-1.0143943634566934,0.003022303985471375,6.931894302368164,549,8.0
gru,0.8227388992987335,0.8127664399092971,11.191019320010826,10.72592830509673,0.003223380803674936,0.08311756629765107,0.28809523809523807,840,420,0.8212341910006914,0.8254134762837732,11.070046295221907,11.306781890406304,-0.00012724288502067704,0.0059883513131123575,0.08247644477826158,0.08447994952635378,0.2761904761904762,0.3,-4.331249790408588,-0.02045702963711235,9.358113765716553,1269,16.0
