run,event,stave,channel,baseline,amplitude,duplicate_amplitude,peak_sample,area,positive_area,tail_fraction,pretrigger_slope,cfd20_sample,cfd50_sample,cfd80_sample,rise_time_sample,late_peak_sample,pileup_separation_sample,late_peak_prominence,flat_top_samples,w00,w01,w02,w03,w04,w05,w06,w07,w08,w09,w10,w11,w12,w13,w14,w15,w16,w17,target_onset_residual_ns,raw_cfd50_residual_ns,split,energy_bin,pedestal_drift_abs,pedestal_drift_bin,pulse_shape_class,pileup_separation_bin,saturation_onset_bin,pid_sideband,target_timing_ns,target_log_amp_residual,target_energy_residual,pid_identity_label,pid_low_sideband,pedestal_memory_score
31,8226,B2,0,6740.5,7890.5,38.0,6,62341.0,62355.0,0.32860235746932887,88.0,3.586427457098284,4.270268872802482,4.7598552223371255,1.1734277652388414,9,3,0.5816488181991002,1,-0.0017109181927634498,6.336734047272036e-05,-6.336734047272036e-05,0.009441733730435333,0.33438945567454537,0.9471516380457512,1.0,0.7896204296305684,0.5337431088017236,0.5816488181991002,0.5563018820100121,0.5533869843482669,0.46429250364362207,0.40852924402762814,0.3850833280527216,0.42310373233635384,0.4609974019390406,0.45478740257271405,-1.1094807128782858,-0.8545580740553582,train,q4_high,10.5,low,nominal,close,near_saturation,central,-1.1094807128782858,0.1054452219869475,-0.13584910561861463,0,0,1150.5
31,14032,B2,0,6737.0,3518.0,8.0,6,30341.0,30345.0,0.2520349316197067,10.0,4.080388793596341,4.683819325328759,5.416583747927032,1.3361949543306908,10,4,0.9826606026151222,1,0.0002842524161455372,-0.0008527572484366117,-0.0002842524161455372,0.0031267765776009098,0.16003411028993747,0.657191586128482,1.0,0.9678794769755543,0.8760659465605458,0.9616259238203525,0.9826606026151222,0.842808413871518,0.6472427515633883,0.47981807845366686,0.3558840250142126,0.2674815235929505,0.23422399090392268,0.1893121091529278,3.8301326521022805,3.2809464512074182,train,q3,14.0,mid,compact,mid,linear,central,3.8301326521022805,-0.7021641505304395,0.5878867078334107,0,0,246.0
31,11171,B2,0,6745.5,8105.5,6.0,6,61458.0,61465.0,0.33563816806312535,2.0,4.100576258163658,4.567662312716097,5.100388457269701,0.9998121991060431,9,3,0.5849731663685152,1,-0.0005551785824440195,0.00030843254580223303,0.0005551785824440195,-0.00030843254580223303,0.1354018876071803,0.7776818209857504,1.0,0.8470174572820924,0.6184072543334773,0.5849731663685152,0.5515390784035531,0.5220529270248596,0.47134661649497256,0.4105237184627722,0.3906606625131084,0.3811609401023996,0.4417370920979582,0.4497563382888162,4.032007297775451,2.119376325080795,train,q4_high,5.5,low,nominal,close,near_saturation,low_duplicate,4.032007297775451,0.13232520013809967,-0.4543568904728783,0,1,73.5
31,16200,B2,0,6746.0,6530.0,6.0,6,54447.0,54454.0,0.3567598339883204,2.0,4.1062812926718255,4.552116522530723,4.997951752389622,0.8916704597177967,9,3,0.6528330781010719,1,0.00030627871362940275,-0.0007656967840735069,-0.00030627871362940275,0.0006125574272588055,0.12848392036753445,0.8013782542113324,1.0,0.8546707503828483,0.6499234303215926,0.6528330781010719,0.6375191424196018,0.6382848392036753,0.5618683001531394,0.4998468606431853,0.4756508422664625,0.49096477794793264,0.5376722817764166,0.4090352220520674,4.089057642857128,1.9639184232270601,train,q4_high,5.0,low,nominal,close,near_saturation,low_duplicate,4.089057642857128,-0.08378093794936703,0.3013627100517109,0,1,69.0
31,5447,B2,0,6772.0,8871.0,235.5,5,67459.0,67468.0,0.30134285883678186,459.0,3.263652802893309,3.798372513562387,4.483041958041958,1.2193891551486487,9,4,0.5324089730582798,1,0.00033818058843422386,-0.00033818058843422386,-0.0006763611768684477,0.05207981061887048,0.6131214068312479,1.0,0.9231202795626198,0.6866193213842858,0.5419907563972495,0.5324089730582798,0.4945327471536467,0.4693946567467027,0.39014767219028296,0.36298049825273365,0.33040243490023674,0.38169315747942734,0.413369405929433,0.41325667906662156,-4.3372272549280355,-5.573521666456305,train,q4_high,21.0,mid,nominal,mid,near_saturation,central,-4.3372272549280355,0.22255924117817827,-0.43217441204356444,0,0,5697.0
31,661,B2,0,6744.0,5146.0,20.5,6,45466.0,45469.0,0.32626624733334797,35.0,3.7408345752608048,4.36452301127705,4.835050289545871,1.094215714285066,9,3,0.743101438010105,1,0.0,0.0,-0.000582977069568597,0.006801399144966964,0.267586474931986,0.9051690633501749,1.0,0.8569762922658375,0.708900116595414,0.743101438010105,0.7423241352506802,0.7221142635056355,0.6521570151574038,0.6165954139137194,0.5701515740380878,0.42032646715895844,0.33715507190050525,0.2864360668480373,0.4345904687469204,0.08798331069032272,train,q4_high,7.0,low,nominal,close,linear,central,0.4345904687469204,-0.32192698819926946,0.7985959645636083,0,0,483.0
31,7903,B2,0,6753.0,6371.0,110.0,6,56825.0,56826.0,0.3310808432759652,218.0,3.3726887791107973,4.040639269406393,4.622465753424658,1.2497769743138605,9,3,0.667556113639931,2,0.0,-0.0001569612305760477,0.0,0.0342175482655784,0.47904567571809764,0.9946633181604144,1.0,0.8177680113012086,0.7141735991210171,0.667556113639931,0.6488777272013813,0.6101083032490975,0.5490503845550149,0.49992151938471197,0.4608381729712761,0.5313137654999215,0.5300580756553132,0.3818866739915241,-3.246867492753154,-3.1508541080162455,train,q4_high,2.0,low,nominal,close,near_saturation,central,-3.246867492753154,-0.10842761682208568,0.8827060770455777,0,0,2634.0
31,6142,B2,0,6728.5,7105.5,25.0,6,58107.0,58112.0,0.3363332874449339,53.0,3.631080459770115,4.296046770601336,4.770801781737194,1.1397213219670785,9,3,0.6214200267398494,1,-0.0006333122229259025,-7.036802476954472e-05,7.036802476954472e-05,0.0068256984026458375,0.3129266061501654,0.9448314685806769,1.0,0.7981845049609457,0.5728660896488635,0.6214200267398494,0.5920061923861797,0.5786362676799662,0.49166138906480894,0.46098093026528747,0.4257969178805151,0.4691436211385546,0.5067201463654916,0.3963830835268454,-0.6629506861599754,-0.5967790960668129,train,q4_high,22.5,mid,nominal,close,near_saturation,central,-0.6629506861599754,0.0006688493270416984,0.14113378012953604,0,0,838.5
31,2735,B2,0,6789.5,4094.5,71.5,6,38257.0,38261.0,0.2694127179111889,136.0,3.404985163204748,4.099889380530973,4.643407079646018,1.2384219164412698,9,3,0.8844791793869825,2,0.00012211503236048357,-0.00012211503236048357,-0.000854805226523385,0.03333740383441201,0.44486506288924166,0.9968250091586274,1.0,0.8800830382220052,0.874221516668702,0.8844791793869825,0.8700696055684455,0.8429600683844182,0.7738429600683844,0.5435340090365124,0.37477103431432407,0.32152888020515324,0.26755403590181953,0.23629258761753572,-2.9239036518136485,-2.5583529967704433,train,q3,38.5,high,nominal,close,near_saturation,central,-2.9239036518136485,-0.5504521988963678,1.3068937355917054,0,0,1978.5
31,468,B2,0,6786.0,7667.0,23.0,6,60994.0,60996.0,0.3335300675454128,42.0,3.738682516097078,4.357214832728738,4.820757758968158,1.0820752428710803,9,3,0.5951480370418677,1,0.0,-0.00026085822355549756,0.0,0.005478022694665449,0.26881439937394025,0.9160036520151298,1.0,0.8215729750880396,0.5621494717620973,0.5951480370418677,0.5691926437980958,0.563845050215208,0.4778922655536716,0.4195904525890179,0.40002608582235555,0.4225903221599061,0.4686317986174514,0.46471892526411895,0.4130698771096508,0.014901525207209332,train,q4_high,35.0,high,nominal,close,near_saturation,central,0.4130698771096508,0.07671481631351007,-0.08122260666632464,0,0,819.0
