method,stratum,level,n,amplitude_sigma68,timing_res68_ns,energy_bias,energy_sigma68,saturation_interaction_energy_sigma68,pid_auc,pid_ap,pid_log_loss,pid_ece
1d_cnn,energy_bin,q1_low,1324,0.3297823711813951,6.443313715642732,-0.06386667718175287,0.8474217535923914,0.7792187435883687,0.9899497861260926,0.9903933195793384,0.08160548326036898,0.019027464642107004
gradient_boosted_trees,energy_bin,q1_low,1324,0.08275967357521766,3.7905399050776234,-0.15987536258077628,0.7677600999438063,0.7156580977787553,0.9999206496807389,0.9998579844716955,0.015298172728148466,0.005250701462415403
mlp,energy_bin,q1_low,1324,0.10247561023271193,3.9320286491648835,-0.0801304143846363,0.750279046738475,0.7079933248662813,0.9975773355650611,0.9973611568018821,0.04134009098832653,0.01815898654424779
pedestal_memory_transformer_new,energy_bin,q1_low,1324,0.294364895214536,4.89272190001074,-0.2534237094850331,1.3492819420718112,0.9016682139072478,0.9949562953319695,0.9953485703577407,0.07856761631595056,0.02662058790450706
ridge,energy_bin,q1_low,1324,0.21090773009024527,3.983018592292825,-0.04659749360880644,0.7494486862129468,0.7516188419148488,0.9864137375240222,0.9875984517464974,0.28085074504359125,0.2078758670175579
traditional_pedestal_scorecard,energy_bin,q1_low,1324,0.12089426304838509,1.0855808807496417,0.32464254093189854,2.8359383137954763,1.2877540681789068,0.7851887669704296,0.840382679599909,0.5985903526610644,0.3106006120155244
1d_cnn,energy_bin,q2,1445,0.15728559234311665,6.366954476912749,-0.0839137248402837,0.841684986450294,0.9043647837370112,0.9822109847973082,0.9743170935081569,0.08295625035264445,0.0206049851382027
gradient_boosted_trees,energy_bin,q2,1445,0.07401810781273346,3.6561522716334682,-0.17779731154956835,0.7769184242908826,0.7944119413703348,0.9999935663597821,0.999971303536839,0.0032081610183196264,0.0011130296699010576
mlp,energy_bin,q2,1445,0.08232529664389385,4.331351393182043,-0.11671134339753997,0.7640267206274735,0.8088692196194569,1.0,1.0,0.012616520458728204,0.010863559156276901
pedestal_memory_transformer_new,energy_bin,q2,1445,0.12287041356824246,5.570418487063043,-0.3112117472282767,0.9421878331470073,1.0049252218472762,0.9996718843488834,0.998875582242292,0.0442937027527602,0.030681768065531155
ridge,energy_bin,q2,1445,0.16377761327373452,4.385448015371177,-0.1300214043694301,0.812219827910788,0.8602024846414218,0.9975970353785876,0.9921827069035676,0.26913004502927984,0.21750743428510702
traditional_pedestal_scorecard,energy_bin,q2,1445,0.07569199733591525,1.1176647224694278,0.5551059188283896,1.6266623845065942,1.1799188899796098,0.39813295760874456,0.3550090460699059,0.6994783472085654,0.3375508478768567
1d_cnn,energy_bin,q3,1374,0.15211524892407607,5.506639187439247,-0.2296115731798456,0.9144363472337729,0.9621154672035256,0.9859662136810009,0.969226906370236,0.085157413904218,0.01979144904931325
gradient_boosted_trees,energy_bin,q3,1374,0.08894298692784817,3.750955692315833,-0.21223132991994031,0.80900069028664,0.8667469869024365,1.0,1.0000000000000002,0.001367879341958607,0.0009433432960149722
mlp,energy_bin,q3,1374,0.09588491501086846,4.421106158219657,-0.1366660682601123,0.8196543814510304,0.8653504162687412,0.9998792421582876,0.9993191621342943,0.011568871329408334,0.0050335939592688
pedestal_memory_transformer_new,energy_bin,q3,1374,0.1332320276681429,5.292462134867847,-0.5628731777114275,0.9984327203772871,1.1261653967345695,0.9962263174464892,0.9928227602752763,0.05114357075097657,0.03413076977431232
ridge,energy_bin,q3,1374,0.16247243291323102,4.205375241356619,-0.1025213191190869,0.8166958328989473,0.8564373464854227,0.9980894384329082,0.9912471634858746,0.2584329951592671,0.20879306592053834
traditional_pedestal_scorecard,energy_bin,q3,1374,0.09814995508431158,1.2199218093949606,1.1983076472090235,1.5877863505261143,1.3136743196803136,0.24632443319288047,0.21610490985684805,0.7046516685429903,0.36267646101823997
1d_cnn,energy_bin,q4_high,1053,0.30822493957059927,7.508842123362209,-0.15200692481685785,0.8372661538643718,0.6617771460163799,0.9587788073176527,0.9037134459714355,0.14930326148516965,0.02700579782280362
gradient_boosted_trees,energy_bin,q4_high,1053,0.23891645023708175,3.4910012059332365,-0.05734755009440273,0.6931918563626047,0.5075076708471628,0.9996673794250417,0.9978720230939321,0.019414225995950725,0.005794335029631313
mlp,energy_bin,q4_high,1053,0.22904958284700172,3.9094888816236133,-0.042087912066180316,0.7120857278429631,0.5527549332473133,0.9986220004751722,0.9936765621283566,0.025629202217733623,0.0065097385789007695
pedestal_memory_transformer_new,energy_bin,q4_high,1053,0.30745219688935044,5.415906408875075,-1.0266761502486155,1.2380205930886672,0.9953027706511961,0.9969272194503841,0.9814052189527166,0.06170035123156708,0.02220629596974831
ridge,energy_bin,q4_high,1053,0.24890797516264207,3.6993570857703446,-0.02284354461062421,0.7105484588944699,0.5811121344334833,0.991328106438584,0.972732104627247,0.2539524931822238,0.1937481789478433
traditional_pedestal_scorecard,energy_bin,q4_high,1053,0.3120794498974099,1.3839508448391111,0.08137881169047288,1.787731166550886,1.1724501823314752,0.18918191177635227,0.12861720254689268,0.7006157326044967,0.3649825537182793
1d_cnn,pedestal_drift_bin,high,1646,0.21857769444783715,8.060242650187643,-0.14936461042767046,0.9316698038633457,0.8436835112850536,0.9822021406614571,0.9888959369270742,0.16858557033969793,0.02939130593309721
gradient_boosted_trees,pedestal_drift_bin,high,1646,0.08846604485026016,3.8966067471802965,-0.15369858310659779,0.8184696651326955,0.7523860199014437,0.9999555572015851,0.99996045504305,0.010904982813041543,0.003965575337081464
mlp,pedestal_drift_bin,high,1646,0.10147573118559597,4.23321411421059,-0.15544395385933352,0.8059386032718896,0.7732504664825354,0.998552646198289,0.9989514752619125,0.03518273924739649,0.006013739605832341
pedestal_memory_transformer_new,pedestal_drift_bin,high,1646,0.2840365120544357,6.734692024310731,-0.24945418334591585,1.7658931091625698,1.4787885399009986,0.9950342579904449,0.9967870248774086,0.082379794244518,0.024098308519024572
ridge,pedestal_drift_bin,high,1646,0.1939822381889888,4.21934895004398,-0.07583395170150642,0.8066906616832317,0.8113843087846293,0.9918121551053665,0.9943922831034345,0.28039476488441983,0.19011961414028142
traditional_pedestal_scorecard,pedestal_drift_bin,high,1646,0.15699860748878408,1.1671400735142818,0.49985844266045665,2.7353050597233466,1.6081878789798116,0.7012555090552202,0.8305343662532341,0.593191846755451,0.1693162082129783
1d_cnn,pedestal_drift_bin,low,1652,0.256375321441145,7.429039748618769,-0.06939088125063186,0.8223269980010142,0.7998954969000778,0.9837196879348041,0.9061057967897487,0.0704426792659567,0.019478204728911097
gradient_boosted_trees,pedestal_drift_bin,low,1652,0.11333931600120785,3.6863133611628136,-0.12499653284979564,0.6980072427220975,0.6388104875244711,0.9998944046909164,0.9984378330818715,0.011384847540054706,0.0032477288674722287
mlp,pedestal_drift_bin,low,1652,0.11263310291756584,4.042620092127607,-0.03402812141581335,0.7049054266234024,0.6602234350991164,0.999347793679189,0.993342153499724,0.01776758019911021,0.00798731934876737
pedestal_memory_transformer_new,pedestal_drift_bin,low,1652,0.2797492022051788,5.996232236616082,-0.4875741243459011,0.9890073462571387,1.0526262586605308,0.9983539554760485,0.9783984606570368,0.05305954562200792,0.03024466256847826
ridge,pedestal_drift_bin,low,1652,0.19777936655317419,4.15138102170494,-0.03619975884935844,0.7343283134226108,0.7367462272174088,0.9941612005565494,0.9697988464699318,0.26356593222560387,0.21491451390197805
traditional_pedestal_scorecard,pedestal_drift_bin,low,1652,0.17987535102143667,1.1710205476529196,0.6197076552620394,1.8709890561163274,1.798285651098365,0.020162492546213478,0.033815663554220866,0.7286566211171145,0.44556415475615646
1d_cnn,pedestal_drift_bin,mid,1898,0.2655455643659684,6.882632301334043,-0.18315381795633456,0.8449472755663914,0.8253354032640728,0.9917687074829932,0.9025362464314237,0.05704789658486599,0.017355878132163934
gradient_boosted_trees,pedestal_drift_bin,mid,1898,0.104283383974069,3.6170040239206585,-0.18651678678046302,0.7799708593573687,0.7562294335923335,0.9999603174603174,0.9992855892995149,0.005508877611533675,0.002227483678294663
mlp,pedestal_drift_bin,mid,1898,0.11422397337462833,4.141327885999898,-0.11007730532277941,0.7891521611756056,0.8051488711900456,0.9999149659863945,0.9984823597942004,0.015060853731898019,0.011170205870201894
pedestal_memory_transformer_new,pedestal_drift_bin,mid,1898,0.29261762452509205,5.775926751541329,-0.625416326148212,0.9426371350345848,1.0519839734238048,0.9990646258503402,0.9789608730982543,0.04215919380648329,0.028326404472573556
ridge,pedestal_drift_bin,mid,1898,0.1963883524410463,4.005664007826518,-0.11387765935694594,0.7993831582686627,0.8401051945792826,0.9986621315192744,0.9785823799155825,0.25621575823934983,0.2103857414147169
traditional_pedestal_scorecard,pedestal_drift_bin,mid,1898,0.18035422833128842,1.1863144576393838,0.6511983385405317,1.7295929268430768,1.5774597819590177,0.012482993197278905,0.02669691863205431,0.700255574186135,0.4449159437009472
