method,run,n,amplitude_sigma68,timing_res68_ns,energy_bias,energy_sigma68,saturation_interaction_energy_sigma68,pid_auc,pid_ap,pid_log_loss,pid_ece
1d_cnn,42,627,0.31114772258447787,8.927300766109445,0.006839868959632511,0.9401835756102805,0.8149905528320618,0.988341298590606,0.9701280329732961,0.10837632639966319,0.023474165038739947
1d_cnn,50,650,0.32256305808948527,10.061548283235663,0.3430603737032185,0.5092525258510171,0.3115379479329151,0.9603111410546947,0.9433554588662375,0.10892048276333097,0.020642766632518034
1d_cnn,57,640,0.25940512711536046,8.696866162765986,0.36745670174279077,1.194408486852541,1.091061875365946,0.9552514579363705,0.9353767507830341,0.17296918010552062,0.04207542453870019
1d_cnn,58,624,0.24359824232818544,7.369453379026484,0.25841197582659836,1.2707093430319774,1.1700771137484827,0.9903838930208099,0.97992119759126,0.052841163358369934,0.009687727918640705
1d_cnn,60,680,0.18015241068988525,6.344282329650696,-0.9165927369547324,0.6223677314900822,0.6696145860847119,0.9886137958427115,0.9855830356385388,0.09402973711355174,0.020074975384972372
1d_cnn,62,680,0.1730980518332033,5.620175953914492,-0.6728486939784162,0.44323525376730666,0.46866564886626744,0.9861352022877503,0.9792798507956492,0.09642080720358155,0.0211475085050279
1d_cnn,64,680,0.19201091012231092,5.99075012349023,-0.27447880474130315,0.662526383184767,0.6062484500675248,0.994741162587861,0.9861283404675003,0.0654221218702458,0.012762282503412919
1d_cnn,65,615,0.2624657136109256,6.168323413608837,0.1964806385746014,0.4656563894867205,0.37665782772535894,0.9923420981295744,0.9811240336848613,0.07434669591097742,0.014545569435326094
gradient_boosted_trees,42,627,0.06992312672090797,3.335954575702207,-0.12514077404076854,0.4941055672261274,0.39941791699321466,0.9997716964475967,0.9991684272641199,0.023170874145323886,0.006550263496404455
gradient_boosted_trees,50,650,0.08521745445923669,9.874214858690896,0.166508029349695,0.49948588136801964,0.39613197463648697,1.0,1.0,0.0012510178642064257,0.001172663853499061
gradient_boosted_trees,57,640,0.03869620452073229,3.251689663055175,0.08950504215485444,0.4622315070682854,0.4865104598257546,1.0,1.0,0.011691634468629083,0.005215132454831224
gradient_boosted_trees,58,624,0.08047462495152889,2.717242725796673,-0.04573723596632279,0.5616729207087247,0.6101578101426938,0.9999812185410563,0.99990481629545,0.007889385511107013,0.0035539726220428724
gradient_boosted_trees,60,680,0.20632052902886988,4.1635983762187845,-1.188186940985446,1.1753575205137452,1.158207454673512,0.9999779337128735,0.9999397857891823,0.0058229698823709175,0.0033848565592011857
gradient_boosted_trees,62,680,0.14806761583105527,2.3104754305009947,-0.8225660291761488,0.8466443464843836,0.708446113642545,0.9999882799681216,0.9999639275665536,0.005897958389172119,0.002450577974967769
gradient_boosted_trees,64,680,0.15496504004601366,3.7853824556669426,-0.1697219094599729,0.8186594643362755,0.8209722207777987,1.0,1.0000000000000002,0.0023667502267734073,0.0015120700240258502
gradient_boosted_trees,65,615,0.17636727681956285,3.0205186706136216,0.10038349184199347,0.6702381139574716,0.6448971090463664,0.9999322309568989,0.9997163169790245,0.01607589569848267,0.006042357828175089
mlp,42,627,0.1107445335560591,4.517163553898752,-0.06404215818277947,0.6146254709507256,0.5507907997061786,0.9997564762107698,0.9991306616637674,0.02529223913562232,0.014182017665237736
mlp,50,650,0.09448177510566434,8.826877217862208,0.19857525393633635,0.37074457330503396,0.2721592476911664,0.999510014087095,0.99727993146284,0.01819850209906003,0.0076499116860620255
mlp,57,640,0.06589244180225566,4.540042948025953,0.06649524065008605,0.459555087519182,0.5187700839651903,0.9949910502915873,0.9918063932475983,0.043992386935078974,0.00978084489821967
mlp,58,624,0.07962719400954475,4.424229649305543,0.0415203739142504,0.4781403984872645,0.5719092451489969,0.9987604237097137,0.9956778726737016,0.02428494973767935,0.01004463044705783
mlp,60,680,0.17885002415045073,4.800346030300979,-1.2168064112987074,1.1440898720916004,1.0444833981672086,0.9993159450990776,0.9985644664745308,0.018447012438495267,0.004878148949314285
mlp,62,680,0.1261844845954609,3.424027689167715,-0.8283221789539319,0.8817062282905812,0.6810609826063942,0.9998124794899441,0.9994463499932745,0.016233905964522295,0.005804443488768132
mlp,64,680,0.13945100994466428,4.403411022965177,-0.2082479624269188,0.8069998701906727,0.7851376053525418,1.0,1.0,0.009747142693259702,0.008561335904820193
