comparison,delta_ns,ci_low_ns,ci_high_ns,p_two_sided
ml_minus_raw_pair_median_sigma68,-0.7296506548526414,-8.642992246547646,-0.5429215967896779,0.0
ml_minus_saturation_ridge_sigma68,-5.272716878752033,-6.11189526172254,-4.919735849001669,0.0
