heldout_run,method,best_config,feature_count,config_index,fold,sigma68_target_residual_ns,alpha,l2_regularization,max_iter,max_leaf_nodes,learning_rate,hidden_layer_sizes
58,ridge,"{""alpha"": 100.0}",24.0,,,,,,,,,
58,gradient_boosted_trees,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 15}",24.0,,,,,,,,,
58,mlp,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [64, 32], ""max_iter"": 220}",24.0,,,,,,,,,
58,cnn1d,"{""epochs"": 64, ""target_center_ns"": 1.5339126586914062, ""target_scale_ns"": 3.409759521484375}",24.0,,,,,,,,,
58,atom_gated_cnn,"{""epochs"": 64, ""target_center_ns"": 1.5339126586914062, ""target_scale_ns"": 3.409759521484375}",24.0,,,,,,,,,
58,ridge,,,0.0,0.0,1.225037583455689,0.1,,,,,
58,ridge,,,0.0,1.0,1.0328545934363138,0.1,,,,,
58,ridge,,,0.0,2.0,1.0026682360498531,0.1,,,,,
58,ridge,,,0.0,-1.0,1.0868534709806186,0.1,,,,,
58,ridge,,,1.0,0.0,1.223657826450334,1.0,,,,,
58,ridge,,,1.0,1.0,1.0294615938706058,1.0,,,,,
58,ridge,,,1.0,2.0,1.0017758940306303,1.0,,,,,
58,ridge,,,1.0,-1.0,1.0849651047838567,1.0,,,,,
58,ridge,,,2.0,0.0,1.2116709543234823,10.0,,,,,
58,ridge,,,2.0,1.0,1.032904204268297,10.0,,,,,
58,ridge,,,2.0,2.0,0.9962509343709434,10.0,,,,,
58,ridge,,,2.0,-1.0,1.0802753643209073,10.0,,,,,
58,ridge,,,3.0,0.0,1.1634673178006776,100.0,,,,,
58,ridge,,,3.0,1.0,1.0180034094326023,100.0,,,,,
58,ridge,,,3.0,2.0,0.9849443835251928,100.0,,,,,
58,ridge,,,3.0,-1.0,1.0554717035861574,100.0,,,,,
58,gradient_boosted_trees,,,0.0,0.0,1.0688663103480518,,0.0,180.0,15.0,0.05,
58,gradient_boosted_trees,,,0.0,1.0,0.9791941375019722,,0.0,180.0,15.0,0.05,
58,gradient_boosted_trees,,,0.0,2.0,0.9302035339604042,,0.0,180.0,15.0,0.05,
58,gradient_boosted_trees,,,0.0,-1.0,0.9927546606034762,,0.0,180.0,15.0,0.05,
58,gradient_boosted_trees,,,1.0,0.0,1.0586482243084832,,0.1,180.0,15.0,0.05,
58,gradient_boosted_trees,,,1.0,1.0,0.9788586483671282,,0.1,180.0,15.0,0.05,
58,gradient_boosted_trees,,,1.0,2.0,0.9303066231623294,,0.1,180.0,15.0,0.05,
58,gradient_boosted_trees,,,1.0,-1.0,0.9892711652793137,,0.1,180.0,15.0,0.05,
58,mlp,,,0.0,0.0,1.0956244970335827,0.0001,,220.0,,,"[64, 32]"
58,mlp,,,0.0,1.0,0.9912867974512033,0.0001,,220.0,,,"[64, 32]"
58,mlp,,,0.0,2.0,0.9381373913614345,0.0001,,220.0,,,"[64, 32]"
58,mlp,,,0.0,-1.0,1.0083495619487401,0.0001,,220.0,,,"[64, 32]"
59,ridge,"{""alpha"": 100.0}",24.0,,,,,,,,,
59,gradient_boosted_trees,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 15}",24.0,,,,,,,,,
59,mlp,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [64, 32], ""max_iter"": 220}",24.0,,,,,,,,,
59,cnn1d,"{""epochs"": 64, ""target_center_ns"": 1.4803043603897095, ""target_scale_ns"": 3.3634788393974304}",24.0,,,,,,,,,
59,atom_gated_cnn,"{""epochs"": 64, ""target_center_ns"": 1.4803043603897095, ""target_scale_ns"": 3.3634788393974304}",24.0,,,,,,,,,
59,ridge,,,0.0,0.0,1.220757553332132,0.1,,,,,
59,ridge,,,0.0,1.0,1.0254373338649208,0.1,,,,,
59,ridge,,,0.0,2.0,1.0294932708144202,0.1,,,,,
59,ridge,,,0.0,-1.0,1.091896052670491,0.1,,,,,
59,ridge,,,1.0,0.0,1.218366157372115,1.0,,,,,
59,ridge,,,1.0,1.0,1.0219596880561497,1.0,,,,,
59,ridge,,,1.0,2.0,1.0285343848805921,1.0,,,,,
59,ridge,,,1.0,-1.0,1.089620076769619,1.0,,,,,
59,ridge,,,2.0,0.0,1.205330233884255,10.0,,,,,
59,ridge,,,2.0,1.0,1.016755743977896,10.0,,,,,
59,ridge,,,2.0,2.0,1.0128093407638559,10.0,,,,,
59,ridge,,,2.0,-1.0,1.0782984395420023,10.0,,,,,
59,ridge,,,3.0,0.0,1.1545674695923824,100.0,,,,,
59,ridge,,,3.0,1.0,0.9873343038021964,100.0,,,,,
59,ridge,,,3.0,2.0,1.0098837929336737,100.0,,,,,
