method,base_method,drift_order,n,pred_mean_ns,target_mean_ns,heldout_run
s02e_binned_timewalk_drift0,s02b_template,0,37,-7.430450595761705,-8.335991681735733,58
s02e_binned_timewalk_drift0,s02b_template,0,36,-3.229408559650917,-3.5490308132635318,58
s02e_binned_timewalk_drift0,s02b_template,0,37,1.214045047394086,1.263780814826872,58
s02e_binned_timewalk_drift0,s02b_template,0,36,2.2823410102581096,2.8404869824016674,58
s02e_binned_timewalk_drift0,s02b_template,0,36,3.148503570732498,2.8236279841904275,58
s02e_binned_timewalk_drift0,s02b_template,0,37,4.73550676746017,5.014291150156741,58
s02e_binned_timewalk_drift1,s02b_template,1,37,-8.927054897177864,1.251510301794405,58
s02e_binned_timewalk_drift1,s02b_template,1,36,-7.900026855301165,2.9814393977278737,58
s02e_binned_timewalk_drift1,s02b_template,1,37,-7.006394786278238,2.6694635122017867,58
s02e_binned_timewalk_drift1,s02b_template,1,36,-5.430687159497854,5.105248668490183,58
s02e_binned_timewalk_drift1,s02b_template,1,36,12.02123239206017,-8.506390268898635,58
s02e_binned_timewalk_drift1,s02b_template,1,37,16.2660457177099,-3.512614914090766,58
s02e_binned_timewalk_drift2,s02b_template,2,37,-255782.26934491642,-8.335991681735733,58
s02e_binned_timewalk_drift2,s02b_template,2,36,-255778.02986596085,-3.5490308132635318,58
s02e_binned_timewalk_drift2,s02b_template,2,37,123259.41060585232,1.2265988249110023,58
s02e_binned_timewalk_drift2,s02b_template,2,36,123261.48240317257,3.9532800990606285,58
s02e_binned_timewalk_drift2,s02b_template,2,36,132359.11733995783,2.7157605755421326,58
s02e_binned_timewalk_drift2,s02b_template,2,37,132361.31726269354,4.073707586332506,58
s02e_global_timewalk_drift0,template_phase,0,37,-4.360469199270016,-4.906445441602824,58
s02e_global_timewalk_drift0,template_phase,0,36,-3.386069863805697,-4.03892048076659,58
s02e_global_timewalk_drift0,template_phase,0,37,1.2712623753376648,1.3930848155330913,58
s02e_global_timewalk_drift0,template_phase,0,36,2.395743427136613,2.495395160817274,58
s02e_global_timewalk_drift0,template_phase,0,36,2.5888237643848937,2.9311052159229445,58
s02e_global_timewalk_drift0,template_phase,0,37,3.000848851635929,2.163282889446754,58
s02e_global_timewalk_drift1,template_phase,1,37,-14.729706537291433,2.474754968995787,58
s02e_global_timewalk_drift1,template_phase,1,36,-14.39355688627874,2.6406733403605847,58
s02e_global_timewalk_drift1,template_phase,1,37,-13.320593109028101,1.8594383506571248,58
s02e_global_timewalk_drift1,template_phase,1,36,-11.924299334341004,2.1450237190721517,58
s02e_global_timewalk_drift1,template_phase,1,36,24.549657921612713,-4.898937934095317,58
s02e_global_timewalk_drift1,template_phase,1,37,25.50988827321322,-4.224013009170392,58
s02e_global_timewalk_drift2,template_phase,2,37,-165136.14572291082,1.547426121474554,58
s02e_global_timewalk_drift2,template_phase,2,36,-165134.67459621438,2.1450237190721517,58
s02e_global_timewalk_drift2,template_phase,2,37,-91644.78489263858,2.6022625633715184,58
s02e_global_timewalk_drift2,template_phase,2,36,-91644.42789754231,2.8303031039120587,58
s02e_global_timewalk_drift2,template_phase,2,36,256503.58359858405,-4.898937934095317,58
s02e_global_timewalk_drift2,template_phase,2,37,256504.55063433593,-4.224013009170392,58
s02e_binned_timewalk_drift0,s02b_template,0,382,-9.163553440471878,-9.451356339055254,59
s02e_binned_timewalk_drift0,s02b_template,0,381,-4.0519243408709045,-4.050278242940456,59
s02e_binned_timewalk_drift0,s02b_template,0,382,1.3578444058037793,1.4365863363339135,59
s02e_binned_timewalk_drift0,s02b_template,0,381,2.6247054558943415,2.9875644324428885,59
s02e_binned_timewalk_drift0,s02b_template,0,381,3.546888381974925,3.583238739778917,59
s02e_binned_timewalk_drift0,s02b_template,0,382,5.248513151796973,5.500843306239158,59
s02e_binned_timewalk_drift1,s02b_template,1,382,-9.127616362798832,-9.452885601194406,59
s02e_binned_timewalk_drift1,s02b_template,1,381,-4.004439154649168,-4.055127985390714,59
s02e_binned_timewalk_drift1,s02b_template,1,382,1.4592241704437978,1.4219971411324264,59
s02e_binned_timewalk_drift1,s02b_template,1,381,2.6849864529399796,2.9929699636657747,59
s02e_binned_timewalk_drift1,s02b_template,1,381,3.5928576210132794,3.6403247870717497,59
