alpha,fold,sigma68_ns,n_pair_residuals,heldout_run
0.01,0,2.3179033000869063,2997,58
0.01,1,1.822081181792679,3534,58
0.01,2,1.9737524841870826,4710,58
0.01,-1,2.0379123220222226,0,58
0.1,0,2.3168363261896894,2997,58
0.1,1,1.8221835268227253,3534,58
0.1,2,1.9749828674135883,4710,58
0.1,-1,2.0380009068086675,0,58
1.0,0,2.3122373002625625,2997,58
1.0,1,1.8220973724502025,3534,58
1.0,2,1.9709296084621892,4710,58
1.0,-1,2.0350880937249847,0,58
10.0,0,2.2826569214594437,2997,58
10.0,1,1.8139170730178134,3534,58
10.0,2,1.9544873107478833,4710,58
10.0,-1,2.0170204350750467,0,58
100.0,0,2.203239557711103,2997,58
100.0,1,1.7975657564404925,3534,58
100.0,2,1.8924024085210271,4710,58
100.0,-1,1.9644025742242075,0,58
0.01,0,2.387664701318681,2799,59
0.01,1,1.8539900457305245,2841,59
0.01,2,1.9081198147405907,3531,59
0.01,-1,2.049924853929932,0,59
0.1,0,2.387720201626251,2799,59
0.1,1,1.8542186370132923,2841,59
0.1,2,1.9073511867284685,3531,59
0.1,-1,2.0497633417893373,0,59
1.0,0,2.389406940736011,2799,59
1.0,1,1.851065744126641,2841,59
1.0,2,1.9077026729946707,3531,59
1.0,-1,2.049391785952441,0,59
10.0,0,2.3897682680363905,2799,59
10.0,1,1.840816846022026,2841,59
10.0,2,1.8972249962276377,3531,59
10.0,-1,2.0426033700953514,0,59
100.0,0,2.345106176615707,2799,59
100.0,1,1.7872785729383749,2841,59
100.0,2,1.833828026356138,3531,59
100.0,-1,1.9887375919700734,0,59
0.01,0,2.1624626424591065,2799,60
0.01,1,1.8311366052527738,2838,60
0.01,2,1.8428964646538917,3399,60
0.01,-1,1.9454985707885906,0,60
0.1,0,2.1638423305539094,2799,60
0.1,1,1.831257465527944,2838,60
0.1,2,1.841698773589032,3399,60
0.1,-1,1.9455995232236285,0,60
1.0,0,2.1640675965840774,2799,60
1.0,1,1.8298818500667842,2838,60
1.0,2,1.839016913181693,3399,60
1.0,-1,1.944322119944185,0,60
10.0,0,2.1410227145222795,2799,60
10.0,1,1.8172064480533157,2838,60
10.0,2,1.8187664199760523,3399,60
10.0,-1,1.9256651941838825,0,60
100.0,0,2.1389815461608417,2799,60
100.0,1,1.7667507709602193,2838,60
100.0,2,1.7764177221488073,3399,60
100.0,-1,1.894050013089956,0,60
0.01,0,1.8913040180023315,2622,61
0.01,1,2.2267329559804305,2640,61
0.01,2,2.0474014567957433,3399,61
0.01,-1,2.055146143592835,0,61
0.1,0,1.890725784682063,2622,61
0.1,1,2.223953755942424,2640,61
0.1,2,2.0463461364886584,3399,61
0.1,-1,2.053675225704382,0,61
1.0,0,1.8909009785698354,2622,61
1.0,1,2.2150964924713117,2640,61
1.0,2,2.042685792491504,3399,61
1.0,-1,2.049561087844217,0,61
10.0,0,1.8939518963928261,2622,61
10.0,1,2.1486883082349495,2640,61
10.0,2,2.0377843075767705,3399,61
10.0,-1,2.026808170734849,0,61
100.0,0,1.8611301691228528,2622,61
100.0,1,2.0257717447949126,2640,61
100.0,2,1.9956895246551858,3399,61
100.0,-1,1.9608638128576503,0,61
0.01,0,2.547066469653417,2799,62
0.01,1,1.7822745162727207,2841,62
0.01,2,1.9029126055865118,3399,62
0.01,-1,2.0774178638375496,0,62
0.1,0,2.5474841122984246,2799,62
0.1,1,1.7834395930709672,2841,62
0.1,2,1.9032841739239263,3399,62
0.1,-1,2.0780692930977724,0,62
1.0,0,2.537289662291344,2799,62
1.0,1,1.7831175095903102,2841,62
1.0,2,1.9022043440658924,3399,62
1.0,-1,2.0742038386491823,0,62
10.0,0,2.4738538110844015,2799,62
10.0,1,1.7668356135816126,2841,62
10.0,2,1.8943657390992645,3399,62
10.0,-1,2.0450183879217594,0,62
100.0,0,2.3382490414725026,2799,62
100.0,1,1.7137115473682873,2841,62
100.0,2,1.8260745876865656,3399,62
100.0,-1,1.9593450588424517,0,62
0.01,0,2.285851327246779,2799,63
0.01,1,1.8355888648165795,2841,63
0.01,2,1.9184184041377432,4710,63
0.01,-1,2.0132861987337005,0,63
0.1,0,2.284727402344277,2799,63
0.1,1,1.8357442047885535,2841,63
0.1,2,1.9181719200321274,4710,63
0.1,-1,2.0128811757216525,0,63
1.0,0,2.2805383853871186,2799,63
1.0,1,1.8370273258884309,2841,63
1.0,2,1.912030157696471,4710,63
1.0,-1,2.00986528965734,0,63
10.0,0,2.2537146140158004,2799,63
10.0,1,1.8336058707591683,2841,63
10.0,2,1.9052723522610815,4710,63
10.0,-1,1.9975309456786834,0,63
100.0,0,2.22026400998803,2799,63
100.0,1,1.7894987612496376,2841,63
100.0,2,1.8565252521512923,4710,63
100.0,-1,1.9554293411296533,0,63
0.01,0,2.33226946485797,3018,65
0.01,1,1.8498404064722354,3534,65
0.01,2,1.942157855521238,4710,65
0.01,-1,2.0414225756171476,0,65
0.1,0,2.330687510533076,3018,65
0.1,1,1.848944477010143,3534,65
0.1,2,1.9418921699951859,4710,65
0.1,-1,2.0405080525128017,0,65
1.0,0,2.3283899110811617,3018,65
1.0,1,1.8448001872810524,3534,65
1.0,2,1.9425281782852948,4710,65
1.0,-1,2.0385727588825033,0,65
10.0,0,2.304358352302302,3018,65
10.0,1,1.8398205398167933,3534,65
10.0,2,1.9369122934048848,4710,65
10.0,-1,2.02703039517466,0,65
100.0,0,2.2326189303193043,3018,65
100.0,1,1.8170616380776672,3534,65
100.0,2,1.8791014950428373,4710,65
100.0,-1,1.9762606878132696,0,65
