method,n_runs,mean_sigma68_ns,ci_low,ci_high,min_run_sigma68_ns,max_run_sigma68_ns
S02b global timewalk no covariate,7,1.6551640394333371,1.5334120559402067,1.842846038476745,1.4718970267816334,2.1884177273631376
S02e global current/rate selected power 0,7,1.6551640394333371,1.5302256413868167,1.844504972924374,1.4718970267816334,2.1884177273631376
S02 ML ridge,7,1.905492839209778,1.8237306443919146,2.0260844667709152,1.7698393506968242,2.2424329131323595
S02 train-best global template (template_phase),7,2.8102293063017076,2.7160681131215214,2.902631686636123,2.6428031039120548,2.9923192689628024
S02b binned timewalk no covariate,7,3.148494417297239,2.779261666296993,3.455928944526616,2.127410063729081,3.6379339993760347
S02e binned current/rate selected power 0,7,3.148494417297239,2.7541298645571266,3.4608452364326436,2.127410063729081,3.6379339993760347
