feature,coefficient,method,base_method,drift_order,train_pulses,heldout_pulses,heldout_run
intercept,0.0,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B4_intercept,-86.0400553390177,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B4_log_amp,151.4156507880548,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B4_log_amp2,-79.15038703342813,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B4_inv_amp,-4.00306826130837,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B4_peak_sample,0.5412142265068776,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B4_area_over_amp,3.195019535320696,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B4_template_sse,0.78699966854837,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B6_intercept,43.96656447658838,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B6_log_amp,-73.42350438629882,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B6_log_amp2,22.900663542403954,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B6_inv_amp,-1.9307990746942707,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B6_peak_sample,-0.7705191646786849,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B6_area_over_amp,-0.6154865735206055,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B6_template_sse,0.30921051158259016,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B8_intercept,42.07350154354437,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B8_log_amp,-63.098014762915795,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B8_log_amp2,15.306212004385749,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B8_inv_amp,-2.876237911704858,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B8_peak_sample,-0.6558633241322255,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B8_area_over_amp,-1.3604383362687815,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
B8_template_sse,0.18602512152133477,s02e_binned_timewalk_drift0,s02b_template,0,11241,219,58
intercept,0.0,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B4_intercept,-85.54487556560836,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B4_log_amp,151.03497644838626,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B4_log_amp2,-78.74803142220034,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B4_inv_amp,-4.00533874003061,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B4_peak_sample,0.5218108862962568,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B4_area_over_amp,3.08350457979414,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B4_template_sse,0.7512611460267263,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B6_intercept,43.98185293003334,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B6_log_amp,-72.73775117749251,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B6_log_amp2,22.57621598314769,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B6_inv_amp,-1.933272519078442,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B6_peak_sample,-0.7707347612430426,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B6_area_over_amp,-0.605970525093165,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B6_template_sse,0.3132009110189716,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B8_intercept,41.56303473994831,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B8_log_amp,-61.88874774980651,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B8_log_amp2,14.93429463275258,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B8_inv_amp,-2.834464886210566,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B8_peak_sample,-0.6535124543875697,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B8_area_over_amp,-1.3448332501426696,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B8_template_sse,0.1929374189795335,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B4_current_nA_z_p1,0.0,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B4_trigger_entry_density_z_p1,-0.06094565243280383,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B4_entries_per_eventno_z_p1,-0.06094565286209528,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B4_selected_multiplicity_per_event_z_p1,-0.01681782183780872,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B4_downstream_allhit_fraction_z_p1,-0.013598228797593315,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B6_current_nA_z_p1,0.0,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B6_trigger_entry_density_z_p1,0.03191459619563619,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B6_entries_per_eventno_z_p1,0.03191459622339041,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
B6_selected_multiplicity_per_event_z_p1,-0.007897425186075266,s02e_binned_timewalk_drift1,s02b_template,1,11241,219,58
