sample,method,n_pairs,median_ns,robust_width_ns,robust_ci_low_ns,robust_ci_high_ns,full_rms_ns,full_rms_ci_low_ns,full_rms_ci_high_ns,within_abs_2ns,tail_fraction_abs_gt_5ns,core_sigma_ns,core_sigma_err_ns,core_mean_ns,chi2,ndf,chi2_ndf,fit_window_ns
sample_iii_analysis,traditional_cfd20_poly_timewalk,2514,-0.02838762833302333,1.3890588377372115,1.3394002459748025,1.4528239182646616,3.272045832916189,1.402253754054659,4.954337171308992,0.8627684964200477,0.0031821797931583136,1.4509206888041475,0.040141027486167206,-0.029786702916146816,48.78023897002444,37,1.3183848370276876,2.5
sample_iv_analysis,traditional_cfd20_poly_timewalk,127,-0.52603845642669,1.7936260637768346,1.3794770917072217,2.219569891037869,1.7370391554517675,1.5420053299002368,1.9479071284311322,0.7086614173228346,0.0,1.9921763970438024,0.5288116634217912,-0.08294304200800275,49.14057086559212,32,1.5356428395497537,2.5
