dataset,anomaly_stratum,control_stratum,method,n_anomaly,n_control,delta_bias_median_frac,delta_res68_abs_frac,delta_high_bias_tail_fraction,delta_bias_ci95,delta_res68_ci95,delta_high_bias_tail_ci95
p04b_downstream,baseline_excursion,matched_normal_for_baseline_excursion,traditional_strong,18,18,-0.15737274678848268,0.030252230132641167,0.0,"[-0.3104630327431977, -0.004161185181987104]","[-0.10386345822757254, 0.28921271105288976]","[-0.5, 0.26086956521739135]"
p04b_downstream,baseline_excursion,matched_normal_for_baseline_excursion,ridge,18,18,-0.051491678574667854,0.10412585393726176,0.22222222222222224,"[-0.1706518593508626, 0.21786203626536388]","[0.0234951933819737, 0.2018578173670604]","[0.09999999999999998, 0.2692307692307693]"
p04b_downstream,baseline_excursion,matched_normal_for_baseline_excursion,gradient_boosted_trees,18,18,-0.004035852467117351,-0.04118528379126418,-0.1111111111111111,"[-0.11731223264314353, 0.22799029743175434]","[-0.12409503890831398, 0.06375833496673386]","[-0.40909090909090906, 0.4004166666666663]"
p04b_downstream,baseline_excursion,matched_normal_for_baseline_excursion,mlp,18,18,-0.2580904886688572,0.4205601101143302,0.0,"[-0.5908070474462801, 0.6115568682916932]","[0.049112610313772564, 2.8570443411554023]","[-0.20000000000000007, 0.10374668435013244]"
p04b_downstream,baseline_excursion,matched_normal_for_baseline_excursion,cnn1d,18,18,0.02339246161362791,-0.020317653419312243,-0.05555555555555558,"[-0.013311600757904784, 0.23561676779968221]","[-0.07318991206978062, 0.06120406421322677]","[-0.19999999999999998, 0.15384615384615385]"
p04b_downstream,baseline_excursion,matched_normal_for_baseline_excursion,residual_cnn_meta,18,18,0.0066140539640844286,0.011919255361063558,0.055555555555555525,"[-0.16842375460295714, 0.1428803968710915]","[-0.1213015980382432, 0.21095198175857297]","[-0.30000000000000004, 0.5833333333333334]"
p04b_downstream,baseline_excursion,matched_normal_for_baseline_excursion,shuffled_target_gbt,18,18,0.1742419377678712,-0.05276064813453127,-0.1111111111111111,"[-0.1362493194070698, 0.24137580893727978]","[-0.07815259018642465, 0.04433172056803336]","[-0.22222222222222224, 0.0]"
p04b_downstream,novel_early_pretrigger,matched_normal_for_novel_early_pretrigger,traditional_strong,74,74,0.16469312622321058,0.08209111023895488,0.1756756756756757,"[0.10563492683137266, 0.2425881203153591]","[-0.04922830658895016, 0.3292740518308867]","[-0.06073926073926068, 0.500186567164179]"
p04b_downstream,novel_early_pretrigger,matched_normal_for_novel_early_pretrigger,ridge,74,74,0.05049130844404215,0.06042455607473307,0.04054054054054057,"[-0.0769041903244145, 0.13781708374671464]","[0.012541667479679462, 0.15989932151553418]","[-0.15294117647058825, 0.21822727272727271]"
p04b_downstream,novel_early_pretrigger,matched_normal_for_novel_early_pretrigger,gradient_boosted_trees,74,74,-0.002520751863922492,-0.023890875994816985,-0.02702702702702703,"[-0.04836651012908996, 0.026972331113042602]","[-0.0601193904394134, 0.04335234555406385]","[-0.11363636363636367, 0.14609374999999974]"
p04b_downstream,novel_early_pretrigger,matched_normal_for_novel_early_pretrigger,mlp,74,74,-0.03761570824084084,0.2965817976345366,0.16216216216216217,"[-0.21384030439339333, 0.08351207405868605]","[0.10669488768856628, 0.4458483847704035]","[0.02777777777777779, 0.3079545454545452]"
p04b_downstream,novel_early_pretrigger,matched_normal_for_novel_early_pretrigger,cnn1d,74,74,0.0003291671845638035,-0.0013727122410755188,-0.02702702702702703,"[-0.06979134519118406, 0.07208745487381181]","[-0.05717962627365647, 0.07149801790392243]","[-0.1204918575400503, 0.08893939393939386]"
p04b_downstream,novel_early_pretrigger,matched_normal_for_novel_early_pretrigger,residual_cnn_meta,74,74,-0.01219630950763802,-0.030478367770950254,-0.04054054054054054,"[-0.06653567733375854, 0.04861303639016889]","[-0.09505297079622085, 0.04095565623360481]","[-0.15479910714285713, 0.14893617021276595]"
p04b_downstream,novel_early_pretrigger,matched_normal_for_novel_early_pretrigger,shuffled_target_gbt,74,74,0.599479794558453,0.543632536061242,0.29729729729729726,"[0.17277512887098373, 0.797314939175235]","[0.3540929206656761, 0.9206778073077886]","[0.12495192307692303, 0.458494718309859]"
p04c_ab_charge,baseline_excursion,matched_normal_for_baseline_excursion,traditional_strong,54,53,0.06503729801994818,0.14158269331177692,0.06114605171208953,"[-0.1829827401032579, 0.6864793828800894]","[-0.04501923075633151, 0.48600546178238263]","[-0.11649709302325578, 0.21314402810304447]"
p04c_ab_charge,baseline_excursion,matched_normal_for_baseline_excursion,ridge,54,53,0.0494539301389849,0.09696499400622977,0.0988819007686933,"[-0.29318199403714884, 0.6380566359044989]","[-0.027047551862843505, 0.3792378401339743]","[-0.08695652173913038, 0.2325581395348837]"
p04c_ab_charge,baseline_excursion,matched_normal_for_baseline_excursion,gradient_boosted_trees,54,53,0.13074232156282223,0.09065922647829427,0.04262753319357093,"[-0.302086932719853, 0.6359813547295908]","[-0.03521154968301979, 0.43329287101831154]","[-0.09999999999999998, 0.17555263157894727]"
p04c_ab_charge,baseline_excursion,matched_normal_for_baseline_excursion,mlp,54,53,-0.15038659480259803,0.3074808653186173,0.07826694619147445,"[-0.6141591740545009, 1.1380097857659175]","[-0.0514858995373234, 1.7054337260228094]","[-0.05999999999999994, 0.20314891581632652]"
p04c_ab_charge,baseline_excursion,matched_normal_for_baseline_excursion,cnn1d,54,53,0.0207484531671598,0.15476382693671714,0.08001397624039142,"[-0.27183458931919596, 0.5909525707400398]","[-0.06941224618384455, 0.393836720182178]","[-0.0700502828409804, 0.18967569786535307]"
p04c_ab_charge,baseline_excursion,matched_normal_for_baseline_excursion,residual_cnn_meta,54,53,0.0484994665630145,0.13260196612300762,0.0803633822501747,"[-0.24310344446446, 0.5860713975724139]","[-0.024926121218675996, 0.3965998762496679]","[-0.07147212543554014, 0.2131790421086467]"
p04c_ab_charge,baseline_excursion,matched_normal_for_baseline_excursion,shuffled_target_gbt,54,53,0.04803643712310343,0.19269596261741512,0.13626834381551367,"[-0.23260205751955276, 0.6785111653836873]","[-0.1006608876235448, 0.39119253265409737]","[0.0, 0.29999999999999993]"
p04c_ab_charge,novel_early_pretrigger,matched_normal_for_novel_early_pretrigger,traditional_strong,182,179,-0.024630784360111277,-0.03943140850245491,-0.02185523973233472,"[-0.10650654636052674, 0.08769972732977302]","[-0.10423750109899042, 0.00985346011378194]","[-0.10494126659856996, 0.07488226059654635]"
p04c_ab_charge,novel_early_pretrigger,matched_normal_for_novel_early_pretrigger,ridge,182,179,0.08720892017906874,-0.0335615241175905,-0.049604027257658556,"[0.0026230450818098727, 0.2488111374064237]","[-0.11485623362505212, 0.01051473624060383]","[-0.1214984844657742, 0.03429620806035336]"
p04c_ab_charge,novel_early_pretrigger,matched_normal_for_novel_early_pretrigger,gradient_boosted_trees,182,179,-0.0015581741285015382,-0.08135847811877611,-0.07726072809871687,"[-0.11411188874613401, 0.06424999735949244]","[-0.154846106207533, -0.010416978464325856]","[-0.16668918918918915, 0.039805551641538595]"
p04c_ab_charge,novel_early_pretrigger,matched_normal_for_novel_early_pretrigger,mlp,182,179,0.21721702117453323,0.11676587065258581,0.06559641475842592,"[-0.006763554075133325, 0.3522337138502945]","[0.020513243297147748, 0.2947905146325516]","[-0.02129716703890916, 0.15351384800642223]"
p04c_ab_charge,novel_early_pretrigger,matched_normal_for_novel_early_pretrigger,cnn1d,182,179,0.055668367086137996,-0.03800320990929962,-0.010589968690527418,"[-0.07679626011683799, 0.16543022332437732]","[-0.12147579649189298, 0.016041028651840768]","[-0.09149471006299474, 0.08876776090151886]"
p04c_ab_charge,novel_early_pretrigger,matched_normal_for_novel_early_pretrigger,residual_cnn_meta,182,179,0.024932950848315927,-0.03997741210237282,-0.03824666953158573,"[-0.04909271456022218, 0.16280787127671292]","[-0.12191355367603834, 0.05091319969791546]","[-0.12420343137254902, 0.07503472222222225]"
p04c_ab_charge,novel_early_pretrigger,matched_normal_for_novel_early_pretrigger,shuffled_target_gbt,182,179,-0.0569089941367748,-0.048250467444579004,-0.04383326171035662,"[-0.13551157744760356, 0.04949322533858274]","[-0.10974460818526427, 0.002193117352545447]","[-0.12618303277609588, 0.05716056670602115]"
