split_name,endpoint,method,observed_auc,shuffled_auc_mean,shuffled_auc_ci_low,shuffled_auc_ci_high,observed_minus_shuffle,n
particle_heldout,pedestal_noise_color,gradient_boosted_trees,0.8315686034492138,0.5081836479414885,0.4421597029541375,0.5686622735433328,0.3233849555077253,1759
particle_heldout,pedestal_noise_color,ridge,0.608291170230129,0.5007373548943203,0.4286039252488983,0.5717674670855774,0.10755381533580877,1759
particle_heldout,pedestal_noise_color,traditional_dE_E_tail_pedestal_likelihood,0.5965399053370327,0.5018042577933736,0.43735718948914637,0.5570815312006965,0.09473564754365915,1759
particle_heldout,pedestal_noise_color,spectral_transformer_new,0.5544108046352212,0.4928136985882161,0.4356174514444264,0.5524362793101573,0.06159710604700508,1759
particle_heldout,pedestal_noise_color,1d_cnn,0.5381100048963604,0.4929189788368424,0.4343271414776128,0.5543048868396715,0.045191026059518025,1759
particle_heldout,pedestal_noise_color,mlp,0.5427615472498776,0.5005017600545401,0.49491322561340517,0.5128563462270824,0.04225978719533752,1759
run_heldout,pedestal_noise_color,gradient_boosted_trees,0.9484908136482939,0.5064078635630395,0.4830523187609898,0.5271382718245681,0.44208295008525444,3816
run_heldout,pedestal_noise_color,traditional_dE_E_tail_pedestal_likelihood,0.8995570973569366,0.5040337370571188,0.4810108714615487,0.5259368924967386,0.3955233602998177,3816
run_heldout,pedestal_noise_color,ridge,0.8990902168663103,0.5036403760096049,0.48077370347738946,0.5245264267678721,0.3954498408567054,3816
run_heldout,pedestal_noise_color,mlp,0.8508913055809084,0.503984012834594,0.48850094622258655,0.5171970154025441,0.3469072927463144,3816
run_heldout,pedestal_noise_color,spectral_transformer_new,0.7709647173278193,0.4995387702028406,0.4771161847033364,0.5243581306388765,0.27142594712497875,3816
run_heldout,pedestal_noise_color,1d_cnn,0.6867487585662794,0.4994475869712627,0.47905091339270217,0.5189085202144428,0.1873011715950167,3816
