feature,family
tail_10_17_over_total,charge_comparison_psd
tail_12_17_over_total,charge_comparison_psd
tail_14_17_over_total,charge_comparison_psd
early_0_4_over_total,charge_comparison_psd
middle_5_9_over_total,charge_comparison_psd
late_minus_early_asym,charge_comparison_psd
rise_10_50,rise_time_width
rise_20_80,rise_time_width
width20,rise_time_width
width50,rise_time_width
max_rise_step,zero_crossing_derivative
max_fall_step,zero_crossing_derivative
zero_crossings_derivative,zero_crossing_derivative
mean_time,mean_time_moments
time_variance,mean_time_moments
time_skewness,mean_time_moments
time_kurtosis,mean_time_moments
fft_k1_fraction,frequency_domain_fft
fft_k2_fraction,frequency_domain_fft
fft_high_over_low,frequency_domain_fft
cfd20_time,constant_fraction_shape_ratios
cfd50_time,constant_fraction_shape_ratios
le_ratio_s4_s7,constant_fraction_shape_ratios
le_ratio_s5_s7,constant_fraction_shape_ratios
cf_ratio_s6_s8,constant_fraction_shape_ratios
haar_l0_d00,wavelet_haar
haar_l0_d01,wavelet_haar
haar_l0_d02,wavelet_haar
haar_l0_d03,wavelet_haar
haar_l0_d04,wavelet_haar
haar_l0_d05,wavelet_haar
haar_l0_d06,wavelet_haar
haar_l0_d07,wavelet_haar
haar_l1_d00,wavelet_haar
haar_l1_d01,wavelet_haar
haar_l1_d02,wavelet_haar
haar_l1_d03,wavelet_haar
haar_l2_d00,wavelet_haar
haar_l2_d01,wavelet_haar
haar_l3_d00,wavelet_haar
log10_amplitude,amplitude_context_not_shape
stave_idx,amplitude_context_not_shape
