method,axis,levels,overall_energy_sigma68,worst_level_energy_sigma68,best_level_energy_sigma68,span_energy_sigma68
1d_cnn,stave,4,0.1955504939479616,0.5180988402513774,0.08049105788299162,0.4376077823683858
1d_cnn,saturation_axis,2,0.1955504939479616,0.19421189968338487,0.0,0.19421189968338487
1d_cnn,morphology_state,2,0.1955504939479616,0.19089104811336577,0.0,0.19089104811336577
1d_cnn,pedestal_state,2,0.1955504939479616,0.2119418705473597,0.055638552115160354,0.15630331843219933
1d_cnn,pid_proxy_class,2,0.1955504939479616,0.19775531605595909,0.14983215293201035,0.04792316312394873
ar1_charge_ratio_likelihood_traditional,pid_proxy_class,2,0.10452185971327421,0.10522094046729978,0.0,0.10522094046729978
ar1_charge_ratio_likelihood_traditional,stave,4,0.10452185971327421,0.1072678017705233,0.011774086637900492,0.09549371513262281
ar1_charge_ratio_likelihood_traditional,morphology_state,2,0.10452185971327421,0.09937496264040693,0.08041856978631333,0.018956392854093604
ar1_charge_ratio_likelihood_traditional,pedestal_state,2,0.10452185971327421,0.09803174992924904,0.09644885551271348,0.0015828944165355574
ar1_charge_ratio_likelihood_traditional,saturation_axis,1,0.10452185971327421,0.10452185971327421,0.10452185971327421,0.0
gradient_boosted_trees,saturation_axis,2,0.0872500408293603,0.088138837254116,0.02112574929976884,0.06701308795434716
gradient_boosted_trees,stave,4,0.0872500408293603,0.11391313945681283,0.05367000736186586,0.06024313209494697
gradient_boosted_trees,pedestal_state,2,0.0872500408293603,0.11273612838506938,0.054811755325016594,0.05792437306005279
gradient_boosted_trees,morphology_state,2,0.0872500408293603,0.12040050728660781,0.06597574291881433,0.05442476436779348
gradient_boosted_trees,pid_proxy_class,2,0.0872500408293603,0.13014703592377394,0.08606576791319953,0.04408126801057441
mlp,saturation_axis,2,0.17032553537133832,0.17296218791106854,0.02518303462909717,0.1477791532819714
mlp,stave,4,0.17032553537133832,0.19708468743927454,0.10422285153622782,0.09286183590304672
mlp,morphology_state,2,0.17032553537133832,0.21576219000336286,0.12526939295421607,0.09049279704914678
mlp,pid_proxy_class,2,0.17032553537133832,0.17642516976576078,0.1035792840929578,0.07284588567280298
mlp,pedestal_state,2,0.17032553537133832,0.19894020207085342,0.12644144070713248,0.07249876136372094
pedestal_memory_fusion_new,stave,4,0.10806975454648701,0.15881097725077256,0.05811948038688446,0.10069149686388809
pedestal_memory_fusion_new,morphology_state,2,0.10806975454648701,0.14031978011009333,0.050119744544814375,0.09020003556527895
pedestal_memory_fusion_new,saturation_axis,2,0.10806975454648701,0.10200299167491284,0.015007140921345391,0.08699585075356744
pedestal_memory_fusion_new,pedestal_state,2,0.10806975454648701,0.11418306888704147,0.056388057475639186,0.05779501141140228
pedestal_memory_fusion_new,pid_proxy_class,2,0.10806975454648701,0.1499381325781032,0.09395536680369143,0.055982765774411775
ridge,pedestal_state,2,0.07612626103723885,0.09690406288918027,0.05260225382896147,0.0443018090602188
ridge,stave,4,0.07612626103723885,0.09079166951977222,0.06512087183447798,0.025670797685294233
ridge,morphology_state,2,0.07612626103723885,0.0802603054621708,0.059590461134919295,0.02066984432725151
ridge,saturation_axis,2,0.07612626103723885,0.07522161303257716,0.06296130921178965,0.012260303820787508
ridge,pid_proxy_class,2,0.07612626103723885,0.07515258108241352,0.06504917222778214,0.010103408854631374
tiny_sequence_transformer,stave,4,0.15384745123510715,0.3647954818640241,0.09981718945046424,0.26497829241355986
tiny_sequence_transformer,saturation_axis,2,0.15384745123510715,0.1513220583385143,0.013351962238764031,0.13797009609975028
tiny_sequence_transformer,pedestal_state,2,0.15384745123510715,0.21642192542349614,0.09069991026040206,0.1257220151630941
tiny_sequence_transformer,morphology_state,2,0.15384745123510715,0.1429728761577485,0.12305766438504129,0.01991521177270722
tiny_sequence_transformer,pid_proxy_class,2,0.15384745123510715,0.17775601641709296,0.16221691014685585,0.015539106270237107
