scenario,feature,coefficient_ns_per_raw_unit,standardized_coefficient_ns
run64_only,stave_B4,-3.675746453744342,-1.7327634955766913
run64_only,stave_B6,1.9372673840801256,0.9132366028363901
run64_only,stave_B8,1.738479069664092,0.8195268927402427
run64_only,inv_amp_1000,-0.29429515277224494,-0.048401670720997325
run64_only,inv_sqrt_amp_1000,-0.36416983774823314,-0.042367350511164366
run64_only,log_amp,0.09306875335347338,0.03179291676135982
sample_i_plus_run64,stave_B4,-5.21218201632914,-2.4570461656832254
sample_i_plus_run64,stave_B8,2.6329186121893833,1.2411697366609011
sample_i_plus_run64,stave_B6,2.5792634041394003,1.2158764290221562
sample_i_plus_run64,log_amp,-1.6009133153788426,-0.5312198919968902
sample_i_plus_run64,inv_amp_1000,-3.022451865376875,-0.44420390264340465
sample_i_plus_run64,inv_sqrt_amp_1000,0.14282472329022092,0.0154287492773818
