scenario,stave,mode,direction,log_amp_center,raw_bin_target_median_ns,fitted_target_ns,n_train_pulses
run64_only,B4,monotonic,decreasing,7.1785454837637,-4.021963470697095,-4.021963470697095,53
run64_only,B4,monotonic,decreasing,7.53663053398534,-4.021963470697095,-4.021963470697095,52
run64_only,B4,monotonic,decreasing,7.69256941393011,-4.021963470697099,-4.021963470697099,52
run64_only,B4,monotonic,decreasing,7.888709524182015,-4.021963470697116,-4.021963470697116,53
run64_only,B6,monotonic,decreasing,7.298106749280254,2.2819743504437966,2.2819743504438,53
run64_only,B6,monotonic,decreasing,7.535957373154002,2.2819743504437966,2.2819743504438,52
run64_only,B6,monotonic,decreasing,7.727968537613789,2.2819743504438037,2.2819743504438,52
run64_only,B6,monotonic,decreasing,7.941651252930556,2.2819743504438037,2.2819743504438,53
run64_only,B8,monotonic,decreasing,7.563200592358071,1.7399891202532984,1.7399891202532987,53
run64_only,B8,monotonic,decreasing,7.939242504128892,1.7399891202532984,1.7399891202532987,52
run64_only,B8,monotonic,decreasing,8.081784159157717,1.7399891202532984,1.7399891202532987,52
run64_only,B8,monotonic,decreasing,8.29853954537488,1.7399891202532984,1.7399891202532987,53
sample_i_plus_run64,B4,monotonic,decreasing,7.390026130525207,-5.303809538951747,-5.303809538951741,368
sample_i_plus_run64,B4,monotonic,decreasing,7.6676260915849905,-5.3038095389517395,-5.303809538951741,367
sample_i_plus_run64,B4,monotonic,decreasing,7.833005752227764,-5.3038095389517395,-5.303809538951741,367
sample_i_plus_run64,B4,monotonic,decreasing,7.967020145998834,-5.3038095389517395,-5.303809538951741,368
sample_i_plus_run64,B6,monotonic,decreasing,7.408226342129282,2.447272325589992,2.447272325589992,368
sample_i_plus_run64,B6,monotonic,decreasing,7.6787889981991535,2.447272325589992,2.447272325589992,367
sample_i_plus_run64,B6,monotonic,decreasing,7.86940171257709,2.447272325589992,2.447272325589992,367
sample_i_plus_run64,B6,monotonic,decreasing,8.015905241471192,2.447272325589992,2.447272325589992,368
sample_i_plus_run64,B8,monotonic,decreasing,7.663753259992422,2.8565372133617473,2.8565372133617473,368
sample_i_plus_run64,B8,monotonic,decreasing,7.994126281227893,2.8565372133617473,2.8565372133617473,367
sample_i_plus_run64,B8,monotonic,decreasing,8.158229916959494,2.8565372133617473,2.8565372133617473,367
sample_i_plus_run64,B8,monotonic,decreasing,8.399984984189842,2.8565372133617473,2.8565372133617473,368
