scenario,method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf
run64_only,le500,2.0,train,630,-1.4116411300328444,4.540192269438979,7.112836927591625,0.2714285714285714,4.30718898433192,1.117546279988532
run64_only,le500,2.0,heldout,11460,-1.35492878917281,4.170837794171913,6.876937236648311,0.212478184991274,258.06157370805727,1.2478917700947676
run64_only,le500,4.0,train,630,-1.1841260088074677,4.548589029459743,7.106399481150356,0.2714285714285714,173.94579055754505,1.017050614211332
run64_only,le500,4.0,heldout,11460,-1.1298286863513258,4.166180594403964,6.871495447423603,0.21099476439790577,246.3082348044901,1.4476074793661464
run64_only,cfd10,2.0,train,630,-2.826360339237615,3.0212285189027446,5.837176441568454,0.04126984126984127,211.65286998307832,2.5193567795271097
run64_only,cfd10,2.0,heldout,11460,-2.725694780440474,3.2320895006567385,6.792371007694486,0.045724258289703314,251.65876696180547,22.05194787023084
run64_only,cfd10,4.0,train,630,-2.6028882334064622,3.0212285189027375,5.823399703609306,0.0380952380952381,237.29713890005496,1.7368883250940148
run64_only,cfd10,4.0,heldout,11460,-2.491612656966714,3.2068011257160705,6.781323358060387,0.04493891797556719,308.3576971805193,21.765540326350845
run64_only,cfd20,2.0,train,630,-3.0990077333502484,3.1468038014455026,6.075871739200838,0.06349206349206349,267.29134438682644,2.179292796044938
run64_only,cfd20,2.0,heldout,11460,-2.8019233458297848,3.1502666141199165,6.204310730057545,0.05794066317626527,311.69816920836234,17.565462106753824
run64_only,cfd20,4.0,train,630,-2.9191305155786207,3.0976815937232254,6.062454441054712,0.06349206349206349,273.0467105475166,2.6424567220269513
run64_only,cfd20,4.0,heldout,11460,-2.5696770798547632,3.125467245440881,6.193072865128246,0.054537521815008726,250.3572164624666,16.183294363392633
run64_only,cfd30,2.0,train,630,-3.1107264904057352,3.155587564684795,6.271513918636082,0.08888888888888889,283.70297254038314,3.202558422601081
run64_only,cfd30,2.0,heldout,11460,-2.6952107328290147,3.2484140353373503,6.284273952004644,0.08979057591623037,256.7466016644894,16.81288152217565
run64_only,cfd30,4.0,train,630,-2.8431666769121087,3.0927305857266605,6.258934340390306,0.08571428571428572,266.15912307264404,2.9855160522376605
