scenario,family,stave,amp_bin,amp_low_adc,amp_high_adc,n_train_pulses,target_median_ns,target_q16_ns,target_q84_ns
run64_only,run64,B4,0,1000.0,1500.0,40,-4.021963470697095,-4.5219634706971,-3.271963470697102
run64_only,run64,B4,1,1500.0,2200.0,93,-4.021963470697095,-5.271963470697102,-2.7719634706971004
run64_only,run64,B4,2,2200.0,3200.0,74,-4.021963470697116,-5.3519634706970995,-3.521963470697102
run64_only,run64,B4,3,3200.0,4700.0,2,-6.021963470697113,-7.3819634706971105,-4.661963470697115
run64_only,run64,B4,4,4700.0,6800.0,1,3.478036529302898,3.478036529302898,3.478036529302898
run64_only,run64,B6,0,1000.0,1500.0,28,2.2819743504437966,0.3619743504437992,2.4519743504438036
run64_only,run64,B6,1,1500.0,2200.0,94,2.2819743504437966,1.2519743504437915,2.7819743504437975
run64_only,run64,B6,2,2200.0,3200.0,84,2.2819743504438037,1.101974350443802,3.0319743504438037
run64_only,run64,B6,3,3200.0,4700.0,3,2.2819743504438037,1.4319743504438036,2.4519743504438036
run64_only,run64,B6,4,4700.0,6800.0,1,9.03197435044381,9.03197435044381,9.03197435044381
run64_only,run64,B8,0,1000.0,1500.0,9,1.7399891202532984,1.5599891202532985,2.0999891202532983
run64_only,run64,B8,1,1500.0,2200.0,30,1.7399891202532984,1.3099891202532938,2.5799891202532983
run64_only,run64,B8,2,2200.0,3200.0,87,1.7399891202532984,1.2399891202532913,3.2399891202533073
run64_only,run64,B8,3,3200.0,4700.0,75,1.7399891202532984,1.2399891202533104,2.9899891202532927
run64_only,run64,B8,4,4700.0,6800.0,9,1.7399891202532984,-0.48001087974670664,1.7399891202532984
sample_i_plus_run64,sample_i,B4,0,1000.0,1500.0,97,-5.303809538951747,-5.303809538951747,-5.3038095389517395
sample_i_plus_run64,sample_i,B4,1,1500.0,2200.0,393,-5.3038095389517395,-5.303809538951747,-5.053809538951747
sample_i_plus_run64,sample_i,B4,2,2200.0,3200.0,720,-5.3038095389517395,-5.303809538951747,-5.053809538951747
sample_i_plus_run64,sample_i,B4,3,3200.0,4700.0,40,-5.303809538951747,-6.053809538951752,-5.11380953895174
sample_i_plus_run64,sample_i,B4,4,4700.0,6800.0,9,-6.053809538951747,-7.733809538951749,4.056190461048257
sample_i_plus_run64,sample_i,B4,5,6800.0,10000.0,1,-5.303809538951747,-5.303809538951747,-5.303809538951747
sample_i_plus_run64,sample_i,B6,0,1000.0,1500.0,87,2.447272325589992,2.447272325589992,2.447272325589992
sample_i_plus_run64,sample_i,B6,1,1500.0,2200.0,361,2.447272325589992,2.447272325589992,2.547272325589995
sample_i_plus_run64,sample_i,B6,2,2200.0,3200.0,738,2.447272325589992,2.447272325589992,3.447272325589992
sample_i_plus_run64,sample_i,B6,3,3200.0,4700.0,72,2.447272325589992,2.447272325589992,3.197272325589992
sample_i_plus_run64,sample_i,B6,4,4700.0,6800.0,2,-5.677727674410004,-11.202727674410012,-0.15272767440999768
sample_i_plus_run64,sample_i,B8,0,1000.0,1500.0,45,2.8565372133617473,2.8565372133617473,2.8565372133617615
sample_i_plus_run64,sample_i,B8,1,1500.0,2200.0,112,2.8565372133617473,2.3565372133617597,2.8565372133617615
sample_i_plus_run64,sample_i,B8,2,2200.0,3200.0,443,2.8565372133617473,2.6065372133617544,2.8565372133617615
sample_i_plus_run64,sample_i,B8,3,3200.0,4700.0,527,2.8565372133617473,1.8565372133617615,2.8565372133617615
sample_i_plus_run64,sample_i,B8,4,4700.0,6800.0,131,2.8565372133617473,-0.39346278663825274,2.8565372133617615
sample_i_plus_run64,sample_i,B8,5,6800.0,10000.0,2,-1.1434627866382598,-3.863462786638265,1.5765372133617448
sample_i_plus_run64,run64,B4,0,1000.0,1500.0,40,-5.303809538951747,-5.493809538951746,-4.173809538951746
sample_i_plus_run64,run64,B4,1,1500.0,2200.0,93,-5.303809538951747,-5.803809538951741,-3.8038095389517466
sample_i_plus_run64,run64,B4,2,2200.0,3200.0,74,-5.303809538951747,-6.133809538951744,-4.5538095389517395
sample_i_plus_run64,run64,B4,3,3200.0,4700.0,2,-10.053809538951743,-13.283809538951745,-6.823809538951741
sample_i_plus_run64,run64,B4,4,4700.0,6800.0,1,9.94619046104826,9.94619046104826,9.94619046104826
sample_i_plus_run64,run64,B6,0,1000.0,1500.0,28,2.447272325589992,1.6972723255899993,3.117272325589997
sample_i_plus_run64,run64,B6,1,1500.0,2200.0,94,2.447272325589992,2.197272325589992,3.697272325589993
sample_i_plus_run64,run64,B6,2,2200.0,3200.0,84,2.4472723255899993,2.447272325589992,4.3772723255899955
sample_i_plus_run64,run64,B6,3,3200.0,4700.0,3,2.447272325589992,2.447272325589992,2.787272325590002
sample_i_plus_run64,run64,B6,4,4700.0,6800.0,1,1.1972723255899993,1.1972723255899993,1.1972723255899993
sample_i_plus_run64,run64,B8,0,1000.0,1500.0,9,2.8565372133617473,0.8565372133617473,2.8565372133617615
sample_i_plus_run64,run64,B8,1,1500.0,2200.0,30,2.8565372133617615,1.996537213361752,3.036537213361756
sample_i_plus_run64,run64,B8,2,2200.0,3200.0,87,2.8565372133617473,1.6065372133617597,2.9165372133617566
sample_i_plus_run64,run64,B8,3,3200.0,4700.0,75,2.3565372133617473,0.856537213361745,2.8565372133617615
sample_i_plus_run64,run64,B8,4,4700.0,6800.0,9,2.8565372133617473,-1.9834627866382526,2.8565372133617473
