scenario,heldout_run,method,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf
run64_only,58,template_phase_base,219,-3.8413017273002623,2.2819743504438037,3.341570076898247,0.0639269406392694,0.046747226175231874,5.0432834262096655
run64_only,58,traditional_analytic_timewalk,219,1.4102459884914822,0.8331986131165032,2.586810838336498,0.0228310502283105,0.9516683266783951,2.9430823262970076
run64_only,58,traditional_binned_timewalk,219,1.920650863650124,1.140987175221909,2.7156140527396455,0.0228310502283105,0.10375828642925812,2.2545021125422533
run64_only,58,ml_ridge_timewalk,219,1.306691481971427,0.8704376918899946,2.559135991730655,0.0182648401826484,0.7044518848066847,2.376857236167223
run64_only,59,template_phase_base,2289,-3.702625214093935,2.6013126070469603,3.149711354583079,0.07121013543031891,168.63964948569813,53.00145422167655
run64_only,59,traditional_analytic_timewalk,2289,1.2670178451542498,1.2635508119139434,2.4789664510272464,0.01747487986020096,1.4123121926787288,14.147589408409925
run64_only,59,traditional_binned_timewalk,2289,1.6013126070469568,1.3909871752219054,2.606641835045621,0.017911751856705984,1.5949550522791298,33.20528117469944
run64_only,59,ml_ridge_timewalk,2289,1.2051064777406708,1.2206008559639843,2.4446900294062823,0.01616426387068589,1.2421141580335986,7.161869308653111
run64_only,60,template_phase_base,2424,-3.702625214093935,2.3513126070469674,3.1109987185387182,0.08457095709570957,146.372405783571,55.621681441280835
run64_only,60,traditional_analytic_timewalk,2424,1.4026878302335355,1.1593649898972056,2.364768622397331,0.01608910891089109,1.2565790139748096,16.657629604128086
run64_only,60,traditional_binned_timewalk,2424,1.9206508636501312,1.3909871752219125,2.4792506788432034,0.019801980198019802,1.2233019084998014,35.37036710649671
run64_only,60,ml_ridge_timewalk,2424,1.290770480948165,1.1280835889086318,2.320740961343951,0.014438943894389438,1.1164812188362716,8.942262946888217
run64_only,61,template_phase_base,2799,-2.3413017273002623,2.2819743504437966,3.094454840415763,0.039299749910682386,1.7386046655304515,32.8227839557392
