scenario,method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf
sample_i_plus_run64,le500,2.0,train,4410,-1.713248750987276,4.232922938385566,7.324666379217944,0.22811791383219954,173.73049684118405,1.671564582091585
sample_i_plus_run64,le500,2.0,heldout,11460,-1.35492878917281,4.170837794171913,6.876937236648311,0.212478184991274,258.06157370805727,1.2478917700947676
sample_i_plus_run64,le500,4.0,train,4410,-1.4872505939022904,4.2328915144317145,7.318275387015869,0.22811791383219954,181.7550210063248,1.6139772495094573
sample_i_plus_run64,le500,4.0,heldout,11460,-1.1298286863513258,4.166180594403964,6.871495447423603,0.21099476439790577,246.3082348044901,1.4476074793661464
sample_i_plus_run64,cfd10,2.0,train,4410,-2.9156126611332436,3.261072351420627,8.15783008025917,0.04693877551020408,252.27944561580722,9.878753968274896
sample_i_plus_run64,cfd10,2.0,heldout,11460,-2.725694780440474,3.2320895006567385,6.792371007694486,0.045724258289703314,251.65876696180547,22.05194787023084
sample_i_plus_run64,cfd10,4.0,train,4410,-2.6806143199272814,3.232516464771779,8.147491011221605,0.044444444444444446,251.99350774092423,9.10268806964842
sample_i_plus_run64,cfd10,4.0,heldout,11460,-2.491612656966714,3.2068011257160705,6.781323358060387,0.04493891797556719,308.3576971805193,21.765540326350845
sample_i_plus_run64,cfd20,2.0,train,4410,-3.074911356796136,3.1503416112881384,6.693848782115326,0.06825396825396825,305.53188757759256,8.781734173091236
sample_i_plus_run64,cfd20,2.0,heldout,11460,-2.8019233458297848,3.1502666141199165,6.204310730057545,0.05794066317626527,311.69816920836234,17.565462106753824
sample_i_plus_run64,cfd20,4.0,train,4410,-2.816791365082258,3.1237884747186113,6.682355261562601,0.06439909297052154,299.50877019169366,7.649592256661786
sample_i_plus_run64,cfd20,4.0,heldout,11460,-2.5696770798547632,3.125467245440881,6.193072865128246,0.054537521815008726,250.3572164624666,16.183294363392633
sample_i_plus_run64,cfd30,2.0,train,4410,-2.9991317091581884,3.1996067909590007,6.6448783019326,0.09909297052154195,285.3067206317824,8.59471270664526
sample_i_plus_run64,cfd30,2.0,heldout,11460,-2.6952107328290147,3.2484140353373503,6.284273952004644,0.08979057591623037,256.7466016644894,16.81288152217565
sample_i_plus_run64,cfd30,4.0,train,4410,-2.7429560344804624,3.1744685598170954,6.63416009373251,0.09546485260770975,336.46913401286054,7.833135539750243
sample_i_plus_run64,cfd30,4.0,heldout,11460,-2.4522180266943465,3.2280755428412706,6.274137068831163,0.08534031413612565,321.24235332888236,15.679120793486224
sample_i_plus_run64,cfd40,2.0,train,4410,-2.724801023804634,3.3388821256548535,5.81398280272978,0.11746031746031746,216.64749452521608,6.870919478273494
sample_i_plus_run64,cfd40,2.0,heldout,11460,-2.4606702624577323,3.4101433018411615,6.371258052376329,0.11465968586387434,221.08536695264036,11.680254349871916
sample_i_plus_run64,cfd40,4.0,train,4410,-2.485559544527682,3.315752768681792,5.803282960074945,0.11201814058956916,221.93171287705437,6.021827579773602
sample_i_plus_run64,cfd40,4.0,heldout,11460,-2.2285991055686303,3.395384810422322,6.362424568384906,0.11169284467713787,273.0793452487037,10.805869182236101
sample_i_plus_run64,cfd50,2.0,train,4410,-2.4166134213653194,3.517352510123107,5.956019961709847,0.1360544217687075,2.0814092657600614,3.4838584516281057
sample_i_plus_run64,cfd50,2.0,heldout,11460,-2.14115857504175,3.598928452149569,6.925068880183606,0.14467713787085515,191.2694955505886,7.70653570382196
