method,a_gate_stratum,n_runs,n_pair_rows,sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,mean_abs_pair_cov_ns2,cov_ci_low_ns2,cov_ci_high_ns2,correlated_fraction
pair_median,all,21,65484,2.090504189144874,1.8054607952094084,10.93932182247048,228.5346093364996,187.88405216049657,292.8819656917513,0.36641949668744095
pair_median,high_A_width_gate,7,37219,1.9004885051577238,1.7302716837379846,4.8257294350116915,212.13953552202545,128.87525547509102,310.25549141388444,0.3518774222727412
pair_median,low_A_width_gate,7,5630,10.382399768746135,6.462911745086436,14.314543057691552,279.92151152726444,220.613706188287,350.37720845415134,0.3735054509244904
pair_median,mid_A_width_gate,7,22635,2.22291325299582,1.6776621903254767,22.975795624972452,200.8837669874611,109.06069750016343,300.3996263575357,0.3763725120444951
traditional_a_width_gate_ridge,all,21,65484,8.339369524682985,7.75394767286428,9.395374812584047,64.20609135994549,52.69224992084416,78.03181894827033,0.3972722682271258
traditional_a_width_gate_ridge,high_A_width_gate,7,37219,7.983130950500257,7.5173515603475956,8.573477849084046,53.79616326902789,41.658619548954114,69.27818031006281,0.38416675415979373
traditional_a_width_gate_ridge,low_A_width_gate,7,5630,10.454139428228594,9.563242210664473,11.257303202960914,71.73945405467497,57.884565086917725,83.55737274773784,0.39371052834534565
traditional_a_width_gate_ridge,mid_A_width_gate,7,22635,8.303129689795139,7.126894083163043,11.569665329948936,68.15885142680928,52.26615949443739,104.47931809849794,0.41294147530338227
ridge,all,21,65484,7.872683075104417,7.3100651740009965,9.360859584061616,59.39211575719043,50.766794035943185,75.81159648612214,0.3711384185779488
ridge,high_A_width_gate,7,37219,7.204877576333287,6.661712999375507,9.48544064568433,46.06046362476611,26.96137248276344,57.496129660451565,0.3488374008243659
ridge,low_A_width_gate,7,5630,10.502127004951076,9.660585281817445,11.285588295792218,69.27081591584061,57.66463875980307,80.99899875193086,0.3734038881321096
ridge,mid_A_width_gate,7,22635,8.287203174341467,7.380690163176169,11.557090435437107,64.25631061077173,41.295828110227404,88.06575910671066,0.38810837049883756
gradient_boosted_trees,all,21,65484,3.911731860600011,3.5398001151753,10.978366099092227,87.94299709311325,72.62350345260334,107.86595903713942,0.3336721476044968
gradient_boosted_trees,high_A_width_gate,7,37219,3.7084035654945025,3.38977932791788,4.348954366201247,75.6467803160989,22.117206110302984,113.44155810440388,0.31723229431531147
gradient_boosted_trees,low_A_width_gate,7,5630,9.370687002808943,6.6207690833110036,12.286912934095614,104.73020852530571,83.5695956084084,124.21852246577811,0.32501431347261556
gradient_boosted_trees,mid_A_width_gate,7,22635,4.070020940357903,3.531110827516076,15.510844947846019,85.85017549967691,49.16391115139871,119.46585047234021,0.36227256299155824
extra_trees_s18e_style,all,21,65484,2.3804613697650314,2.018034133687477,5.246039485342669,37.96140406088593,33.39418107194414,47.954496203116776,0.2862666273363921
extra_trees_s18e_style,high_A_width_gate,7,37219,1.9410610154691232,1.81685155417002,7.733067954852494,24.650321662010157,14.9129211664559,31.73588608266256,0.23647724946612697
extra_trees_s18e_style,low_A_width_gate,7,5630,5.21463160542938,4.810059163038949,5.699156286959486,45.78795909620835,30.986310384078084,53.7124319370639,0.2707777590573996
extra_trees_s18e_style,mid_A_width_gate,7,22635,2.7466867826207135,2.570119593547244,8.618041543439718,44.564010715199615,26.27387421639028,60.80827874030853,0.345907954524087
mlp,all,21,65484,3.8562197337505504,3.4224291728909777,16.051762131351417,214.4583928195075,185.34030142338116,267.43276974764046,0.36597053977470534
mlp,high_A_width_gate,7,37219,3.5050944243840076,3.076274520067922,5.622769871559418,197.84715367370362,67.91520148140704,274.5967827890789,0.34740409663814614
mlp,low_A_width_gate,7,5630,10.527991030537963,6.43341417764859,14.927827673079868,263.5974268396344,218.40460451382302,322.9043743736442,0.37725484712457125
mlp,mid_A_width_gate,7,22635,4.0936147783758425,3.7153627208409623,25.847122365776634,188.95045994805974,121.71502812322703,276.6234595327473,0.37550492708795263
cnn_1d,all,21,65484,6.58279212889734,4.783293432399606,9.11914968642746,230.04240673214085,185.89177106470027,271.01802907083106,0.3712726221681152
cnn_1d,high_A_width_gate,7,37219,6.164832051883431,4.142501037487728,19.252790808988884,210.2996393930738,106.93164068686941,310.436932803707,0.35633788109868825
cnn_1d,low_A_width_gate,7,5630,11.065994261230067,6.706995258182244,15.212512948322557,288.75069770048117,194.73180812265613,348.1787545798673,0.38223857393725724
cnn_1d,mid_A_width_gate,7,22635,5.299457586630149,3.8682804567114877,24.048930693249325,199.46378181263037,86.81785185727644,286.8602864693453,0.3767772490091749
support_gated_cnn_new,all,21,65484,4.827995891858526,4.229265449370442,6.422905843105547,230.20449484055445,170.61420919878447,276.3637903960575,0.3723380729661656
support_gated_cnn_new,high_A_width_gate,7,37219,3.869890811106627,3.216129825421981,4.293984686027995,210.8669612216912,108.97259597154498,309.0886405253858,0.35369517873594297
support_gated_cnn_new,low_A_width_gate,7,5630,11.777858017027937,8.301465447035513,16.505869191052913,292.3310528635471,227.03138830249966,338.7319362119728,0.38529749143642705
support_gated_cnn_new,mid_A_width_gate,7,22635,4.451103585935623,3.7400207713948075,28.192815666499605,196.2906930111383,112.42313915987572,273.5352517877464,0.37994864197187367
