run,run_family,a_n_pairs,a_p68_width_ns,a_mad_sigma_ns,a_iqr_sigma_ns,a_trimmed_sigma_ns,a_student_t_width68_ns,a_student_t_df,a_full_rms_ns,a1_amp_median,a3_amp_median,a1_tail_median,a3_tail_median
31,sample_i_calib,317,1.632533644176668,1.6259345461363341,1.6233208285552396,1.6170457057869834,1.4828263642958364,200.0,1.493641852500305,2391.0,1640.0,0.3200766650694777,0.3452307147285449
32,sample_i_calib,332,1.5707865428893075,1.6120670443404965,1.5963728415552751,1.5816143637390465,1.5423747696263643,8.294867776641345,1.7182417248791493,2424.5,1742.5,0.32161064243315807,0.35139294380023134
33,sample_i_calib,465,42.081644399015715,36.501294573643435,35.54305542294339,39.79822593830493,40.7721749791556,89.11299046317586,41.276340757794124,81.5,77.5,0.7051282051282052,0.737516005121639
34,sample_i_calib,324,44.97938760248142,35.89078326985471,36.58870169993279,42.215275028906625,43.466906589528364,94.02410117936697,43.988541251768645,81.5,80.0,0.7008253560193485,0.7438869327073552
35,sample_i_calib,220,1.4273955956822628,1.4251197233374322,1.456883692374093,1.430377435145895,1.3953809283974878,200.0,1.403716711017894,2827.5,1931.5,0.34087043854143895,0.3598346133836481
36,sample_i_calib,172,1.2470621504927728,1.2183041812159885,1.2073340108029111,1.3040824761574956,1.3272544836877678,200.0,1.3418214114403713,2832.75,1898.25,0.3336497121197637,0.36113550903222
37,sample_i_calib,400,1.2906634433702675,1.3189882624281382,1.3220800223059377,1.3376264099903048,1.2992871836754412,200.0,1.3076657580728057,2843.0,1993.5,0.33968772615081966,0.35660155105288743
39,sample_i_calib,240,1.3545659511240027,1.3546513967674296,1.5482926509979023,1.4238171257109278,1.3437754692462156,200.0,1.3632966136589337,2972.5,2029.25,0.3388128042329924,0.3574607071026093
40,sample_i_calib,259,1.4498689883215465,1.4052348726368988,1.4168398852534017,1.4203651401002162,1.3440771704574812,200.0,1.355767939226019,2986.5,1941.0,0.3391985703484775,0.352978417266187
41,sample_i_calib,270,1.4074445534063722,1.4254000162084972,1.4484898203283816,1.4347914516636189,1.3725750408544448,200.0,1.378286571639321,2890.25,1946.0,0.3376328628953317,0.35532475640781314
42,sample_i_calib,270,1.513229574647142,1.6440608186177954,1.614274837396368,1.5547065737478039,1.407146430860952,6.510650671293789,2.013344475172407,2827.25,1912.25,0.33413509238997197,0.3574294254830517
44,sample_i_analysis,34,1.519167532669129,1.57396747501355,1.70912234313466,1.5610069068969867,1.4434427547756148,2.01,18.477206077849758,2857.25,1902.5,0.34580875555404034,0.35985457109084307
45,sample_i_analysis,382,1.3894920560902317,1.5243701621400305,1.4746369886072994,1.4098158216006906,1.3400161327080338,6.742755277628785,1.7982888361411768,2745.25,1937.25,0.34093095622974995,0.3617415616613221
46,sample_i_analysis,11,1.6910247605553133,2.3655063967992196,1.8936958172431144,2.1193168929785493,1.9519137987771373,2.9959432958349232,2.547238931073835,2492.0,1324.5,0.2741963970328506,0.3450403186631691
47,sample_i_analysis,87,1.5881786994800007,1.552318437486945,1.574192956309854,1.6112953676080612,1.5517642371130078,200.0,1.5569439176453785,2626.5,1938.5,0.3333550128451107,0.3529822600921916
48,sample_i_analysis,252,1.5007846589692297,1.5479649376286135,1.5207125203597873,1.5465475539237146,1.451360796550777,8.997543758588339,1.6211450752801178,2813.75,2035.0,0.34221434651532134,0.3621467816027789
49,sample_i_analysis,257,1.3269944830142795,1.3002328666751188,1.3053065887760211,1.3257090815974655,1.2586574805666768,200.0,1.262928960374863,2918.0,2038.5,0.3403130613292276,0.3602096854717923
50,sample_i_analysis,362,33.46572410768557,22.448401410256416,19.672672206813953,31.774453872626644,17.85545780457913,2.01,41.67730700788712,94.75,96.75,0.6352205585748573,0.5496089571864544
51,sample_i_analysis,165,38.56722938039991,29.862685263157882,29.43739653735839,36.26235252575014,37.31316305566576,3.85763715381309,43.49585713885817,86.0,86.0,0.6793478260869565,0.6382978723404256
52,sample_i_analysis,81,41.46133920963875,38.50692353846155,31.653557365094603,39.926593430528015,38.639065692137684,4.22895988758247,44.99088289952714,91.5,88.0,0.6011644832605532,0.7450980392156863
53,sample_i_analysis,318,39.04796617745788,36.36488333333333,35.749850058791345,38.55086045953643,40.04120831254688,6.244890816767585,44.156730647291475,85.0,84.0,0.7238768380859534,0.7497820934322196
54,sample_i_analysis,306,45.859595959595964,38.70992459293343,41.30195556668652,43.576493797795735,44.999088708852874,22.376843899931977,46.38131004594307,87.25,86.5,0.7203660960556544,0.7299352031299378
55,sample_i_analysis,193,39.79119717239283,32.07826189473685,30.844586353958412,35.362033668949756,36.12041286417922,5.125010093257962,40.851335315082416,90.5,91.0,0.6578125,0.6529680365296804
56,sample_i_analysis,411,23.45662920300331,10.955104241480225,12.266325910367808,22.431618493203224,6.968588111007346,2.01,36.087132447758606,131.5,123.5,0.4396737340730045,0.4232596470816366
57,sample_i_analysis,249,1.3129021702480506,1.2579845445282938,1.1963856737170127,1.3076970376314065,1.3167932387579733,66.86311822859076,1.3353033133527648,2898.0,1992.0,0.3448077790998236,0.3629185553443486
58,sample_ii_analysis,282,36.171934907198064,32.936420667135025,32.23899163331114,34.94536944275295,36.01208633942497,5.388547233642295,40.34831425100572,93.25,92.25,0.6633014937354168,0.6817626923321076
59,sample_ii_analysis,342,40.12209099934698,33.96985650349651,34.667112043654235,38.28422531095806,39.26265862375335,11.131083186452436,41.52657661684977,88.25,88.0,0.7536258881262042,0.7190311797684438
60,sample_ii_analysis,286,38.261919635865205,38.18292384615384,37.16849994289637,38.342369695162255,40.44213632854907,16.529792573306732,42.01433352708539,89.75,87.5,0.7095255332968774,0.6969417744694177
61,sample_ii_analysis,290,44.8871443046157,35.640056666666666,38.04727943240001,42.46923181124167,44.139212098839565,200.0,44.374834895774164,87.5,87.0,0.7300374926409072,0.744100987341376
62,sample_ii_analysis,298,45.61395135566187,44.29850061444718,44.51811093428843,45.368524711373034,44.0932407697025,200.0,44.26230114670882,88.0,86.5,0.7412813082597065,0.7582302054547638
63,sample_ii_analysis,301,34.228986147951666,27.083824377747924,27.288545378922905,32.56892388033481,32.43877436775387,4.28657413531868,37.573261532808516,92.0,95.0,0.6469534050179212,0.6502732240437158
64,sample_ii_calib,286,38.72524509803921,30.9202520300752,29.71326461247249,36.07845261164939,36.30286860512229,5.520580221692587,40.59032708121512,91.5,89.0,0.6962299341584821,0.6843281025475101
65,sample_ii_analysis,311,34.685770703080415,32.32203318584596,31.25400856768308,34.9757835360772,35.47451037312604,3.542578684591877,42.660377275337495,95.0,92.5,0.677376171352075,0.6545893719806763
