method,baseline,comparison,delta_sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,delta_mean_abs_pair_cov_ns2,cov_ci_low_ns2,cov_ci_high_ns2,p_two_sided_sigma68
ridge,pair_median,ridge_minus_pair_median,5.782178885959543,4.249979408319581,6.1037806866555435,-169.1424935793092,-217.7291342676892,-116.86195940808703,0.0
ridge,traditional_a_width_gate_ridge,ridge_minus_traditional_a_width_gate_ridge,-0.4666864495785674,-0.811721028727623,-0.12254632446661887,-4.8139756027550575,-7.146689092418875,-2.2074630348197797,0.0
gradient_boosted_trees,pair_median,gradient_boosted_trees_minus_pair_median,1.8212276714551368,1.5750027362364483,1.888722847359802,-140.59161224338635,-185.42727557153344,-116.93890695968193,0.0
gradient_boosted_trees,traditional_a_width_gate_ridge,gradient_boosted_trees_minus_traditional_a_width_gate_ridge,-4.427637664082974,-4.798892474466391,-3.73131536270309,23.73690573316776,14.674807370732726,30.875486624553307,0.0
extra_trees_s18e_style,pair_median,extra_trees_s18e_style_minus_pair_median,0.2899571806201573,-1.9535157448152238,0.5241039055129812,-190.57320527561367,-238.0660350012543,-157.74679954815818,0.16
extra_trees_s18e_style,traditional_a_width_gate_ridge,extra_trees_s18e_style_minus_traditional_a_width_gate_ridge,-5.958908154917953,-6.316333554267752,-5.735872056395516,-26.244687299059557,-31.193247413016714,-20.726874157924215,0.0
mlp,pair_median,mlp_minus_pair_median,1.7657155446056763,0.11732767028615215,1.8724009551349425,-14.076216516992105,-20.320711065758402,-10.043851299758085,0.0
mlp,traditional_a_width_gate_ridge,mlp_minus_traditional_a_width_gate_ridge,-4.483149790932434,-5.068350328259716,-0.9307717618527109,150.25230145956203,108.75100276717671,176.6402039286794,0.08
cnn_1d,pair_median,cnn_1d_minus_pair_median,4.492287939752466,1.2686833385346108,5.54607133172669,1.5077973956412336,-6.020501640774237,4.9941834907869795,0.0
cnn_1d,traditional_a_width_gate_ridge,cnn_1d_minus_traditional_a_width_gate_ridge,-1.7565773957856443,-3.6947305419654537,-1.01695478072638,165.83631537219537,125.63439572834001,218.79369260076035,0.0
support_gated_cnn_new,pair_median,support_gated_cnn_new_minus_pair_median,2.737491702713652,0.29273655333515486,3.259377085279949,1.6698855040548324,-2.4449754047615104,7.4668395182352265,0.08
support_gated_cnn_new,traditional_a_width_gate_ridge,support_gated_cnn_new_minus_traditional_a_width_gate_ridge,-3.5113736328244585,-4.335853887768279,1.1572490365445143,165.99840348060894,119.27086034255193,213.35745127881046,0.08
waveform_only_mlp,pair_median,waveform_only_mlp_minus_pair_median,1.7987102530606967,0.2623382222725049,1.8674559485440165,-7.233624318414172,-11.8882457064954,-2.080443354189249,0.08
waveform_only_mlp,traditional_a_width_gate_ridge,waveform_only_mlp_minus_traditional_a_width_gate_ridge,-4.450155082477414,-4.8929609976118895,-2.176938474304022,157.09489365813994,102.59292705652977,193.97959054898323,0.08
pool_label_control,pair_median,pool_label_control_minus_pair_median,4.295104282886281,3.2388282706373914,7.211933120443248,0.0,-1.3749001936957939e-14,1.1084466677857563e-14,0.0
pool_label_control,traditional_a_width_gate_ridge,pool_label_control_minus_traditional_a_width_gate_ridge,-1.9537610526518296,-2.9926734895042304,0.780900886248667,164.3285179765541,129.5187707076378,195.78925140925804,0.48
ml_shuffled_target_control,pair_median,ml_shuffled_target_control_minus_pair_median,2.872119361108191,1.1217753339480698,2.993520145381868,2.4226613368300605,-2.3501896712503347,7.601171898713367,0.0
ml_shuffled_target_control,traditional_a_width_gate_ridge,ml_shuffled_target_control_minus_traditional_a_width_gate_ridge,-3.3767459744299195,-3.6863215242481226,4.774719695981381,166.75117931338417,124.85229137263674,199.8957198736824,0.08
