row_type,layer_or_channel,n_events,mean_edep_mev,sem_edep_mev,boot_lo_mev,boot_hi_mev,frac_nonzero
layer,L0,14112,17.205488,0.117029,17.084659,17.318275,1.000000
layer,L1,14112,14.416329,0.096590,14.314828,14.508420,0.902423
layer,L2,14112,11.869958,0.090991,11.776887,11.956002,0.763393
layer,L3,14112,11.488696,0.084068,11.405727,11.572764,0.709892
layer,L4,14112,11.100986,0.085750,11.018635,11.194458,0.632724
layer,L5,14112,13.155861,0.114087,13.050671,13.272406,0.583546
layer,L6,14112,11.891476,0.120213,11.774375,12.008882,0.486891
layer,L7,14112,7.131259,0.096009,7.043003,7.227276,0.309595
sparse_even,B2,14112,17.205488,,,,1.000000
sparse_even,B4,14112,11.869958,,,,0.763393
sparse_even,B6,14112,11.100986,,,,0.632724
sparse_even,B8,14112,11.891476,,,,0.486891
sparse_odd,B2,14112,14.416329,,,,0.902423
sparse_odd,B4,14112,11.488696,,,,0.709892
sparse_odd,B6,14112,13.155861,,,,0.583546
sparse_odd,B8,14112,7.131259,,,,0.309595
