check,heldout_run,heldout_sigma68_ns,n_pair_residuals
train_heldout_run_overlap,-1,0.0,0
train_heldout_event_id_overlap,-1,0.0,0
feature_audit_no_run_event_order_or_cross_stave_time,-1,0.0,0
analytic_timewalk_shuffled_target,58,1.8352807779810472,219
analytic_timewalk_shuffled_target,59,2.281773552298388,2289
analytic_timewalk_shuffled_target,60,1.9618676490795577,2424
analytic_timewalk_shuffled_target,61,2.230249175150308,2799
analytic_timewalk_shuffled_target,62,2.0012017709631134,2421
analytic_timewalk_shuffled_target,63,2.1367817902025084,1110
analytic_timewalk_shuffled_target,65,1.933729025870202,198
s03b_binned_shuffled_target,58,1.7959430282283932,219
s03b_binned_shuffled_target,59,2.25000000000001,2289
s03b_binned_shuffled_target,60,1.7959430282283897,2424
s03b_binned_shuffled_target,61,2.250000000000005,2799
s03b_binned_shuffled_target,62,1.9999999999999993,2421
s03b_binned_shuffled_target,63,2.0459430282283932,1110
s03b_binned_shuffled_target,65,1.7959430282283932,198
hgb_shuffled_target,58,1.819739634139882,219
hgb_shuffled_target,59,2.3439596379241685,2289
hgb_shuffled_target,60,2.0521853132344674,2424
hgb_shuffled_target,61,2.2401076842282293,2799
hgb_shuffled_target,62,2.0535499823340317,2421
hgb_shuffled_target,63,2.170327017739678,1110
hgb_shuffled_target,65,1.9327909439293292,198
