method,n,pred_mean_ns,target_mean_ns
analytic_timewalk,1639,-4.014271167136497,-3.824954300069798
analytic_timewalk,1636,-3.8674698373666327,-4.057962921672519
analytic_timewalk,1638,-0.15890290505073107,-0.4109552228787343
analytic_timewalk,1637,1.8162932491913768,2.109676200447389
analytic_timewalk,1636,1.91929575664287,2.080157610007623
analytic_timewalk,1637,2.0177901285190876,2.0456733837830314
analytic_timewalk,1637,2.23805239198186,2.062081229925388
s03b_binned_timewalk,3820,-3.9242526527236055,-3.928310244346646
s03b_binned_timewalk,3820,1.4635764319613063,2.3465607251548977
s03b_binned_timewalk,3820,2.4606762207622648,1.58174951919159
hgb_timewalk,3820,-3.148672684218153,-3.928310244346646
hgb_timewalk,1365,1.2838870612779818,1.0082319471562677
hgb_timewalk,1579,1.4987789299996574,1.5114223779228153
hgb_timewalk,1799,1.562207106861094,2.04377632184203
hgb_timewalk,1395,1.6389777738362032,2.032233142265345
hgb_timewalk,1502,1.715332811324894,3.1502355221985194
