method,family,n,bias_frac,res68_frac,mae_mev,res68_ci95,bias_ci95,mae_mev_ci95
geant4_birks_lookup,traditional_geant4_birks,332852,-0.023105417371831,0.0402476780185758,0.22820765571671336,"[0.03874911671238252, 0.041667462491534524]","[-0.026522771095648434, -0.01761301007191359]","[0.2028200869710199, 0.2662384485643746]"
range_gated_residual_mlp_new,neural_physics_residual,332852,-0.007453371930916429,0.055025375840603886,0.1930603198986688,"[0.04431271663636683, 0.08212206387295212]","[-0.013635564273955807, 0.0014416617691632736]","[0.16249713538200916, 0.23292476249996333]"
gradient_boosted_trees,ml_tree,332852,-0.015824801121415336,0.056463578707480026,0.20970331581828758,"[0.046449120073425366, 0.0698755995049433]","[-0.019266766444589585, -0.0075688074570430435]","[0.1826544104899547, 0.23915958956936018]"
1d_cnn,neural_waveform,332852,0.023609935796931422,0.10409176697233909,0.3408806358116181,"[0.0850841043732609, 0.14405215856040327]","[0.016792025985832487, 0.03140792874441453]","[0.3055463882015352, 0.3859794002478491]"
ridge,ml_linear,332852,-0.026205487962249953,0.10937659365537725,0.31672238274554554,"[0.0934198418979589, 0.12407470602756072]","[-0.04054980794545952, -0.0021804539403888243]","[0.2929413071166939, 0.35080539348048295]"
multitask_waveform_transformer,neural_multitask_transformer,332852,0.00464518940853751,0.11728394287205073,0.4139445032743572,"[0.09705835863153378, 0.1669525536937465]","[-0.004040583318093862, 0.014530489673352963]","[0.36594581649588576, 0.4878870212278062]"
mlp,neural_tabular,332852,-0.14900820662084463,0.3016214885021957,0.7575358610371791,"[0.28660031401323993, 0.30998204088116654]","[-0.16463927225299743, -0.13648757668250797]","[0.7066265557549648, 0.7986804769943322]"
old_power_law,traditional_empirical,332852,0.917909809671759,1.1289487128601854,4.012748173564364,"[1.0759441895416362, 1.164312965650735]","[0.792787692066278, 0.9776610066611795]","[3.6633200103355734, 4.317152031082128]"
