run,method,n,roc_auc,balanced_accuracy,tn,fp,fn,tp
44,traditional_dedx_likelihood,1389,0.9953989326729201,0.9918293043745069,1023,14,1,351
45,traditional_dedx_likelihood,17179,0.9948052281952313,0.9887794542034014,11323,171,43,5642
46,traditional_dedx_likelihood,495,0.9970434782608696,0.9942028985507246,341,4,0,150
47,traditional_dedx_likelihood,3830,0.9959327746021753,0.9938057866710546,2447,27,2,1354
48,traditional_dedx_likelihood,9823,0.9953773084316577,0.9863607792526355,7698,101,29,1995
49,traditional_dedx_likelihood,10317,0.9947739805694096,0.9868595221131058,7960,122,25,2210
50,traditional_dedx_likelihood,26206,0.9958839579819663,0.9921639217088825,4793,59,75,21279
51,traditional_dedx_likelihood,10741,0.995204928030669,0.9904211838679219,2685,41,33,7982
52,traditional_dedx_likelihood,5241,0.9955736699699733,0.9908534166204455,1269,19,14,3939
53,traditional_dedx_likelihood,20670,0.9975645086705668,0.9931456702801924,3978,45,42,16605
54,traditional_dedx_likelihood,19572,0.9976923226513771,0.9942714638895416,3721,34,38,15779
55,traditional_dedx_likelihood,12556,0.9950404210061552,0.9921644431883032,3244,43,24,9245
56,traditional_dedx_likelihood,29824,0.9957764408353798,0.9909025116607157,6050,86,99,23589
57,traditional_dedx_likelihood,9578,0.9966977751359797,0.990532115967656,7582,85,15,1896
58,traditional_dedx_likelihood,10944,0.9994682652618901,0.995000508651363,9037,14,16,1877
59,traditional_dedx_likelihood,11577,0.9945582470217643,0.9744368957923946,10806,142,24,605
60,traditional_dedx_likelihood,8070,0.9977592947736413,0.9848213859458528,7688,49,8,325
61,traditional_dedx_likelihood,9080,0.9977188431503041,0.9903261289003735,8632,57,5,386
62,traditional_dedx_likelihood,9796,0.9968903298642948,0.9751575012225686,9280,68,19,429
63,traditional_dedx_likelihood,12153,0.9961152523642574,0.9842083962844987,10885,126,23,1119
65,traditional_dedx_likelihood,9742,0.9975710257813568,0.9902867907194934,9227,75,5,435
44,ridge,1389,0.9989507539230297,0.9951783992285439,1027,10,0,352
45,ridge,17179,0.9991146158777497,0.9966494774758397,11419,75,1,5684
46,ridge,495,0.9985314009661835,0.9956521739130435,342,3,0,150
47,ridge,3830,0.9995090534478935,0.9977768795472919,2463,11,0,1356
48,ridge,9823,0.9992622191858995,0.9961627605545862,7743,56,1,2023
49,ridge,10317,0.9994715242588966,0.995878736242109,8019,63,1,2234
50,ridge,26206,0.9989609071776432,0.9959529911550288,4815,37,10,21344
51,ridge,10741,0.9995964554721086,0.9965113101855518,2708,18,3,8012
52,ridge,5241,0.9989405797625202,0.9958650399963547,1278,10,2,3951
53,ridge,20670,0.9989829908314929,0.998294184005135,4010,13,3,16644
54,ridge,19572,0.9994200310525672,0.997711449537642,3739,16,5,15812
55,ridge,12556,0.9994668693414358,0.9964819382993575,3266,21,6,9263
56,ridge,29824,0.999341105712815,0.996613901184763,6096,40,6,23682
57,ridge,9578,0.9992793979266618,0.9966724878592064,7624,43,2,1909
58,ridge,10944,0.9998750988047247,0.998201160145336,9028,23,2,1891
59,ridge,11577,0.9991411923862653,0.994135668368405,10837,111,1,628
60,ridge,8070,0.9993347360543949,0.9829169999778763,7705,32,10,323
61,ridge,9080,0.9994183785890325,0.9929284137659427,8655,34,4,387
62,ridge,9796,0.9994591566568861,0.9890852321352162,9290,58,7,441
63,ridge,12153,0.9993878912044809,0.9962473046774909,10938,73,1,1141
65,ridge,9742,0.9996230038505893,0.9977961728660503,9261,41,0,440
44,gradient_boosted_trees,1389,0.9994794862803541,0.9985535197685631,1034,3,0,352
45,gradient_boosted_trees,17179,0.9997886396772496,0.9977757581906908,11455,39,6,5679
46,gradient_boosted_trees,495,1.0,0.9985507246376812,344,1,0,150
47,gradient_boosted_trees,3830,0.9997831429164192,0.9985852869846403,2467,7,0,1356
48,gradient_boosted_trees,9823,0.9997510955848704,0.9972355708925893,7779,20,6,2018
49,gradient_boosted_trees,10317,0.9998250593607912,0.9979915596677678,8064,18,4,2231
50,gradient_boosted_trees,26206,0.999989894759567,0.998252903340779,4838,14,13,21341
51,gradient_boosted_trees,10741,0.9998003331061668,0.9980996975132375,2717,9,4,8011
52,gradient_boosted_trees,5241,0.9995758587313983,0.9983294588746969,1285,3,4,3949
53,gradient_boosted_trees,20670,0.9999891296039545,0.9977069362429323,4006,17,6,16641
54,gradient_boosted_trees,19572,0.999857028208874,0.9986435400835808,3746,9,5,15812
55,gradient_boosted_trees,12556,0.9999882168376271,0.9981551965895918,3277,10,6,9263
56,gradient_boosted_trees,29824,0.9998208697806381,0.997914737524366,6113,23,10,23678
57,gradient_boosted_trees,9578,0.9998865314503764,0.9977127811725065,7656,11,6,1905
58,gradient_boosted_trees,10944,0.9999273355195711,0.9983478898672622,9045,6,5,1888
59,gradient_boosted_trees,11577,0.999382396215554,0.9898130227414115,10899,49,10,619
60,gradient_boosted_trees,8070,0.9998579424713585,0.9921047453036596,7731,6,5,328
61,gradient_boosted_trees,9080,0.9996559132442201,0.9762915689325864,8677,12,18,373
62,gradient_boosted_trees,9796,0.9997114308255395,0.9889390969802555,9329,19,9,439
63,gradient_boosted_trees,12153,0.9997663536908881,0.9940778056523957,10977,34,10,1132
65,gradient_boosted_trees,9742,0.9999313441879556,0.9946482672348078,9287,15,4,436
44,mlp,1389,0.9996109844832121,0.9985535197685631,1034,3,0,352
45,mlp,17179,0.9996162121371419,0.997596061361371,11463,31,12,5673
46,mlp,495,0.9989565217391305,0.9985507246376812,344,1,0,150
47,mlp,3830,0.9999955287199263,0.999227064717904,2472,2,1,1355
48,mlp,9823,0.9996696267434713,0.9975920129113542,7773,26,3,2021
49,mlp,10317,0.9997854209121605,0.9967017599803358,8054,28,7,2228
50,mlp,26206,0.9996691812597149,0.9973020359270155,4829,23,14,21340
51,mlp,10741,0.9996041446499113,0.9983417693072738,2719,7,6,8009
52,mlp,5241,0.9993426252252791,0.9978060337851745,1283,5,2,3951
53,mlp,20670,0.9998249985691542,0.9984526483980403,4012,11,6,16641
54,mlp,19572,0.9997707972687278,0.9981808495923793,3743,12,7,15810
55,mlp,12556,0.9997502560376152,0.9970903958594427,3270,17,6,9263
56,mlp,29824,0.999266382408512,0.9974228750373719,6108,28,14,23674
57,mlp,9578,0.9996517112729452,0.9967989924948318,7646,21,7,1904
58,mlp,10944,0.999961245610438,0.9977091428200227,9043,8,7,1886
59,mlp,11577,0.9990704721786412,0.9846053580068925,10872,76,15,614
60,mlp,8070,0.9998315492693158,0.9815942347931491,7731,6,12,321
61,mlp,9080,0.9996829927835972,0.9812340263831243,8674,15,14,377
62,mlp,9796,0.9995699519377713,0.9818147693929946,9321,27,15,433
63,mlp,12153,0.9997056756330758,0.9933804056157185,10952,59,9,1133
65,mlp,9742,0.9998815015343718,0.9966522351009558,9282,20,2,438
44,1d_cnn,1389,0.9882144735688612,0.9661049684404313,1005,32,13,339
45,1d_cnn,17179,0.9931212476120383,0.9748136039467803,11099,395,91,5594
46,1d_cnn,495,0.995806763285024,0.9792753623188406,333,12,1,149
47,1d_cnn,3830,0.9954196206923688,0.9839135266357135,2409,65,8,1348
48,1d_cnn,9823,0.992417632847426,0.9716393406066552,7557,242,52,1972
49,1d_cnn,10317,0.9921472690160752,0.971439390542244,7812,270,53,2182
50,1d_cnn,26206,0.9954820647521415,0.9834001398789194,4715,137,106,21248
51,1d_cnn,10741,0.9957861474884994,0.9805752145761181,2632,94,35,7980
52,1d_cnn,5241,0.9949882784205093,0.9788192551297623,1238,50,14,3939
53,1d_cnn,20670,0.9959753403871155,0.9874057652011476,3941,82,80,16567
54,1d_cnn,19572,0.9968373542027418,0.9869450582717596,3675,80,76,15741
55,1d_cnn,12556,0.9954171539802983,0.983479858653254,3194,93,44,9225
56,1d_cnn,29824,0.9950260670881387,0.9831318659302792,5965,171,139,23549
57,1d_cnn,9578,0.992065357611576,0.9702166385913056,7443,224,58,1853
58,1d_cnn,10944,0.9938295307631353,0.9842574591840112,9029,22,55,1838
59,1d_cnn,11577,0.9802500387726806,0.9181363497220275,10722,226,90,539
60,1d_cnn,8070,0.9749916647939137,0.920043735088326,7615,122,48,285
61,1d_cnn,9080,0.9774982273203706,0.9241689009739509,8549,140,53,338
62,1d_cnn,9796,0.9829251100311754,0.933948342655419,9219,129,53,395
63,1d_cnn,12153,0.9873674327582942,0.9462562990265585,10782,229,99,1043
65,1d_cnn,9742,0.9921896073180744,0.9685187447469752,9118,184,19,421
44,multitask_waveform_transformer,1389,0.9969317085999825,0.9822381542035592,1009,28,3,349
45,multitask_waveform_transformer,17179,0.9983067606379161,0.9849722443234121,11191,303,21,5664
46,multitask_waveform_transformer,495,0.9988792270531401,0.9927536231884058,340,5,0,150
47,multitask_waveform_transformer,3830,0.9990058853969186,0.9917138237671786,2433,41,0,1356
48,multitask_waveform_transformer,9823,0.9980586215826799,0.9865290700591491,7612,187,6,2018
49,multitask_waveform_transformer,10317,0.9976209180286847,0.9828957049305026,7867,215,17,2218
50,multitask_waveform_transformer,26206,0.9987603948853855,0.9810248485835407,4674,178,27,21327
51,multitask_waveform_transformer,10741,0.9987761849686643,0.9817679525138348,2630,96,10,8005
52,multitask_waveform_transformer,5241,0.9985705486673381,0.9842190772634354,1248,40,2,3951
53,multitask_waveform_transformer,20670,0.9986522948682728,0.9810350934460605,3875,148,19,16628
54,multitask_waveform_transformer,19572,0.9990163796693657,0.9808524041662601,3615,140,16,15801
55,multitask_waveform_transformer,12556,0.9986719489806793,0.9831400998641063,3179,108,8,9261
56,multitask_waveform_transformer,29824,0.9987032503598496,0.9802837528901358,5900,236,23,23665
57,multitask_waveform_transformer,9578,0.998129355784613,0.9861006657481345,7498,169,11,1900
58,multitask_waveform_transformer,10944,0.9994428472850012,0.9924231082853091,8976,75,13,1880
59,multitask_waveform_transformer,11577,0.9947135555680764,0.971280697943102,10441,507,7,622
60,multitask_waveform_transformer,8070,0.9950275983622242,0.9722609387208069,7331,406,1,332
61,multitask_waveform_transformer,9080,0.9921445788381053,0.9652560679508059,8263,426,8,383
62,multitask_waveform_transformer,9796,0.9938422657252888,0.9665813734030198,8911,437,9,439
63,multitask_waveform_transformer,12153,0.9973322331227124,0.980240902227847,10653,358,8,1134
65,multitask_waveform_transformer,9742,0.9984218936299135,0.988581878774848,9153,149,3,437
44,range_gated_residual_mlp_new,1389,0.9996164635749978,0.997589199614272,1032,5,0,352
45,range_gated_residual_mlp_new,17179,0.9995462739230395,0.9980386615998955,11457,37,4,5681
46,range_gated_residual_mlp_new,495,0.9996521739130435,0.9971014492753623,343,2,0,150
47,range_gated_residual_mlp_new,3830,0.9999335269695692,0.9986207591398927,2469,5,1,1355
48,range_gated_residual_mlp_new,9823,0.9996676628755993,0.9979578624907317,7771,28,1,2023
49,range_gated_residual_mlp_new,10317,0.9998688498815552,0.9982296394838808,8057,25,1,2234
50,range_gated_residual_mlp_new,26206,0.9995427161542779,0.9977282608771187,4832,20,9,21345
51,range_gated_residual_mlp_new,10741,0.9996534835408114,0.9980996975132375,2717,9,4,8011
52,range_gated_residual_mlp_new,5241,0.9993718898925732,0.9970296362696466,1281,7,2,3951
53,range_gated_residual_mlp_new,20670,0.9996859978592786,0.9987612900000524,4014,9,4,16643
54,range_gated_residual_mlp_new,19572,0.9998426746256514,0.9989797843460411,3749,6,7,15810
55,range_gated_residual_mlp_new,12556,0.9996880251856397,0.9983612542313123,3278,9,5,9264
56,range_gated_residual_mlp_new,29824,0.99960560598295,0.9980747655197709,6116,20,14,23674
57,range_gated_residual_mlp_new,9578,0.9996234550446479,0.9966033488271652,7643,24,7,1904
58,range_gated_residual_mlp_new,10944,0.999995622621661,0.9992386863592662,9042,9,1,1892
59,range_gated_residual_mlp_new,11577,0.9996861881546701,0.9958254747257305,10874,74,1,628
60,range_gated_residual_mlp_new,8070,0.999680952763543,0.9930246260219118,7722,15,4,329
61,range_gated_residual_mlp_new,9080,0.9996264789622885,0.997742979261488,8672,17,1,390
62,range_gated_residual_mlp_new,9796,0.9997347121615013,0.9977606936548689,9327,21,1,447
63,range_gated_residual_mlp_new,12153,0.9999091022017307,0.9978657705930434,10964,47,0,1142
65,range_gated_residual_mlp_new,9742,0.9998529153065812,0.9990324661363148,9284,18,0,440
