method,n,roc_auc,roc_auc_ci95,average_precision,balanced_accuracy,balanced_accuracy_ci95,tn,fp,fn,tp
gradient_boosted_trees,248783,0.9998618326318275,"[0.9998127657697026, 0.9999001530042556]",0.9997091085408083,0.998203676406684,"[0.9975494671151096, 0.9984991145207864]",130726,325,131,117601
mlp,248783,0.9996946046626661,"[0.9996231120390753, 0.9997742301196793]",0.999429778772812,0.9976994160997517,"[0.9969559840552025, 0.9981515538951513]",130625,426,159,117573
range_gated_residual_mlp_new,248783,0.9996926943510427,"[0.9996256593231827, 0.9997604956221113]",0.9989607025987753,0.9981626248637627,"[0.9977559908620662, 0.9984841461803116]",130644,407,67,117665
ridge,248783,0.9992461954666272,"[0.9990944952235349, 0.9993805116802891]",0.9978502189054923,0.9967174861759256,"[0.9962853386401659, 0.9972125439300296]",130263,788,65,117667
multitask_waveform_transformer,248783,0.9988201697251511,"[0.9986011143000789, 0.9990288156947484]",0.9986385010239932,0.9828769581235657,"[0.9793862715225967, 0.9864057723093101]",126799,4252,212,117520
traditional_dedx_likelihood,248783,0.9968660277793356,"[0.996262234282465, 0.9974894713538052]",0.993440023616448,0.9924338993867057,"[0.9911717413906593, 0.9934254173576075]",129669,1382,540,117192
1d_cnn,248783,0.9957119142175594,"[0.9944470469049521, 0.9962845042198907]",0.991700514154651,0.983516779358188,"[0.979454378654206, 0.9855829025607773]",128052,2999,1187,116545
