run,method,n,bias_frac,res68_frac,mae_mev
44,old_power_law,1911,0.2152128853931045,1.1581619424797711,3.523530972678978
44,geant4_birks_lookup,1911,-0.016009789425381036,0.043720097229267535,0.23960479949869123
44,ridge,1911,-0.02255031837199888,0.1347842095887763,0.319865545953329
44,gradient_boosted_trees,1911,-0.0006058685432912987,0.06537929095419028,0.18307870995293862
44,mlp,1911,-0.19341823872351147,0.3170122767496481,0.7071885096992245
44,1d_cnn,1911,0.010020105590499774,0.14493999936873686,0.330304461365715
44,range_gated_residual_mlp_new,1911,-0.004236576504624184,0.07658014883315177,0.19364784558390005
44,multitask_waveform_transformer,1911,-0.0009433773017671823,0.16382962957009242,0.3669735738296015
45,old_power_law,22999,0.779389557462204,1.1200860291555226,3.657610805999901
45,geant4_birks_lookup,22999,-0.01655946839131519,0.044818428598510554,0.25064710285958824
45,ridge,22999,-0.027125776742031572,0.12576074413655494,0.31482716063629584
45,gradient_boosted_trees,22999,-0.003991842762292958,0.06872577049374848,0.1924576398713751
45,mlp,22999,-0.17781467663496223,0.31407516709173705,0.697153571152717
45,1d_cnn,22999,0.010876730685910769,0.13177586849265582,0.32091921711110444
45,range_gated_residual_mlp_new,22999,-0.0063821950163207445,0.06924496270259682,0.19026174745221
45,multitask_waveform_transformer,22999,-0.00784568089827889,0.15373682307178776,0.3620836391381583
46,old_power_law,676,0.7487935318459602,1.139683703122283,3.6789477182402535
46,geant4_birks_lookup,676,-0.011277044337228901,0.034423437526879985,0.1734294092886037
46,ridge,676,-0.06735241949334853,0.11855567247128225,0.2653703268682137
46,gradient_boosted_trees,676,0.011243807848274244,0.05675994191248424,0.16097128826795404
46,mlp,676,-0.24982586883840802,0.32596532673833045,0.7210659009883457
46,1d_cnn,676,-0.028084461703519935,0.11576713387656414,0.2521519358814161
46,range_gated_residual_mlp_new,676,-0.02198959721924437,0.06479315198428229,0.15864505306329899
46,multitask_waveform_transformer,676,-0.012010303102712989,0.1530995968071056,0.3169882309336099
47,old_power_law,5160,0.8041631502584254,1.1302906927217788,3.7627322029214016
47,geant4_birks_lookup,5160,-0.012257825296585482,0.03679790856911238,0.1836798646484455
47,ridge,5160,-0.06267639627992604,0.11590099292501484,0.27188351456985477
47,gradient_boosted_trees,5160,0.006286755263968842,0.05641163069778808,0.16489412144345555
47,mlp,5160,-0.24890430607759795,0.32436247204624075,0.7255896585847338
47,1d_cnn,5160,-0.028858550213800793,0.11139059851764399,0.2656630600429292
47,range_gated_residual_mlp_new,5160,-0.02346569786741802,0.06059230374406605,0.16344929277129597
47,multitask_waveform_transformer,5160,-0.01443199743640956,0.14121395950929905,0.3323604161074782
48,old_power_law,13175,-0.8072727272727273,1.1104046448754392,3.4130857529186422
48,geant4_birks_lookup,13175,-0.014263155213692615,0.04251079070801538,0.24348460721526186
48,ridge,13175,-0.017637897883211146,0.13573239238533638,0.309029246689282
48,gradient_boosted_trees,13175,0.00700582578713409,0.068481923129432,0.1713971481296632
48,mlp,13175,-0.19286131797877865,0.3164877154183542,0.6728365330255069
48,1d_cnn,13175,0.009475178122742914,0.15070432088800986,0.3233028092327787
48,range_gated_residual_mlp_new,13175,-0.0019979367971249356,0.07653007871001234,0.18434328401851335
48,multitask_waveform_transformer,13175,-0.0037633027129398457,0.1714219155372289,0.3427360220518769
49,old_power_law,13921,-0.75,1.1268860773714633,3.4384014465770005
49,geant4_birks_lookup,13921,-0.014635480782382769,0.04269980869586889,0.24283104873151748
49,ridge,13921,-0.017901443070926813,0.1348638830676971,0.3091922931873284
49,gradient_boosted_trees,13921,0.0042454179780348445,0.06664675252019574,0.1711987926416151
49,mlp,13921,-0.19671239531252407,0.3175603385320284,0.6748265928979525
49,1d_cnn,13921,0.0072991824847017835,0.1492264042020471,0.31345978850857076
49,range_gated_residual_mlp_new,13921,-0.0027035264157231212,0.07825726271193849,0.18448280861650765
49,multitask_waveform_transformer,13921,-0.003624522878955706,0.17473138625081971,0.343546238914621
50,old_power_law,34254,0.9686887006504055,1.1107485813824243,4.610435480419815
50,geant4_birks_lookup,34254,-0.03069884972600898,0.04193546067759409,0.19671195173995726
50,ridge,34254,-0.04711072173990985,0.0813232311165875,0.28023896352414557
50,gradient_boosted_trees,34254,-0.02466839814799735,0.04827353310905157,0.21935173328063184
50,mlp,34254,-0.13676946811941032,0.2879476146135025,0.7921020501547102
50,1d_cnn,34254,0.01994157260085852,0.07175051984997971,0.2839209723203806
50,range_gated_residual_mlp_new,34254,-0.018529614182540892,0.03930416647383125,0.1574267320334613
50,multitask_waveform_transformer,34254,-0.00757977686415667,0.08819239623023323,0.3697558199125552
51,old_power_law,14294,0.9727840928777618,1.128838650378899,4.507909774510455
51,geant4_birks_lookup,14294,-0.028748818406576837,0.041782127637339926,0.20326361808054733
51,ridge,14294,-0.043430526672846956,0.0876600647199352,0.2881466825700264
51,gradient_boosted_trees,14294,-0.02232933921467698,0.04901384214424726,0.20451258950853055
51,mlp,14294,-0.13988264252276897,0.2931912981255846,0.7814071807208848
51,1d_cnn,14294,0.021260039015930203,0.07508251099217053,0.28730832376377874
51,range_gated_residual_mlp_new,14294,-0.0158956424125493,0.04068366125350913,0.15865145239823553
51,multitask_waveform_transformer,14294,-0.0025967877676847696,0.09094965135989684,0.35527081819693335
52,old_power_law,6933,0.9732350031915072,1.1231107865323051,4.517319183459366
52,geant4_birks_lookup,6933,-0.029463284063846986,0.04211362910590771,0.20714928587190792
52,ridge,6933,-0.04304658954983856,0.08614622416449971,0.2839376386307638
52,gradient_boosted_trees,6933,-0.022854093132465503,0.048754816366279596,0.20914703742893465
52,mlp,6933,-0.138551692426031,0.2898168610664425,0.7769289305749397
52,1d_cnn,6933,0.021799838491356166,0.07645669224540676,0.2913942784250694
52,range_gated_residual_mlp_new,6933,-0.01611305436208988,0.04116232748119956,0.16121404588903096
52,multitask_waveform_transformer,6933,-0.0022120228560615247,0.09063082870007219,0.3637001321934231
53,old_power_law,31382,1.0710944529178223,1.2225420019127273,4.820973727055107
53,geant4_birks_lookup,31382,-0.03134133085008159,0.038842741259001314,0.16714514009278103
53,ridge,31382,-0.044628919989842496,0.08031941451459249,0.27139967354129907
53,gradient_boosted_trees,31382,-0.021384602120898995,0.0339696061813327,0.1578959451898399
53,mlp,31382,-0.20327684698669396,0.3115335753143532,0.8562805453266499
53,1d_cnn,31382,0.01147822219389423,0.07421107512578785,0.2863556974446977
53,range_gated_residual_mlp_new,31382,-0.015494399542459288,0.03538501766141113,0.14150033842266682
53,multitask_waveform_transformer,31382,0.028346813009044465,0.07823677093869927,0.30944058032528876
54,old_power_law,29664,1.0735645545524315,1.2204887870060497,4.834366878252219
54,geant4_birks_lookup,29664,-0.031314246048771574,0.03864883259994566,0.16698792700368842
54,ridge,29664,-0.04428865621229969,0.07997932887586798,0.27018217851561477
54,gradient_boosted_trees,29664,-0.02140008276745111,0.03356324751047604,0.15712055983294562
54,mlp,29664,-0.20211010582579678,0.3111681659832146,0.854055623171101
54,1d_cnn,29664,0.011411620721943037,0.0748570865369517,0.2898304334366041
54,range_gated_residual_mlp_new,29664,-0.015356124993589971,0.03498866444296346,0.14046359455751456
54,multitask_waveform_transformer,29664,0.028937376033958788,0.07841310001857604,0.31135977079896965
55,old_power_law,16836,0.9868115551565722,1.1354568842050006,4.512702710978739
55,geant4_birks_lookup,16836,-0.028356073050092884,0.041055088816826193,0.1964131387806894
55,ridge,16836,-0.04454755803079358,0.08682185670476313,0.2845747271575991
55,gradient_boosted_trees,16836,-0.021771898311417823,0.04473913182012479,0.19631401268177595
55,mlp,16836,-0.14357882456383222,0.30014337248868,0.7867264326553836
55,1d_cnn,16836,0.021039768543328317,0.07637246451489565,0.28917867644365874
55,range_gated_residual_mlp_new,16836,-0.016418678530161608,0.040763354589622026,0.15784625601148564
55,multitask_waveform_transformer,16836,0.0019958939849641748,0.08778683689181954,0.34648870886801536
56,old_power_law,38925,0.9676829728609202,1.1100725725657992,4.574052187505835
56,geant4_birks_lookup,38925,-0.028246499086718203,0.041110767849961614,0.19392602113651725
56,ridge,38925,-0.04993294515315589,0.08480693963310129,0.2890279032429239
56,gradient_boosted_trees,38925,-0.023485081764248447,0.0485882008744618,0.21849666803789666
56,mlp,38925,-0.13909901904524338,0.2953470784210169,0.8017405034011331
56,1d_cnn,38925,0.018140838734318328,0.07191449926464447,0.2850197896591455
56,range_gated_residual_mlp_new,38925,-0.02063450218812636,0.04100816885612488,0.16331816074690908
56,multitask_waveform_transformer,38925,-0.011397829502250744,0.09105286193397465,0.37468151687335505
57,old_power_law,12928,-0.8137063957941888,1.1190179918343965,3.4004067235383775
57,geant4_birks_lookup,12928,-0.0146129034071722,0.04213007255043368,0.23755982936385805
57,ridge,12928,-0.014088521815311904,0.13675796139297033,0.3075056469412105
57,gradient_boosted_trees,12928,0.005956242413167025,0.06888904342180775,0.17209326173769168
