heldout_run,model,alpha,cv_closure_score_ns
58,ridge,0.01,2.37374469133379
58,ridge,0.1,2.3736321838808347
58,ridge,1.0,2.372041781468948
58,ridge,10.0,2.3717759885142886
58,ridge,100.0,2.3224030846730894
59,ridge,0.01,2.3444217635979663
59,ridge,0.1,2.344300748083963
59,ridge,1.0,2.3430134307820456
59,ridge,10.0,2.3321956920597677
59,ridge,100.0,2.26801998913562
60,ridge,0.01,2.2199678549411397
60,ridge,0.1,2.2206525525838487
60,ridge,1.0,2.2201915736456876
60,ridge,10.0,2.21530607659724
60,ridge,100.0,2.161176388270151
61,ridge,0.01,2.4092969099201116
61,ridge,0.1,2.409094246292121
61,ridge,1.0,2.4081221671938473
61,ridge,10.0,2.402364722795289
61,ridge,100.0,2.3424647996734977
62,ridge,0.01,2.3089788921080903
62,ridge,0.1,2.3088824905982417
62,ridge,1.0,2.309966611945443
62,ridge,10.0,2.296581353666054
62,ridge,100.0,2.2364044953998876
63,ridge,0.01,2.26904832564304
63,ridge,0.1,2.2690270515617117
63,ridge,1.0,2.2698321063445346
63,ridge,10.0,2.264009754643297
63,ridge,100.0,2.218551345834109
65,ridge,0.01,2.3518873084135166
65,ridge,0.1,2.3517623105276626
65,ridge,1.0,2.3500897609646247
65,ridge,10.0,2.3508232682461814
65,ridge,100.0,2.3006950679094804
