method,run,group,n_events,coverage,accepted_secondary_fraction_mean,accepted_secondary_contribution,bad_proxy_contribution,mean_probability
traditional_template_fit,44,high_20nA,293,0.447098976109215,0.5368128988746135,0.24000849744905928,0.0034129692832764505,0.4337261369455739
ridge_linear,44,high_20nA,293,0.07167235494880546,0.47903015835415247,0.034333219540741304,0.0,0.2183134608415944
gradient_boosted_trees,44,high_20nA,293,1.0,0.09030190709604004,0.09030190709604004,0.020477815699658702,0.2415676098790191
mlp,44,high_20nA,293,0.9215017064846417,0.09491335916379157,0.08746282243762364,0.020477815699658702,0.10893030412971262
cnn_1d_dual_head,44,high_20nA,293,0.0,,0.0,0.0,0.28312909603118896
consensus_abstention_ensemble,44,high_20nA,293,0.017064846416382253,0.22172804348418973,0.0037837550082626234,0.0,0.21120899888498
traditional_template_fit,45,high_20nA,360,0.41388888888888886,0.5302967266720389,0.219483922983705,0.005555555555555556,0.39871238883614174
ridge_linear,45,high_20nA,360,0.008333333333333333,0.6033371674425236,0.005027809728687697,0.0,0.20710889856977954
gradient_boosted_trees,45,high_20nA,360,0.03888888888888889,0.23943423357642413,0.009311331305749826,0.008333333333333333,0.27198096576350617
mlp,45,high_20nA,360,0.058333333333333334,0.2763004685638458,0.016117527332891006,0.013888888888888888,0.15709535685968032
cnn_1d_dual_head,45,high_20nA,360,0.0,,0.0,0.0,0.31676164269447327
consensus_abstention_ensemble,45,high_20nA,360,0.06944444444444445,0.15204797039081147,0.01055888683269524,0.011111111111111112,0.2486126517531253
traditional_template_fit,46,low_2nA,173,0.5260115606936416,0.5246093401013323,0.2759505777411632,0.0,0.5094024674352104
ridge_linear,46,low_2nA,173,0.03468208092485549,0.3655235266471437,0.01267711653111481,0.0,0.16686477792196538
gradient_boosted_trees,46,low_2nA,173,1.0,0.05691097434767319,0.05691097434767319,0.0,0.19341804404654536
mlp,46,low_2nA,173,0.9595375722543352,0.10384278710578163,0.0996410558356055,0.0,0.1027395577812823
cnn_1d_dual_head,46,low_2nA,173,0.0,,0.0,0.0,0.38804304599761963
consensus_abstention_ensemble,46,low_2nA,173,0.028901734104046242,0.1815256265707484,0.005246405392218162,0.0,0.22806687330602346
traditional_template_fit,47,low_2nA,321,0.4517133956386293,0.5215575125699725,0.23559451502381937,0.0,0.43765736530606636
ridge_linear,47,low_2nA,321,0.012461059190031152,0.33656236378662113,0.004193923536281882,0.003115264797507788,0.23160425197886125
gradient_boosted_trees,47,low_2nA,321,0.012461059190031152,0.2767731339972369,0.0034488864049499928,0.003115264797507788,0.2409591364345611
