secondary_amplitude_sideband,delay_cell,baseline_state,saturation_support,method,n_events,n_accepted,coverage,bad_recovery_rate,recovered_time_rms_ns,charge_fractional_bias_proxy,charge_fractional_res68_proxy,sideband_calibration_ece,fixed_risk_support_fraction,risk_coverage_score
sec_high_ge0p70,delay_close_1p5_3,s16_large_lowering,sat_high_amp_large_lowering,traditional_template_fit,147,146,0.9931972789115646,0.03424657534246575,2.0943134302263755,0.0112222305009827,0.0,0.047892153500185636,0.989010989010989,0.9591836734693877
sec_high_ge0p70,delay_close_1p5_3,s16_mild_lowering,unsat_nominal,traditional_template_fit,418,418,1.0,0.0,2.087612710783554,0.012782043468989812,0.0,0.0,,1.0
sec_high_ge0p70,delay_close_1p5_3,s16_no_lowering,sat_high_amp_no_large_lowering,traditional_template_fit,190,190,1.0,0.0,1.9004047360321235,-0.0034167008309078373,0.0,0.0,,1.0
sec_high_ge0p70,delay_close_1p5_3,s16_no_lowering,unsat_nominal,traditional_template_fit,862,862,1.0,0.0,2.132235402635,0.0008739484782819273,0.0,0.0,,1.0
sec_high_ge0p70,delay_fit_unavailable,s16_large_lowering,unsat_large_lowering,mlp,220,121,0.55,0.0,14.717633805616886,-0.1440312380102723,0.13994593553249912,0.6913361734138648,,0.55
sec_high_ge0p70,delay_fit_unavailable,s16_large_lowering,unsat_large_lowering,ridge_linear,113,64,0.5663716814159292,0.0,16.524026918408055,-0.07445492705873885,0.0996919259603335,0.3124081322042728,,0.5663716814159292
sec_low_0p12_0p35,delay_close_1p5_3,s16_large_lowering,sat_high_amp_large_lowering,consensus_abstention_ensemble,166,4,0.024096385542168676,0.0,2.0762810877476268,0.005687282114366174,0.0249677607909409,0.7955801782252295,0.010869565217391304,0.024096385542168676
sec_low_0p12_0p35,delay_close_1p5_3,s16_large_lowering,sat_high_amp_large_lowering,ridge_linear,82,0,0.0,,,0.0,,0.7661457463600133,0.0,
sec_low_0p12_0p35,delay_close_1p5_3,s16_mild_lowering,unsat_nominal,cnn_1d_dual_head,167,0,0.0,,,,,0.625391339381298,0.0,
sec_low_0p12_0p35,delay_close_1p5_3,s16_mild_lowering,unsat_nominal,consensus_abstention_ensemble,397,1,0.0025188916876574307,0.0,2.06950359914034,0.0006758922727968448,0.0,0.8211925229219141,,0.0025188916876574307
sec_low_0p12_0p35,delay_close_1p5_3,s16_mild_lowering,unsat_nominal,gradient_boosted_trees,96,52,0.5416666666666666,0.0,2.0817762400313513,0.03130983071850539,0.0379981252923943,0.6037273476029211,,0.5416666666666666
