method,base_method,fold,heldout_runs,sigma68_ns,n_pair_residuals,selector
s02c_template_timewalk,template_phase,0,58 61,2.136501171234445,3018,median_first4
s02c_template_timewalk,template_phase,1,60 63,1.5224610797242768,3534,median_first4
s02c_template_timewalk,template_phase,2,59 62,1.5806733458795863,4710,median_first4
s02c_template_timewalk,template_phase,0,58 61,2.2911779683620535,3495,dynamic_range
s02c_template_timewalk,template_phase,1,60 63,1.7090811814428901,4188,dynamic_range
s02c_template_timewalk,template_phase,2,59 62,1.810228444872588,5523,dynamic_range
