n,pred_mean_ns,target_mean_ns,selector
29,-4.354802498574984,-4.744123107315584,median_first4
28,-3.865810520514161,-4.165613255098828,median_first4
28,-0.13963036114483168,0.12607454133263854,median_first4
28,1.7428259784128142,2.169869038756077,median_first4
28,2.183035337879034,1.986264239033463,median_first4
28,2.5069392731380513,2.141118044775483,median_first4
29,3.067025981876034,2.564262657440842,median_first4
39,-4.623949457539928,-4.932891998629075,dynamic_range
38,-4.285564806319848,-4.514875804297094,dynamic_range
39,-0.07176423342789719,0.5646202242795204,dynamic_range
38,2.0102760853296116,2.118840012384618,dynamic_range
39,2.313904601834905,1.983159183531978,dynamic_range
38,2.5670248420668167,2.3697200024387945,dynamic_range
39,3.34224637762455,2.4107536164586123,dynamic_range
