alpha,fold,sigma68_ns,n_pair_residuals,selector
0.01,0,1.9948488399171669,3018,median_first4
0.01,1,1.3960708104854946,3534,median_first4
0.01,2,1.4847632385444192,4710,median_first4
0.01,-1,1.625227629649027,0,median_first4
0.1,0,1.9945941697703429,3018,median_first4
0.1,1,1.3960516379977832,3534,median_first4
0.1,2,1.4846033884061876,4710,median_first4
0.1,-1,1.625083065391438,0,median_first4
1.0,0,1.9922194051896955,3018,median_first4
1.0,1,1.3923105257549202,3534,median_first4
1.0,2,1.4851848861741306,4710,median_first4
1.0,-1,1.6232382723729153,0,median_first4
10.0,0,1.9829611083917782,3018,median_first4
10.0,1,1.3724500077330601,3534,median_first4
10.0,2,1.4740626359930944,4710,median_first4
10.0,-1,1.6098245840393108,0,median_first4
100.0,0,1.938312214600422,3018,median_first4
100.0,1,1.3248694982025044,3534,median_first4
100.0,2,1.4386884563267448,4710,median_first4
100.0,-1,1.5672900563765573,0,median_first4
0.01,0,2.085435500789603,3495,dynamic_range
0.01,1,1.3642677278062416,4188,dynamic_range
0.01,2,1.4477683645996797,5523,dynamic_range
0.01,-1,1.6324905310651747,0,dynamic_range
0.1,0,2.0751157743232116,3495,dynamic_range
0.1,1,1.3508841167336652,4188,dynamic_range
0.1,2,1.447655426183385,5523,dynamic_range
0.1,-1,1.6245517724134206,0,dynamic_range
1.0,0,2.087940339277071,3495,dynamic_range
1.0,1,1.340893972650393,4188,dynamic_range
1.0,2,1.4437983264406458,5523,dynamic_range
1.0,-1,1.6242108794560366,0,dynamic_range
10.0,0,2.0860237029716946,3495,dynamic_range
10.0,1,1.346450520749214,4188,dynamic_range
10.0,2,1.442751673346545,5523,dynamic_range
10.0,-1,1.6250752990224846,0,dynamic_range
100.0,0,2.0560407019975955,3495,dynamic_range
100.0,1,1.340236365515471,4188,dynamic_range
100.0,2,1.3948955298174437,5523,dynamic_range
100.0,-1,1.5970575324435032,0,dynamic_range
