stave,bin,n_train_pulses,amp_low_adc,amp_high_adc,seed_cfd20_median_samples,seed_iqr_samples,aligned_cfd20_sigma68_samples,selector
B4,0,939,,1942.625,3.800443458980044,3.370105389079603,0.06850612164387349,median_first4
B4,1,938,1942.625,2373.0,5.008714403580268,2.1187278073899396,0.004915507627466979,median_first4
B4,2,935,2373.0,2711.5,5.0620408163265305,1.350088684368981,0.012371789911285304,median_first4
B4,3,942,2711.5,,4.957420306763202,1.3194280737246906,0.022693262269567773,median_first4
B6,0,939,,2050.875,5.334426229508197,3.5685280397551815,0.05575862642472829,median_first4
B6,1,937,2050.875,2471.5,5.368599717114568,2.45316720379628,0.0593658779847938,median_first4
B6,2,937,2471.5,2823.5,5.426491405460061,1.786730814920408,0.0685273804405922,median_first4
B6,3,941,2823.5,,5.344501718213058,1.6363588275391958,0.06741279366540773,median_first4
B8,0,937,,2808.5,5.2684713375796175,3.4574169858254034,0.04477006923591677,median_first4
B8,1,939,2808.5,3347.0,5.391354945968413,2.1653118267729554,0.07232241650111658,median_first4
B8,2,938,3347.0,4111.5,5.384511500348961,1.601005122991693,0.08258642700948743,median_first4
B8,3,940,4111.5,,5.21341262628233,1.742496725747697,0.0644094146416003,median_first4
B4,0,1101,,1639.375,1.6829525483304044,0.3760313501959387,0.8477095096681514,dynamic_range
B4,1,1100,1639.375,2239.0,4.893416715144464,2.836809778979219,0.04171749612983301,dynamic_range
B4,2,1100,2239.0,2653.25,5.0375991774124165,1.5672716303688041,0.008452067321093111,dynamic_range
B4,3,1101,2653.25,,4.997556719022688,1.2575389813394429,0.009548864254340206,dynamic_range
B6,0,1101,,1788.625,1.7744262295081967,3.5722846942018114,0.8865253145185368,dynamic_range
B6,1,1100,1788.625,2339.25,5.372382756132756,2.8508567682363735,0.05812654949622954,dynamic_range
B6,2,1100,2339.25,2765.875,5.394698844884488,1.8598335939134198,0.06518922805579984,dynamic_range
B6,3,1101,2765.875,,5.354605887939221,1.6548812472097296,0.06812430777510015,dynamic_range
B8,0,1101,,2366.25,1.6992323796231683,3.0959533881395167,0.8502094549007442,dynamic_range
B8,1,1100,2366.25,3163.75,5.371187230371009,2.544037332895865,0.06239551164617623,dynamic_range
B8,2,1100,3163.75,3950.125,5.388154745466261,1.732883576245876,0.08027966934623101,dynamic_range
B8,3,1101,3950.125,,5.222950819672131,1.6981249180705031,0.06541279114390264,dynamic_range
