method,base_method,n,pred_mean_ns,target_mean_ns,selector
s02c_template_timewalk,template_phase,33,-4.373546846564455,-4.586338363323943,median_first4
s02c_template_timewalk,template_phase,33,-3.6118038529893672,-4.260580787566357,median_first4
s02c_template_timewalk,template_phase,33,1.4488566838811252,1.9346373122062523,median_first4
s02c_template_timewalk,template_phase,33,2.232630276481243,2.2913997075695915,median_first4
s02c_template_timewalk,template_phase,33,2.5729216920203775,2.495213371141221,median_first4
s02c_template_timewalk,template_phase,33,2.918480539224521,2.12566875997323,median_first4
s02c_template_timewalk,template_phase,45,-5.360911144294508,-4.93972960546668,dynamic_range
s02c_template_timewalk,template_phase,45,-3.901909686560083,-4.395285161022239,dynamic_range
s02c_template_timewalk,template_phase,45,1.1514005674357104,1.834798201208485,dynamic_range
s02c_template_timewalk,template_phase,45,2.1918603295808037,2.180062835829167,dynamic_range
s02c_template_timewalk,template_phase,45,2.6971305263330754,2.4456464491776697,dynamic_range
s02c_template_timewalk,template_phase,45,3.5169930673465553,2.874507280273614,dynamic_range
