method,family,n,bias_frac,res68_frac,mae_mev,res68_ci95,bias_ci95,mae_mev_ci95
gradient_boosted_trees,ml_tree,13026,0.004354394197808677,0.04916918662428956,2.6321258587752343,"[0.04708354671209767, 0.05138406223431722]","[-0.011228974752099368, 0.014734009118663485]","[2.5671453788697134, 2.748007725902627]"
mlp,neural_tabular,13026,0.0052621752396634636,0.07249292992738769,3.764840561268374,"[0.06989015627185073, 0.07432645560500245]","[-0.015809416426294638, 0.019041603574163374]","[3.7087441879886645, 3.850714903752639]"
gated_residual_cnn,neural_gated_residual_new,13026,0.004790078519856911,0.0860094025064388,4.545090183996479,"[0.08577777881930387, 0.08619114950067425]","[-0.014644941503818, 0.018220072749313906]","[4.4984180635156195, 4.576771747833955]"
1d_cnn,neural_waveform,13026,-0.01056382762300923,0.2168459201870323,11.013336618772097,"[0.21540052606435628, 0.21858193339825502]","[-0.02228596072024991, -0.003113554306660411]","[10.894127915019212, 11.147790334682924]"
ridge,ml_linear,13026,0.004664747756651965,0.24841200062137933,12.746431738022954,"[0.24592692170478223, 0.2507289855197442]","[-1.1201314217487136e-05, 0.010666779449790338]","[12.54440818474836, 12.887200294022419]"
truth_birks_lookup,traditional_digitized_birks,13026,-0.5100154583634322,0.6659760236012346,33.487855110283576,"[0.6646464998746434, 0.6676847528909715]","[-0.5127446134828824, -0.5053220655948154]","[33.22559287612859, 33.63300358859556]"
