pseudo_run,method,n,bias_frac,res68_frac,mae_mev
8,truth_birks_lookup,4342,-0.5106210417265362,0.6666950645669532,33.22559287612859
9,truth_birks_lookup,4342,-0.5127446134828824,0.6675909754010204,33.63300358859556
10,truth_birks_lookup,4342,-0.5053220655948154,0.6646440317945617,33.6049688661266
8,ridge,4342,0.004182893386896435,0.24590552915952676,12.54440818474836
9,ridge,4342,0.010666779449790338,0.25072037789326057,12.807686735298079
10,ridge,4342,-1.1201314217487136e-05,0.24760609532864908,12.887200294022419
8,gradient_boosted_trees,4342,0.010006202802914902,0.0485673443197638,2.567145378869713
9,gradient_boosted_trees,4342,0.014734009118663485,0.051380975622622616,2.748007725902627
10,gradient_boosted_trees,4342,-0.011228974752099368,0.04707742281887416,2.5812244715533628
8,mlp,4342,0.012807747338445204,0.0725773732093147,3.708744187988664
9,mlp,4342,0.019041603574163374,0.07432422101398624,3.8507149037526394
10,mlp,4342,-0.015809416426294638,0.06989001120745825,3.7350625920638194
8,1d_cnn,4342,-0.004501112358917177,0.21858134519094685,10.894127915019212
9,1d_cnn,4342,-0.003113554306660411,0.2172383968335923,10.998091606614157
10,1d_cnn,4342,-0.02228596072024991,0.21539457465464742,11.147790334682924
8,gated_residual_cnn,4342,0.010720818055737862,0.0861896399970246,4.4984180635156195
9,gated_residual_cnn,4342,0.018220072749313906,0.08577585415311921,4.560080740639862
10,gated_residual_cnn,4342,-0.014644941503818,0.08606085573855683,4.576771747833955
