method,sim_res68_frac,real_s24a_res68_frac,delta_sim_minus_real,interpretation
gradient_boosted_trees,0.04916918662428956,0.0566846321762142,-0.0075154455519246405,matched method
mlp,0.07249292992738769,0.6923472493440915,-0.6198543194167039,matched method
1d_cnn,0.2168459201870323,0.2657039478238139,-0.0488580276367816,matched method
ridge,0.24841200062137933,0.0966729355403716,0.15173906508100773,matched method
truth_birks_lookup,0.6659760236012346,0.0402439783091376,0.625732045292097,matched method
