run,stave,stave_idx,amplitude_adc,baseline_adc,pid_name,true_energy_mev,g4_n_sci_hits,split_name,tail_amplitude_bin,pedestal_history_bin,pulse_shape_bin,energy_bin,particle_family,pileup_flag,saturation_flag
50,B6,2,15515.465,97.295135,deuteron,82.1430592303658,8,run_heldout,tail_low,pedestal_mid,high_harmonic,energy_high,deuteron_other_family,pileup_truth,saturation_truth
50,B4,1,12920.907,244.37555,deuteron,59.088758530215344,2,run_heldout,tail_low,pedestal_mid,mid_harmonic,energy_mid,deuteron_other_family,pileup_truth,linear_truth
50,B4,1,11495.299,-12.100727,proton,54.31162888940517,4,run_heldout,tail_low,pedestal_quiet,high_harmonic,energy_low,proton_family,pileup_truth,linear_truth
50,B6,2,14840.716,-512.0274,deuteron,50.2252114097756,6,run_heldout,tail_mid,pedestal_memory,mid_harmonic,energy_low,deuteron_other_family,pileup_truth,saturation_truth
50,B6,2,17030.658,-654.7233,proton,81.29505823866512,4,run_heldout,tail_low,pedestal_memory,mid_harmonic,energy_high,proton_family,pileup_truth,saturation_truth
50,B2,0,14041.11,-1133.8207,deuteron,83.22108416372551,2,run_heldout,tail_mid,pedestal_memory,low_harmonic,energy_high,deuteron_other_family,pileup_truth,saturation_truth
50,B4,1,12887.149,-24.64746,proton,56.02682762122559,4,run_heldout,tail_high,pedestal_quiet,mid_harmonic,energy_mid,proton_family,pileup_truth,linear_truth
50,B2,0,15811.321,-944.71545,proton,77.32073521242096,4,run_heldout,tail_mid,pedestal_memory,low_harmonic,energy_high,proton_family,pileup_truth,saturation_truth
50,B2,0,20156.176,-3062.4932,deuteron,96.6248255092662,4,run_heldout,tail_mid,pedestal_memory,low_harmonic,energy_high,deuteron_other_family,pileup_truth,saturation_truth
50,B4,1,15660.97,-82.09238,proton,73.6607780959583,10,run_heldout,tail_low,pedestal_mid,low_harmonic,energy_mid,proton_family,pileup_truth,saturation_truth
50,B2,0,24481.957,-3717.478,proton,72.59782818531582,2,run_heldout,tail_mid,pedestal_memory,low_harmonic,energy_mid,proton_family,pileup_truth,saturation_truth
50,B4,1,16022.783,-188.54648,proton,72.82878307304975,4,run_heldout,tail_high,pedestal_mid,high_harmonic,energy_mid,proton_family,pileup_truth,saturation_truth
50,B8,3,14047.053,-30.430878,deuteron,65.12646839974015,2,run_heldout,tail_mid,pedestal_quiet,high_harmonic,energy_mid,deuteron_other_family,pileup_truth,saturation_truth
50,B6,2,14519.216,-31.677265,deuteron,82.52424341020225,6,run_heldout,tail_mid,pedestal_quiet,mid_harmonic,energy_high,deuteron_other_family,pileup_truth,saturation_truth
