stave,n_train_pulses,template_cfd20_sample,template_peak_sample,template_area
B2,800,2.5988950571364153,5,9.148867845943691
B4,784,2.9816663213532775,6,10.779749053922693
B6,751,3.7465315436038376,6,9.73904232302409
B8,482,4.235945760632272,8,9.253231215942495
