stave,n_train_pulses,template_cfd20_sample,template_peak_sample,template_area
B2,768,2.5792499800488105,5,9.186716600632877
B4,756,2.9438345065343214,6,10.762123460243638
B6,723,3.748121604997282,6,9.735769202484747
B8,478,4.259772433962781,8,9.252383659487151
