run,eventno,evt,stave,channel,amplitude_adc,peak_sample,source_index,injection_rep,dropout_sample,regime,truth_time_samples
31,394946,8214,B2,0,8252.5,7,0,0,7,leading_edge_destroyed,4.097841739654541
31,394946,8214,B2,0,8252.5,7,0,1,10,leading_edge_preserved,4.097841739654541
31,413638,9287,B2,0,4609.5,5,1,0,5,leading_edge_destroyed,3.4919185638427734
31,413638,9287,B2,0,4609.5,5,1,1,12,leading_edge_preserved,3.4919185638427734
31,425353,3792,B2,0,1184.5,9,2,0,8,leading_edge_destroyed,5.0008368492126465
31,425353,3792,B2,0,1184.5,9,2,1,15,leading_edge_preserved,5.0008368492126465
31,401164,14042,B2,0,8131.0,6,3,0,5,leading_edge_destroyed,4.085704326629639
31,401164,14042,B2,0,8131.0,6,3,1,16,leading_edge_preserved,4.085704326629639
31,416490,11926,B2,0,7752.0,5,4,0,3,leading_edge_destroyed,3.2976601123809814
31,416490,11926,B2,0,7752.0,5,4,1,14,leading_edge_preserved,3.2976601123809814
31,394512,7816,B8,6,2833.0,9,5,0,8,leading_edge_destroyed,4.6817708015441895
31,394512,7816,B8,6,2833.0,9,5,1,14,leading_edge_preserved,4.6817708015441895
31,424710,3199,B2,0,4720.0,7,6,0,7,leading_edge_destroyed,5.023576736450195
31,424710,3199,B2,0,4720.0,7,6,1,12,leading_edge_preserved,5.023576736450195
31,417008,12408,B2,0,7921.0,6,7,0,5,leading_edge_destroyed,4.111565113067627
31,417008,12408,B2,0,7921.0,6,7,1,10,leading_edge_preserved,4.111565113067627
31,407981,4015,B2,0,4229.0,6,8,0,4,leading_edge_destroyed,3.555729627609253
31,407981,4015,B2,0,4229.0,6,8,1,10,leading_edge_preserved,3.555729627609253
31,400671,13573,B2,0,9607.5,5,9,0,3,leading_edge_destroyed,3.315248966217041
31,400671,13573,B2,0,9607.5,5,9,1,11,leading_edge_preserved,3.315248966217041
31,399718,12674,B2,0,6122.5,5,10,0,5,leading_edge_destroyed,3.3754940032958984
31,399718,12674,B2,0,6122.5,5,10,1,12,leading_edge_preserved,3.3754940032958984
31,406060,2205,B2,0,6827.0,5,11,0,3,leading_edge_destroyed,3.3943769931793213
31,406060,2205,B2,0,6827.0,5,11,1,16,leading_edge_preserved,3.3943769931793213
31,413531,9185,B2,0,8233.5,6,12,0,4,leading_edge_destroyed,3.591033697128296
31,413531,9185,B2,0,8233.5,6,12,1,8,leading_edge_preserved,3.591033697128296
31,426833,5169,B4,2,2334.0,12,13,0,11,leading_edge_destroyed,9.439571380615234
31,426833,5169,B4,2,2334.0,12,13,1,16,leading_edge_preserved,9.439571380615234
31,402410,15209,B2,0,6591.5,6,14,0,4,leading_edge_destroyed,4.162863254547119
31,402410,15209,B2,0,6591.5,6,14,1,14,leading_edge_preserved,4.162863254547119
31,399784,12735,B2,0,8133.0,6,15,0,6,leading_edge_destroyed,4.170863628387451
31,399784,12735,B2,0,8133.0,6,15,1,14,leading_edge_preserved,4.170863628387451
31,419093,14348,B2,0,7002.5,7,16,0,7,leading_edge_destroyed,4.478453159332275
31,419093,14348,B2,0,7002.5,7,16,1,11,leading_edge_preserved,4.478453159332275
31,419697,14903,B2,0,8536.0,6,17,0,5,leading_edge_destroyed,3.161581516265869
31,419697,14903,B2,0,8536.0,6,17,1,11,leading_edge_preserved,3.161581516265869
31,421210,16324,B2,0,3366.0,6,18,0,4,leading_edge_destroyed,3.953979730606079
31,421210,16324,B2,0,3366.0,6,18,1,10,leading_edge_preserved,3.953979730606079
31,398978,11984,B2,0,5462.5,7,19,0,6,leading_edge_destroyed,4.553435325622559
31,398978,11984,B2,0,5462.5,7,19,1,15,leading_edge_preserved,4.553435325622559
31,425243,3691,B2,0,8037.0,6,20,0,4,leading_edge_destroyed,3.9706344604492188
31,425243,3691,B2,0,8037.0,6,20,1,15,leading_edge_preserved,3.9706344604492188
31,425956,4356,B2,0,3535.5,6,21,0,6,leading_edge_destroyed,3.9170212745666504
31,425956,4356,B2,0,3535.5,6,21,1,9,leading_edge_preserved,3.9170212745666504
31,429607,7743,B2,0,4366.5,5,22,0,3,leading_edge_destroyed,3.3570353984832764
31,429607,7743,B2,0,4366.5,5,22,1,8,leading_edge_preserved,3.3570353984832764
31,406662,2761,B2,0,5737.0,6,23,0,6,leading_edge_destroyed,4.017502784729004
31,406662,2761,B2,0,5737.0,6,23,1,11,leading_edge_preserved,4.017502784729004
31,427983,6239,B2,0,6699.0,5,24,0,4,leading_edge_destroyed,3.353926420211792
31,427983,6239,B2,0,6699.0,5,24,1,9,leading_edge_preserved,3.353926420211792
31,399023,12026,B2,0,1584.0,0,25,0,1,leading_edge_destroyed,0.0
31,399023,12026,B2,0,1584.0,0,25,1,14,leading_edge_preserved,0.0
31,420128,15328,B2,0,7083.0,6,26,0,5,leading_edge_destroyed,4.096889495849609
31,420128,15328,B2,0,7083.0,6,26,1,13,leading_edge_preserved,4.096889495849609
31,395546,8767,B2,0,1403.0,7,27,0,6,leading_edge_destroyed,4.246494293212891
31,395546,8767,B2,0,1403.0,7,27,1,15,leading_edge_preserved,4.246494293212891
31,407113,3175,B2,0,6789.0,6,28,0,4,leading_edge_destroyed,3.4892449378967285
31,407113,3175,B2,0,6789.0,6,28,1,14,leading_edge_preserved,3.4892449378967285
31,402062,14879,B2,0,6500.5,6,29,0,5,leading_edge_destroyed,4.011902809143066
31,402062,14879,B2,0,6500.5,6,29,1,12,leading_edge_preserved,4.011902809143066
31,409329,5263,B2,0,3269.0,6,30,0,4,leading_edge_destroyed,3.365678548812866
31,409329,5263,B2,0,3269.0,6,30,1,16,leading_edge_preserved,3.365678548812866
31,421775,475,B2,0,2777.5,7,31,0,7,leading_edge_destroyed,4.196542263031006
31,421775,475,B2,0,2777.5,7,31,1,9,leading_edge_preserved,4.196542263031006
31,396910,10053,B2,0,1424.0,7,32,0,7,leading_edge_destroyed,3.9249191284179688
31,396910,10053,B2,0,1424.0,7,32,1,9,leading_edge_preserved,3.9249191284179688
31,410438,6302,B2,0,3878.5,5,33,0,4,leading_edge_destroyed,2.823491334915161
31,410438,6302,B2,0,3878.5,5,33,1,8,leading_edge_preserved,2.823491334915161
31,429644,7779,B2,0,6260.5,6,34,0,5,leading_edge_destroyed,4.042702674865723
31,429644,7779,B2,0,6260.5,6,34,1,13,leading_edge_preserved,4.042702674865723
31,404329,608,B2,0,9378.0,6,35,0,6,leading_edge_destroyed,4.136364936828613
31,404329,608,B2,0,9378.0,6,35,1,11,leading_edge_preserved,4.136364936828613
31,391442,4961,B2,0,4400.5,6,36,0,4,leading_edge_destroyed,4.05241584777832
31,391442,4961,B2,0,4400.5,6,36,1,9,leading_edge_preserved,4.05241584777832
31,391443,4962,B2,0,9038.0,5,37,0,4,leading_edge_destroyed,3.30104660987854
31,391443,4962,B2,0,9038.0,5,37,1,10,leading_edge_preserved,3.30104660987854
31,398996,12000,B2,0,7104.5,6,38,0,4,leading_edge_destroyed,3.719731330871582
31,398996,12000,B2,0,7104.5,6,38,1,8,leading_edge_preserved,3.719731330871582
31,428400,6618,B2,0,6311.5,15,39,0,14,leading_edge_destroyed,13.199270248413086
31,428400,6618,B2,0,6311.5,15,39,1,16,leading_edge_preserved,13.199270248413086
31,418467,13768,B2,0,4011.0,6,40,0,5,leading_edge_destroyed,4.160766124725342
31,418467,13768,B2,0,4011.0,6,40,1,16,leading_edge_preserved,4.160766124725342
31,395545,8766,B2,0,6834.5,6,41,0,4,leading_edge_destroyed,3.595810651779175
31,395545,8766,B2,0,6834.5,6,41,1,15,leading_edge_preserved,3.595810651779175
31,417868,13215,B2,0,8350.0,6,42,0,4,leading_edge_destroyed,3.506608009338379
31,417868,13215,B2,0,8350.0,6,42,1,13,leading_edge_preserved,3.506608009338379
31,410515,6377,B2,0,6786.0,6,43,0,4,leading_edge_destroyed,3.502427577972412
31,410515,6377,B2,0,6786.0,6,43,1,13,leading_edge_preserved,3.502427577972412
31,411837,7600,B2,0,8178.5,6,44,0,6,leading_edge_destroyed,3.871164321899414
31,411837,7600,B2,0,8178.5,6,44,1,13,leading_edge_preserved,3.871164321899414
31,404919,1148,B2,0,6440.5,6,45,0,6,leading_edge_destroyed,4.108537673950195
31,404919,1148,B2,0,6440.5,6,45,1,10,leading_edge_preserved,4.108537673950195
31,405743,1907,B2,0,7579.5,6,46,0,6,leading_edge_destroyed,4.152867317199707
31,405743,1907,B2,0,7579.5,6,46,1,16,leading_edge_preserved,4.152867317199707
31,408223,4248,B2,0,8322.0,6,47,0,6,leading_edge_destroyed,3.5664663314819336
31,408223,4248,B2,0,8322.0,6,47,1,11,leading_edge_preserved,3.5664663314819336
31,400576,13485,B2,0,6644.5,6,48,0,5,leading_edge_destroyed,4.009159088134766
31,400576,13485,B2,0,6644.5,6,48,1,14,leading_edge_preserved,4.009159088134766
31,404196,483,B2,0,5920.5,6,49,0,5,leading_edge_destroyed,4.0465407371521
31,404196,483,B2,0,5920.5,6,49,1,14,leading_edge_preserved,4.0465407371521
31,429147,7316,B2,0,8679.5,6,50,0,5,leading_edge_destroyed,3.6104605197906494
