method,regime,n,timing_bias_ns,timing_mae_ns,timing_sigma68_ns,timing_rms_ns,tail_frac_abs_gt5ns,reconstruction_mse,timing_bias_ns_ci95_low,timing_bias_ns_ci95_high,timing_mae_ns_ci95_low,timing_mae_ns_ci95_high,timing_sigma68_ns_ci95_low,timing_sigma68_ns_ci95_high,timing_rms_ns_ci95_low,timing_rms_ns_ci95_high,tail_frac_abs_gt5ns_ci95_low,tail_frac_abs_gt5ns_ci95_high,reconstruction_mse_ci95_low,reconstruction_mse_ci95_high
cnn1d,leading_edge_destroyed,6300,0.004761389328373803,0.7106972221296931,0.5688262939453125,1.8780853314125598,0.006825396825396826,0.001685411760315782,-0.07471174328975261,0.09967490883538167,0.6490428693412789,0.7716321251250449,0.5114889979362488,0.610174446105957,1.4126559916012114,2.3111169337703408,0.004920634920634921,0.00873015873015873,0.0012252414411552115,0.0022729843756835017
gated_residual_cnn,leading_edge_destroyed,6300,0.2072369256662944,0.8923857257668935,0.8327393531799315,1.8025894145759604,0.010317460317460317,0.0018971070932754614,0.1545064527997895,0.25309000448338564,0.8516331841486787,0.9386891905887732,0.7414215159416199,0.9871859097480773,1.5006611568024097,2.1364629335524543,0.005873015873015873,0.015238095238095238,0.0014006173058610546,0.0024858782029436952
gradient_boosted_trees,leading_edge_destroyed,6300,-0.11563925330127989,0.44184026407344,0.2188062191009521,2.0441180443758937,0.004285714285714286,0.0010218295183804435,-0.18303369474209963,-0.051836868868933836,0.2991984948390533,0.5984282258313798,0.1574349570274353,0.31694238662719687,1.2833897412229183,2.616192875920955,0.002380952380952381,0.006190476190476191,0.0005800011394776002,0.00156993544772434
mlp,leading_edge_destroyed,6300,-0.28664760899449154,0.7627876880386519,0.6070613861083984,2.038215089542346,0.009841269841269842,0.0018039909793243702,-0.3625319696661262,-0.16723782023550984,0.6337191774252625,0.9206454938958795,0.497982416152954,0.7805824637413018,1.5899795034205362,2.4948129749377923,0.005714285714285714,0.014527777777777775,0.0011656080525157566,0.002407015795165836
ridge,leading_edge_destroyed,6300,-0.21721858406350728,1.8002089524978684,1.6530549526214597,3.0194958379538357,0.06714285714285714,0.0043354712379530405,-0.43914022614877846,0.014171128094669187,1.7481441488204494,1.8470853026141487,1.5314061880111691,2.1679556024074524,2.781812415766109,3.2385323720509818,0.058412698412698416,0.07842063492063492,0.0037791267364128355,0.00485073455016971
traditional_rule_interpolation,leading_edge_destroyed,6300,1.2588210641391693,1.668937760421208,2.1116512537002556,3.01914649363428,0.14603174603174604,0.0315713990201967,1.026866029353369,1.5228233910609805,1.5003522926739283,1.8702053418443316,1.362549276351928,2.856261413097381,2.853401575140172,3.1660886483723596,0.12712698412698412,0.1680952380952381,0.019435581832463113,0.04417344600583283
cnn1d,leading_edge_preserved,6300,-0.3515538804114811,0.9813320161425878,0.8307665824890136,3.549934815702983,0.009365079365079364,0.0008888780119949452,-0.5425941421200359,-0.15700708520317858,0.8318944128070559,1.1460874459251522,0.6912801325321197,0.9201964545249938,1.7347927648604644,5.350502359158641,0.005873015873015873,0.013257936507936505,0.0006664362130661377,0.0011229689733919502
gated_residual_cnn,leading_edge_preserved,6300,-0.598679646802327,0.8564116859057593,0.8549630641937256,2.7428209018183587,0.00873015873015873,0.0008866064140480982,-0.6784284227036295,-0.5110164943734807,0.8037912034259902,0.9175028944166879,0.8005677717924118,0.9001515400409695,1.5248261849614053,3.9991632688309298,0.005555555555555556,0.013015873015873015,0.000709998929654729,0.0010510661282381382
gradient_boosted_trees,leading_edge_preserved,6300,-0.23137080597026008,0.4108509864078628,0.17731742858886718,2.922350067416201,0.003650793650793651,0.0008252629256238047,-0.37865606333469115,-0.11521578750156222,0.24546160517810356,0.5962568019983312,0.11310792922973632,0.28273852467536925,1.211865063424701,4.455929067797508,0.0020634920634920637,0.004920634920634921,0.0004579685575966085,0.0013640221258602021
mlp,leading_edge_preserved,6300,-0.20355118045258144,0.7329961186883942,0.5125450134277343,3.5075079158978224,0.006666666666666667,0.0014198135735470773,-0.33911331927066757,-0.06465374522455165,0.5133561910481916,0.9821903757903544,0.3710850548744201,0.7241987359523773,1.5977177086294432,5.204729737036578,0.004285714285714286,0.009047619047619047,0.0009578442551209163,0.0019176778966156277
ridge,leading_edge_preserved,6300,-1.5657022359210346,1.7022952711345658,0.6328803062438965,9.472491666611987,0.021746031746031746,0.0029131890601514433,-1.8915347922166426,-1.2252189540101424,1.3132373070395182,2.0613025903684044,0.44777812361717223,0.8820466709136959,7.694112687214636,11.113332518286938,0.016984126984126983,0.02619047619047619,0.002098780688980891,0.0039272523016745595
traditional_rule_interpolation,leading_edge_preserved,6300,-0.2195223265933612,0.2195223265933612,0.0,3.0202923244718525,0.003650793650793651,0.04850545572589164,-0.3586586110117653,-0.10880919241834255,0.10880919241834255,0.35865861101176527,0.0,0.0,0.7808766157510874,4.9680037333140294,0.002297619047619048,0.005162698412698409,0.027522735993561604,0.07175034087466743
