event_id,pair,method,residual_ns
65:663859:1029:238899,B4-B8,analytic_timewalk,1.7355740989041664
65:663859:1029:238899,B6-B8,analytic_timewalk,-0.8607768267288662
65:664527:1645:239567,B4-B6,analytic_timewalk,1.0993995026563752
65:664527:1645:239567,B4-B8,analytic_timewalk,2.5663600591675646
65:664527:1645:239567,B6-B8,analytic_timewalk,1.4669605565111894
65:664907:1997:239947,B4-B6,analytic_timewalk,1.6939373012249348
65:664907:1997:239947,B4-B8,analytic_timewalk,1.9309977033064172
65:664907:1997:239947,B6-B8,analytic_timewalk,0.23706040208148238
65:665457:2517:240497,B4-B6,analytic_timewalk,2.1092118854177286
65:665457:2517:240497,B4-B8,analytic_timewalk,2.1667642535256775
65:665457:2517:240497,B6-B8,analytic_timewalk,0.05755236810794884
65:665509:2565:240549,B4-B6,analytic_timewalk,2.035461690337513
65:665509:2565:240549,B4-B8,analytic_timewalk,1.429968260573105
65:665509:2565:240549,B6-B8,analytic_timewalk,-0.6054934297644081
65:665719:2794:240759,B4-B6,analytic_timewalk,2.116178283419309
65:665719:2794:240759,B4-B8,analytic_timewalk,-0.2005116881537532
65:665719:2794:240759,B6-B8,analytic_timewalk,-2.3166899715730622
65:665814:2882:240854,B4-B6,analytic_timewalk,0.10142106444124721
65:665814:2882:240854,B4-B8,analytic_timewalk,0.046454283568692745
65:665814:2882:240854,B6-B8,analytic_timewalk,-0.054966780872554466
65:666623:3632:241663,B4-B6,analytic_timewalk,-0.2966531801482617
65:666623:3632:241663,B4-B8,analytic_timewalk,-0.6431563176645767
65:666623:3632:241663,B6-B8,analytic_timewalk,-0.346503137516315
65:667306:4269:242346,B4-B6,analytic_timewalk,2.5387748594777193
65:667306:4269:242346,B4-B8,analytic_timewalk,0.05110520502049809
65:667306:4269:242346,B6-B8,analytic_timewalk,-2.487669654457221
65:668204:5102:243244,B4-B6,analytic_timewalk,2.6114488759262215
65:668204:5102:243244,B4-B8,analytic_timewalk,2.3762313124707077
65:668204:5102:243244,B6-B8,analytic_timewalk,-0.2352175634555138
65:669147:5974:244187,B4-B6,analytic_timewalk,0.5880944566722732
65:669147:5974:244187,B4-B8,analytic_timewalk,1.3126506383532401
65:669147:5974:244187,B6-B8,analytic_timewalk,0.7245561816809669
65:669345:6160:244385,B4-B6,analytic_timewalk,2.001718220289362
65:669345:6160:244385,B4-B8,analytic_timewalk,2.2838553981288783
65:669345:6160:244385,B6-B8,analytic_timewalk,0.2821371778395161
65:669500:6304:244540,B4-B6,analytic_timewalk,2.6092663894965824
65:669500:6304:244540,B4-B8,analytic_timewalk,2.492592279684821
65:669500:6304:244540,B6-B8,analytic_timewalk,-0.11667410981176118
65:669969:6739:245009,B4-B6,analytic_timewalk,2.028737105777239
65:669969:6739:245009,B4-B8,analytic_timewalk,2.319554406972827
65:669969:6739:245009,B6-B8,analytic_timewalk,0.29081730119558813
65:670593:7322:245633,B4-B6,analytic_timewalk,1.8794430501227026
65:670593:7322:245633,B4-B8,analytic_timewalk,2.252399905765813
65:670593:7322:245633,B6-B8,analytic_timewalk,0.37295685564311043
65:670708:7428:245748,B4-B6,analytic_timewalk,2.1147282357465116
65:670708:7428:245748,B4-B8,analytic_timewalk,1.4587304326196957
65:670708:7428:245748,B6-B8,analytic_timewalk,-0.6559978031268159
65:671756:8387:246796,B4-B6,analytic_timewalk,2.1988484361995475
65:671756:8387:246796,B4-B8,analytic_timewalk,2.2800066909895946
65:671756:8387:246796,B6-B8,analytic_timewalk,0.08115825479004712
65:672239:8844:247279,B4-B6,analytic_timewalk,0.6835211416900435
65:672239:8844:247279,B4-B8,analytic_timewalk,1.2312610040167797
65:672239:8844:247279,B6-B8,analytic_timewalk,0.5477398623267362
65:672890:9443:247930,B4-B6,analytic_timewalk,1.948452628336625
65:672890:9443:247930,B4-B8,analytic_timewalk,1.113631757259185
65:672890:9443:247930,B6-B8,analytic_timewalk,-0.8348208710774401
65:674077:10572:249117,B4-B6,analytic_timewalk,2.6209777738149924
65:674077:10572:249117,B4-B8,analytic_timewalk,-0.7275252472333307
65:674077:10572:249117,B6-B8,analytic_timewalk,-3.348503021048323
65:674255:10737:249295,B4-B6,analytic_timewalk,1.7066067563768712
65:674255:10737:249295,B4-B8,analytic_timewalk,2.2570448463134483
65:674255:10737:249295,B6-B8,analytic_timewalk,0.5504380899365771
65:674617:11075:249657,B4-B6,analytic_timewalk,2.9812951214661396
65:674617:11075:249657,B4-B8,analytic_timewalk,2.229012446962116
65:674617:11075:249657,B6-B8,analytic_timewalk,-0.7522826745040234
65:674684:11140:249724,B4-B6,analytic_timewalk,1.4292522435601995
65:674684:11140:249724,B4-B8,analytic_timewalk,-0.21355133492897238
65:674684:11140:249724,B6-B8,analytic_timewalk,-1.642803578489172
65:676071:12428:251111,B4-B6,analytic_timewalk,2.9914690925887015
65:676071:12428:251111,B4-B8,analytic_timewalk,0.257055832727346
65:676071:12428:251111,B6-B8,analytic_timewalk,-2.7344132598613555
65:677190:13474:252230,B4-B6,analytic_timewalk,-0.5601489644828703
65:677190:13474:252230,B4-B8,analytic_timewalk,-2.0818003546865143
65:677190:13474:252230,B6-B8,analytic_timewalk,-1.521651390203644
65:678223:14427:253263,B4-B6,analytic_timewalk,2.0473665084752213
65:678223:14427:253263,B4-B8,analytic_timewalk,2.160046379425168
65:678223:14427:253263,B6-B8,analytic_timewalk,0.1126798709499468
65:678819:14965:253859,B4-B6,analytic_timewalk,2.042922127652261
65:678819:14965:253859,B4-B8,analytic_timewalk,1.9427717904723494
65:678819:14965:253859,B6-B8,analytic_timewalk,-0.10015033717991173
65:680356:6:255396,B4-B6,analytic_timewalk,4.650808592989357
65:680356:6:255396,B4-B8,analytic_timewalk,3.203135824760146
65:680356:6:255396,B6-B8,analytic_timewalk,-1.4476727682292108
65:681202:802:256242,B4-B6,analytic_timewalk,2.0808520484315665
65:681202:802:256242,B4-B8,analytic_timewalk,2.173221879400664
65:681202:802:256242,B6-B8,analytic_timewalk,0.09236983096909768
65:682284:1811:257324,B4-B6,analytic_timewalk,1.8586208954203158
65:682284:1811:257324,B4-B8,analytic_timewalk,1.3081343844890085
65:682284:1811:257324,B6-B8,analytic_timewalk,-0.5504865109313073
65:682664:2163:257704,B4-B6,analytic_timewalk,3.206899804181596
