task,model,fold,train_seconds,n,roc_auc,average_precision,brier,n_parameters,train_loss
anomaly,xgboost,0,0.11450338363647461,680.0,0.7931314878892733,0.7975815360521488,0.1921457077028595,,
anomaly,xgboost,1,0.12438225746154785,340.0,0.8315570934256056,0.8457362349207739,0.1692083300747046,,
anomaly,xgboost,2,0.13335847854614258,340.0,0.8657785467128029,0.8691500000922824,0.15149049324195182,,
anomaly,xgboost,-1,,,0.8301557093425606,,,,
anomaly,lightgbm,0,0.14014005661010742,680.0,0.7992906574394464,0.8012987355005358,0.1978206808883764,,
anomaly,lightgbm,1,0.17618656158447266,340.0,0.8279238754325261,0.8453144842038784,0.17260812592516864,,
anomaly,lightgbm,2,0.16121959686279297,340.0,0.8638062283737025,0.8744513369880873,0.15163830059722824,,
anomaly,lightgbm,-1,,,0.8303402537485584,,,,
anomaly,compact_transformer,0,2.018965482711792,680.0,0.7327768166089965,0.721240621126761,0.21314828567400318,2865.0,0.5208329558372498
anomaly,compact_transformer,1,2.5173909664154053,340.0,0.7743598615916953,0.7976847405123446,0.19970370338197194,2865.0,0.5787854790687561
anomaly,compact_transformer,2,2.445556879043579,340.0,0.7993425605536332,0.8023769680415899,0.190694416899276,2865.0,0.5997331738471985
anomaly,compact_transformer,-1,,,0.7688264129181084,,,,
