model,n_events,n_pair_residuals,sigma68_ns,ci_low,ci_high,full_rms_ns,delta_vs_analytic_timewalk_ns,delta_ci_low,delta_ci_high,task,cv_sigma68_ns,train_seconds,n_parameters,train_loss
xgboost,66,198,1.1460530387758776,0.9360553398099833,1.4790394364349506,1.243286441407906,-0.34858703749380227,-0.5745177201242602,-0.006789417436909216,timing,1.169092190042975,0.22175145149230957,26.0,
compact_transformer,66,198,1.2604064729778997,1.0406886306630807,1.6239477250925942,1.3142586551174837,-0.23423360329178022,-0.47703661344181847,0.13950027083285663,timing,1.2611850020364506,23.81822395324707,2919.0,5.407960891723633
lightgbm,66,198,1.2804391081995208,0.9719863569457119,1.432012558038661,1.2335374239856478,-0.2142009680701591,-0.5554861432349182,-0.021663137632921273,timing,1.1562770335454893,0.3401772975921631,26.0,
analytic_timewalk,66,198,1.4946400762696799,1.3281597051990883,1.6707476744251644,1.6991283591200734,0.0,0.0,0.0,,,,,
