model,n_events,n_pair_residuals,sigma68_ns,ci_low,ci_high,full_rms_ns,delta_vs_analytic_timewalk_ns,delta_ci_low,delta_ci_high,task,cv_sigma68_ns,train_seconds,n_parameters,alpha,n_estimators,max_depth,min_samples_leaf,learning_rate,hidden,width,source,train_loss
gradient_boosted_trees,66,198,1.1266331867345378,0.8344677662812305,1.4061653658765398,1.199628104127195,-0.3680068895351382,-0.6135746866819899,-0.1006771711037732,timing,1.1519412213657336,0.5067451000213623,26.0,,,,,0.03,,,BAKEOFF01,
xgboost,66,198,1.1460530387758776,0.9360553398099833,1.4790394364349506,1.243286441407906,-0.34858703749380227,-0.5745177201242602,-0.006789417436909216,timing,1.169092190042975,0.22175145149230957,26.0,,,,,,,,BAKEOFF02,
compact_transformer,66,198,1.2604064729778997,1.0406886306630807,1.6239477250925942,1.3142586551174837,-0.23423360329178022,-0.47703661344181847,0.13950027083285663,timing,1.2611850020364506,23.81822395324707,2919.0,,,,,,,,BAKEOFF02,5.407960891723633
extra_trees,66,198,1.262757648031107,0.9585917146762608,1.4631811464961533,1.2444049659612806,-0.2318824282385694,-0.5332420663328156,-0.0489585820406414,timing,1.132670462226219,2.315976858139038,26.0,,120.0,14.0,8.0,,,,BAKEOFF01,
mlp,66,198,1.266989156130859,1.1012474045432374,1.5627857236805855,1.324698082884912,-0.227650920138817,-0.4811184738352551,0.1046978209781109,timing,1.2114580938090571,48.69732332229614,1664.0,,,,,,64.0,,BAKEOFF01,
lightgbm,66,198,1.2804391081995208,0.9719863569457119,1.432012558038661,1.2335374239856478,-0.2142009680701591,-0.5554861432349182,-0.021663137632921273,timing,1.1562770335454893,0.3401772975921631,26.0,,,,,,,,BAKEOFF02,
gru,66,198,1.3138113048413698,1.0560343429279706,1.5677043904546568,1.3657324794756336,-0.1808287714283063,-0.4676865605404912,0.0886381919059128,timing,1.2582779877270016,7.1489574909210205,1249.0,,,,,,,16.0,BAKEOFF01,
attention,66,198,1.3508108158956065,1.0621451018612127,1.621697135186796,1.396854540245428,-0.1438292603740698,-0.4738090950657734,0.1594150969843058,timing,1.276245982843359,8.305153608322144,425.0,,,,,,,8.0,BAKEOFF01,
resnet,66,198,1.3596621851944664,1.0850352220071229,1.6346691517507956,1.3825033652911074,-0.1349778910752097,-0.4335727705522027,0.1876936818920711,timing,1.272001521349862,2.899167776107788,537.0,,,,,,,8.0,BAKEOFF01,
cnn,66,198,1.3596629463836296,1.0672472076541362,1.6238572443133914,1.3983401278267122,-0.1349771298860465,-0.4692834311582024,0.1648196119025662,timing,1.2599824679763552,2.1533026695251465,337.0,,,,,,,8.0,BAKEOFF01,
tcn,66,198,1.3602067720029298,1.0651652070042863,1.6206286366945548,1.3976438599272631,-0.1344333042667462,-0.4707799444265116,0.1640936261411592,timing,1.1925453922368447,2.4663493633270264,337.0,,,,,,,8.0,BAKEOFF01,
ridge,66,198,1.4428421669311344,1.188857232450539,1.644802921267909,1.4115887395844882,-0.0517979093385416,-0.3336439268592461,0.1755373361241852,timing,1.3379330183311735,0.0362801551818847,26.0,10.0,,,,,,,BAKEOFF01,
analytic_timewalk,66,198,1.494640076269676,1.29766059796626,1.672839431571626,1.699128359120068,0.0,0.0,0.0,,,,,,,,,,,,BAKEOFF01,
analytic_timewalk,66,198,1.4946400762696799,1.3281597051990883,1.6707476744251644,1.6991283591200734,0.0,0.0,0.0,,,,,,,,,,,,BAKEOFF02,
s02_ridge_cfd20,66,198,1.77781251968152,1.461755509919847,2.0609348928154603,1.7157724289805305,0.2831724434118439,-0.0407274498722702,0.6284445907720864,,,,,,,,,,,,BAKEOFF01,
template_phase,66,198,2.889152765080617,2.639152765080615,3.2771839114883843,2.576694889725476,1.3945126888109407,1.071281280547267,1.7456595453683414,,,,,,,,,,,,BAKEOFF01,
cfd20,66,198,2.9933861916712807,2.7099706867969497,3.411392372307508,2.742683928812645,1.4987461154016046,1.1711507459637276,1.913523071081247,,,,,,,,,,,,BAKEOFF01,
