task,model,fold,sigma68_ns,n_pair_residuals,train_seconds,n_parameters,train_loss
timing,xgboost,0,1.089643616977411,3018,0.2643904685974121,,
timing,xgboost,1,1.214059253388214,3534,0.1919708251953125,,
timing,xgboost,2,1.2035736997632993,4710,0.1612694263458252,,
timing,xgboost,-1,1.169092190042975,0,,,
timing,lightgbm,0,1.073962635478587,3018,0.23187589645385742,,
timing,lightgbm,1,1.212308945233072,3534,0.22007989883422852,,
timing,lightgbm,2,1.1825595199248087,4710,0.21153569221496582,,
timing,lightgbm,-1,1.1562770335454893,0,,,
timing,compact_transformer,0,1.149635625140014,3018,16.909321308135986,2919.0,12.718937873840332
timing,compact_transformer,1,1.2619729808773397,3534,15.175528049468994,2919.0,4.253875255584717
timing,compact_transformer,2,1.3719464000919979,4710,11.899162292480469,2919.0,4.346445083618164
timing,compact_transformer,-1,1.2611850020364506,0,,,
