task,model,metric,cv_roc_auc,train_seconds,n_train_rows,n_heldout_rows,n_parameters,n,roc_auc,average_precision,brier,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high,brier_ci_low,brier_ci_high,train_loss
tail_anomaly_classification,lightgbm,roc_auc,0.8303402537485584,0.19271373748779297,1360,840,25,840,0.8456575963718821,0.853212088182882,0.16007473011130494,0.8143310657596372,0.8758503401360545,0.8215846449650201,0.8856625623579355,0.14240293631843695,0.17774652390417295,
tail_anomaly_classification,xgboost,roc_auc,0.8301557093425606,0.13294529914855957,1360,840,25,840,0.8433276643990929,0.84593725831898,0.16056478249564635,0.8199773242630386,0.8666213151927438,0.8247063647154352,0.869184621211823,0.1488929785660855,0.1722365864252072,
tail_anomaly_classification,compact_transformer,roc_auc,0.7688264129181084,3.501732110977173,1360,840,2865,840,0.7989965986394557,0.7933646949151869,0.18658982591081935,0.7517006802721089,0.8475963718820861,0.7539953959170069,0.8433773687939758,0.16875419046111848,0.20442546136052023,0.5864670872688293
