task,model,cv_sigma68_ns,train_seconds,n_parameters,train_loss
timing,xgboost,1.169092190042975,0.22175145149230957,26,
timing,lightgbm,1.1562770335454893,0.3401772975921631,26,
timing,compact_transformer,1.2611850020364506,23.81822395324707,2919,5.407960891723633
