run,events,median_pulses,dynamic_pulses,dynamic_only_pulses,median_only_pulses,median_events,dynamic_events,median_selected_events,median_multi_stave_events,median_ge3_stave_events,median_downstream_events,median_downstream_allhit_events,dynamic_selected_events,dynamic_multi_stave_events,dynamic_ge3_stave_events,dynamic_downstream_events,dynamic_downstream_allhit_events
31,39990,27871,30065,2194,0,27078,28819,27078,589,159,710,47,28819,919,257,1034,70
32,41921,28240,30641,2401,0,27461,29440,27461,598,141,730,40,29440,900,231,1026,71
33,57173,48737,49818,1081,0,47911,48513,47911,577,191,760,59,48513,914,296,1108,95
34,39765,34118,34760,642,0,33500,33838,33500,417,151,542,50,33838,648,207,775,67
35,27786,11667,13793,2126,0,11141,12995,11141,374,117,479,36,12995,572,173,705,54
36,21764,10391,12107,1716,0,9930,11400,9930,332,107,406,22,11400,513,159,601,36
37,50513,24537,29337,4800,0,23174,27177,23174,987,299,1185,83,27177,1573,470,1799,119
39,30321,14218,17229,3011,0,13329,15877,13329,631,199,766,66,15877,967,302,1120,83
40,32613,14708,18041,3333,0,13763,16485,13763,659,225,832,70,16485,1084,360,1296,114
41,33997,16146,19428,3282,0,15140,17880,15140,727,214,891,69,17880,1123,323,1305,104
42,33972,18112,21290,3178,0,17132,19737,17132,695,222,836,68,19737,1110,345,1269,98
44,4294,2038,2463,425,0,1912,2251,1912,90,29,116,7,2251,148,49,182,15
45,48181,24333,28993,4660,0,23013,26872,23013,944,285,1147,94,26872,1505,470,1747,148
46,1441,687,736,49,0,677,725,677,8,1,10,1,725,9,1,12,1
47,10970,5276,5687,411,0,5161,5537,5161,83,23,125,9,5537,107,31,153,12
48,31713,14000,17003,3003,0,13185,15713,13185,584,179,708,58,15713,921,280,1056,89
49,32354,14815,17875,3060,0,13937,16488,13937,623,202,770,56,16488,995,313,1162,80
50,44804,35217,36830,1613,0,34257,35263,34257,691,209,854,60,35263,1134,343,1317,90
51,20569,14740,15774,1034,0,14295,15068,14295,308,103,400,34,15068,491,161,586,54
52,10005,7152,7668,516,0,6933,7322,6933,147,51,186,22,7322,236,77,276,34
53,39612,32200,33603,1403,0,31386,32227,31386,567,188,727,59,32227,962,316,1133,98
54,37413,30440,31655,1215,0,29665,30394,29665,547,178,716,50,30394,884,290,1053,87
55,24416,17387,18686,1299,0,16841,17769,16841,379,124,479,44,17769,634,210,744,73
56,51823,40148,42084,1936,0,38932,40193,38932,854,271,1050,92,40193,1340,417,1559,135
57,31284,13833,16792,2959,0,12939,15389,12939,627,207,776,64,15389,983,325,1153,97
58,34141,16781,17533,752,0,15920,16301,15920,587,202,710,73,16301,864,279,1021,90
59,42303,21377,23852,2475,0,13863,15178,13863,4590,2175,4822,763,15178,5265,2514,5501,900
60,36074,17029,19397,2368,0,10140,11339,10140,4056,2031,4264,808,11339,4711,2396,4933,955
61,36535,18965,21438,2473,0,11287,12489,11287,4426,2327,4638,933,12489,5164,2713,5372,1075
62,37584,19089,21438,2349,0,11912,13141,11912,4216,2163,4428,807,13141,4858,2501,5061,941
63,37030,18817,20360,1543,0,14781,15627,14781,2621,1050,2805,370,15627,3066,1226,3249,441
64,35943,14630,15860,1230,0,12103,12859,12103,1696,624,1863,210,12859,2013,742,2194,248
65,38424,13038,14137,1099,0,11904,12633,11904,817,254,938,66,12633,1072,343,1222,90
