selector,metric,value,ci_low,ci_high
median_first4,selected_pulses,63075.0,,
median_first4,selected_events,56465.0,,
median_first4,multi_stave_fraction,0.0787036217125653,0.031300559052973874,0.1482140986697392
median_first4,ge3_stave_fraction,0.028955990436553617,0.010027712368045878,0.058604797318529384
median_first4,downstream_fraction,0.0885150092977951,0.038044435901132524,0.16045179986732308
median_first4,downstream_allhit_fraction,0.009634286726290622,0.003171704550915469,0.02049509444502636
median_first4,downstream_cfd20_pairwise_sigma68_ns,0.3109389139680858,0.282583279141162,0.31589299490172396
median_first4,downstream_cfd20_pair_count,1632.0,,
median_first4,downstream_cfd20_pairwise_rms_ns,0.5585236054084771,,
dynamic_range,selected_pulses,69975.0,,
dynamic_range,selected_events,61418.0,,
dynamic_range,multi_stave_fraction,0.09370217200169331,0.04510160752198969,0.16349767143086558
dynamic_range,ge3_stave_fraction,0.03425705819140969,0.01475583864118896,0.06428456720732295
dynamic_range,downstream_fraction,0.10368295939301182,0.05238095238095238,0.17504416251806648
dynamic_range,downstream_allhit_fraction,0.011413592106548569,0.004686078252957234,0.022803918419784807
dynamic_range,downstream_cfd20_pairwise_sigma68_ns,0.31760874037024317,0.29816172447380085,0.32419616098281223
dynamic_range,downstream_cfd20_pair_count,2103.0,,
dynamic_range,downstream_cfd20_pairwise_rms_ns,0.5936964317085889,,
