bin,mean_prob,frac_dynamic_only,n
"(-0.001, 0.1]",0.01672496965892255,0.00356351728787441,20766
"(0.1, 0.2]",0.13840359504993283,0.11580882352941177,544
"(0.2, 0.3]",0.24144392008280674,0.16371681415929204,226
"(0.3, 0.4]",0.3514217999469379,0.2733333333333333,150
"(0.4, 0.5]",0.44646994943698143,0.3148148148148148,108
"(0.5, 0.6]",0.556179051508109,0.46923076923076923,130
"(0.6, 0.7]",0.6506626927829576,0.5652173913043478,161
"(0.7, 0.8]",0.7533142952975846,0.8092783505154639,194
"(0.8, 0.9]",0.856722815289729,0.7706422018348624,327
"(0.9, 1.0]",0.990132308479554,0.9554439912143081,6374
