run,complete_three_stave_two_end_events,endpoint_rows
44,7,308
45,94,3094
46,1,24
47,9,320
48,58,1910
49,56,2072
50,60,2258
51,34,1080
52,22,518
53,59,1950
54,50,1894
55,44,1302
56,92,2836
57,64,2118
58,73,1980
59,763,15624
60,808,14312
61,933,15900
62,807,14908
63,370,8500
65,66,2540
