heldout_run,check,value,pass
44,train_heldout_run_overlap,0.0,True
44,train_heldout_event_id_overlap,0.0,True
44,fit_targets_include_event_residuals,0.0,True
44,features_include_cross_stave_or_cross_end_timing,0.0,True
44,n_single_endpoint_features,41.0,True
45,train_heldout_run_overlap,0.0,True
45,train_heldout_event_id_overlap,0.0,True
45,fit_targets_include_event_residuals,0.0,True
45,features_include_cross_stave_or_cross_end_timing,0.0,True
45,n_single_endpoint_features,41.0,True
46,train_heldout_run_overlap,0.0,True
46,train_heldout_event_id_overlap,0.0,True
46,fit_targets_include_event_residuals,0.0,True
46,features_include_cross_stave_or_cross_end_timing,0.0,True
46,n_single_endpoint_features,41.0,True
47,train_heldout_run_overlap,0.0,True
47,train_heldout_event_id_overlap,0.0,True
47,fit_targets_include_event_residuals,0.0,True
47,features_include_cross_stave_or_cross_end_timing,0.0,True
47,n_single_endpoint_features,41.0,True
48,train_heldout_run_overlap,0.0,True
48,train_heldout_event_id_overlap,0.0,True
48,fit_targets_include_event_residuals,0.0,True
48,features_include_cross_stave_or_cross_end_timing,0.0,True
48,n_single_endpoint_features,41.0,True
49,train_heldout_run_overlap,0.0,True
49,train_heldout_event_id_overlap,0.0,True
49,fit_targets_include_event_residuals,0.0,True
49,features_include_cross_stave_or_cross_end_timing,0.0,True
49,n_single_endpoint_features,41.0,True
50,train_heldout_run_overlap,0.0,True
50,train_heldout_event_id_overlap,0.0,True
50,fit_targets_include_event_residuals,0.0,True
50,features_include_cross_stave_or_cross_end_timing,0.0,True
50,n_single_endpoint_features,41.0,True
51,train_heldout_run_overlap,0.0,True
51,train_heldout_event_id_overlap,0.0,True
51,fit_targets_include_event_residuals,0.0,True
51,features_include_cross_stave_or_cross_end_timing,0.0,True
51,n_single_endpoint_features,41.0,True
52,train_heldout_run_overlap,0.0,True
52,train_heldout_event_id_overlap,0.0,True
52,fit_targets_include_event_residuals,0.0,True
52,features_include_cross_stave_or_cross_end_timing,0.0,True
52,n_single_endpoint_features,41.0,True
53,train_heldout_run_overlap,0.0,True
53,train_heldout_event_id_overlap,0.0,True
53,fit_targets_include_event_residuals,0.0,True
53,features_include_cross_stave_or_cross_end_timing,0.0,True
53,n_single_endpoint_features,41.0,True
54,train_heldout_run_overlap,0.0,True
54,train_heldout_event_id_overlap,0.0,True
54,fit_targets_include_event_residuals,0.0,True
54,features_include_cross_stave_or_cross_end_timing,0.0,True
54,n_single_endpoint_features,41.0,True
55,train_heldout_run_overlap,0.0,True
55,train_heldout_event_id_overlap,0.0,True
55,fit_targets_include_event_residuals,0.0,True
55,features_include_cross_stave_or_cross_end_timing,0.0,True
55,n_single_endpoint_features,41.0,True
56,train_heldout_run_overlap,0.0,True
56,train_heldout_event_id_overlap,0.0,True
56,fit_targets_include_event_residuals,0.0,True
56,features_include_cross_stave_or_cross_end_timing,0.0,True
56,n_single_endpoint_features,41.0,True
57,train_heldout_run_overlap,0.0,True
57,train_heldout_event_id_overlap,0.0,True
57,fit_targets_include_event_residuals,0.0,True
57,features_include_cross_stave_or_cross_end_timing,0.0,True
57,n_single_endpoint_features,41.0,True
58,train_heldout_run_overlap,0.0,True
58,train_heldout_event_id_overlap,0.0,True
58,fit_targets_include_event_residuals,0.0,True
58,features_include_cross_stave_or_cross_end_timing,0.0,True
58,n_single_endpoint_features,41.0,True
59,train_heldout_run_overlap,0.0,True
59,train_heldout_event_id_overlap,0.0,True
59,fit_targets_include_event_residuals,0.0,True
59,features_include_cross_stave_or_cross_end_timing,0.0,True
59,n_single_endpoint_features,41.0,True
60,train_heldout_run_overlap,0.0,True
60,train_heldout_event_id_overlap,0.0,True
60,fit_targets_include_event_residuals,0.0,True
60,features_include_cross_stave_or_cross_end_timing,0.0,True
60,n_single_endpoint_features,41.0,True
61,train_heldout_run_overlap,0.0,True
61,train_heldout_event_id_overlap,0.0,True
61,fit_targets_include_event_residuals,0.0,True
61,features_include_cross_stave_or_cross_end_timing,0.0,True
61,n_single_endpoint_features,41.0,True
62,train_heldout_run_overlap,0.0,True
62,train_heldout_event_id_overlap,0.0,True
62,fit_targets_include_event_residuals,0.0,True
62,features_include_cross_stave_or_cross_end_timing,0.0,True
62,n_single_endpoint_features,41.0,True
63,train_heldout_run_overlap,0.0,True
63,train_heldout_event_id_overlap,0.0,True
63,fit_targets_include_event_residuals,0.0,True
63,features_include_cross_stave_or_cross_end_timing,0.0,True
63,n_single_endpoint_features,41.0,True
65,train_heldout_run_overlap,0.0,True
65,train_heldout_event_id_overlap,0.0,True
65,fit_targets_include_event_residuals,0.0,True
65,features_include_cross_stave_or_cross_end_timing,0.0,True
65,n_single_endpoint_features,41.0,True
