method,n_pair_residuals,n_enddiffs,twoended_pair_sigma68_ns,twoended_pair_full_rms_ns,tail_frac_abs_gt5ns,mean_enddiff_sigma68_ns,correlated_floor_sigma_ns,correlated_floor_min_pair_sigma_ns,correlated_floor_max_pair_sigma_ns,correlated_floor_sigma_ns_ci_low,correlated_floor_sigma_ns_ci_high,twoended_pair_sigma68_ns_ci_low,twoended_pair_sigma68_ns_ci_high
cfd20_base,21528,47724,2.9295156657439554,6.739457009187088,0.07167409884801189,2.2557542066428566,0.7422493833730142,0.0,1.0245046026275535,0.6772666175467695,0.8815168229388737,2.8495737415908633,3.010326982166509
ml_shuffled_target_control,21528,47724,2.9253430966218454,6.7411607478456,0.07102378298030472,2.3379740890070533,0.7225137228183002,0.0,0.9899683813150105,0.6513062013878066,0.8463954008437118,2.843940052488799,3.000296851908247
ml_single_endpoint_proxy,21528,47724,2.277563048912793,2.8035724970059346,0.03692865105908584,1.0230451879481284,0.5420187567409718,0.22096837622137147,0.5620904289961595,0.3680937468911877,0.5908302902151046,2.1497812469100026,2.3759888847381294
traditional_template_phase,21528,47724,2.3547583123605946,3.009290262454176,0.04431438127090301,0.5795661889304066,0.5836257169006646,0.5637880614991166,0.7222498024834343,0.46512776441802517,0.7170947267316953,2.0674572189189213,2.4892915424364226
