heldout_run,method,n_pair_residuals,n_enddiffs,twoended_pair_sigma68_ns,twoended_pair_full_rms_ns,tail_frac_abs_gt5ns,mean_enddiff_sigma68_ns,correlated_floor_sigma_ns,correlated_floor_min_pair_sigma_ns,correlated_floor_max_pair_sigma_ns
44,cfd20_base,45,154,3.3325503543129855,5.298699839080808,0.1111111111111111,1.0168147528101528,1.4130323977319865,0.3912322414595444,1.6326666399376721
45,cfd20_base,494,1547,2.9096482854669996,6.5240188046073495,0.07894736842105263,1.6220674220877667,0.7848733353530424,0.5640436700818593,1.0383365244340115
46,cfd20_base,3,12,2.5258111139122166,4.1377489972427135,0.3333333333333333,0.03854610424103525,0.0,0.0,0.0
47,cfd20_base,44,160,2.547513121908212,2.525367950306728,0.09090909090909091,0.8919949011093253,0.860949256641295,0.581867916907744,0.9852527056912362
48,cfd20_base,306,955,2.739926578574045,2.704816704459243,0.0457516339869281,1.918701814317667,1.0048552739850065,0.0,1.0859838685998595
49,cfd20_base,322,1036,2.6762842818723684,7.56644531125495,0.08074534161490683,2.0244444534027353,0.8919182991261565,0.0,0.9948668981675192
50,cfd20_base,335,1129,2.7862208951675576,7.824607735413072,0.07164179104477612,0.6728705392540704,1.0198873510638342,0.9875232559131599,1.5219421371663278
51,cfd20_base,174,540,3.1621711587673142,8.472173220190259,0.1206896551724138,0.8285378046337026,1.3335361290788772,0.8911573562029735,1.4448861136685112
52,cfd20_base,95,259,3.1551445539284124,9.214435704794882,0.05263157894736842,1.812007220518154,1.3763945322220137,0.0,1.5974547153002325
53,cfd20_base,307,975,2.763389878300877,2.8439618341226733,0.07166123778501629,1.108894189394291,0.9406353268501327,0.865304503823635,1.0935485326430112
54,cfd20_base,281,947,2.4904366675734715,8.404220237009833,0.07829181494661921,1.1950010805588398,1.0882487676226358,0.8343518609888968,1.1838115025272866
55,cfd20_base,217,651,2.979503718973734,5.025662134327919,0.08755760368663594,1.0834896152304199,1.0048126746325698,0.979053202269829,1.0218007984726316
56,cfd20_base,460,1418,2.82785948867783,7.460053870195265,0.08695652173913043,1.106232288443257,0.967951838934827,0.8675086775090567,1.2543958817150307
57,cfd20_base,347,1059,2.7083688472097083,3.0388492889398577,0.07204610951008646,1.453886097855256,1.0735082126212319,0.853361105567919,1.1800148008818996
58,cfd20_base,353,990,2.9472535202930183,10.535105458533712,0.0708215297450425,1.3017148785695978,1.0370053076749168,0.8116950834097922,1.5926599826657464
59,cfd20_base,3753,7812,2.946806147371489,5.899997745141212,0.07540634159339195,2.3637773325060247,0.659877491017552,0.0,0.9430251453566102
60,cfd20_base,3700,7156,2.9667038371541743,7.1072194250513245,0.0745945945945946,2.3810708505290274,0.6689476198969765,0.0,0.9763628057143972
61,cfd20_base,4245,7950,2.7667453890442597,7.5539476076183885,0.05606595995288575,2.3543332738873564,0.5476031008422299,0.0,0.977930910639863
62,cfd20_base,3833,7454,3.005681607485109,5.850519935455506,0.07618053743803808,2.395845201591498,0.595678996955263,0.0,0.8827045388706882
63,cfd20_base,1816,4250,3.1805068867632533,7.587095480149788,0.09306167400881057,2.2996804758355247,0.8171983112747445,0.0,1.0375076978089512
65,cfd20_base,398,1270,2.5501741350675275,2.4853435045601118,0.05778894472361809,1.5665675988847516,0.7281726671086166,0.717525353292764,0.751371171507037
44,ml_shuffled_target_control,45,154,3.1745277831096486,5.182875595336204,0.08888888888888889,1.0264042579241097,1.3791373725332963,0.6372862333750922,1.6424832256657065
